Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
ACB,43975750000,02/01/2013,,16300,17400,16300,17300,2578600
ACB,33790120000,03/01/2013,,17500,17800,16700,17000,1967200
ACB,19893160000,04/01/2013,,16900,17200,16700,17200,1170100
ACB,23335900000,07/01/2013,,17000,17500,17000,17200,1355700
ACB,37493390000,08/01/2013,,17100,17500,16900,17300,2180000
ACB,69459100000,09/01/2013,,17100,18200,17100,18100,3861400
ACB,15857090000,10/01/2013,,18100,18300,17700,18300,880700
ACB,14849120000,11/01/2013,,19000,19000,18200,18200,806200
ACB,11046650000,14/01/2013,,18400,18400,17700,18000,614300
ACB,23515790000,15/01/2013,,18200,18300,17600,18200,1310500
ACB,24841200000,16/01/2013,,18200,18800,18100,18200,1346900
ACB,19378830000,17/01/2013,,18200,18400,17900,18000,1068300
ACB,12011600000,18/01/2013,,17900,17900,17400,17800,679700
ACB,6010760000,21/01/2013,,17800,17800,17400,17500,341900
ACB,12604080000,22/01/2013,,17500,17600,16800,17000,738000
ACB,5586650000,23/01/2013,,16900,17100,16500,17000,331100
ACB,5724690000,24/01/2013,,17200,17400,16900,17300,333700
ACB,13920950000,25/01/2013,,17500,17900,17500,17600,786500
ACB,20308900000,28/01/2013,,17700,18100,17500,17700,1135900
ACB,10226980000,29/01/2013,,17700,18100,17600,17900,572800
ACB,14628670000,30/01/2013,,18000,18000,17700,17900,823600
ACB,15196860000,31/01/2013,,17600,17900,17500,17700,860100
ACB,15196860000,31/01/2013,,17600,17900,17500,17700,860100
ACB,10256310000,01/02/2013,,17500,17700,17500,17700,583900
ACB,6803890000,04/02/2013,,17700,17700,17500,17600,387200
ACB,10501390000,05/02/2013,,17600,17600,17300,17500,602000
ACB,9544940000,06/02/2013,,17400,17800,17400,17600,542700
ACB,8063750000,07/02/2013,,17700,17900,17500,17600,457800
ACB,6895760000,08/02/2013,,17700,17900,17600,17900,388500
ACB,8372210000,18/02/2013,,17800,18000,17600,17800,469400
ACB,7766240000,19/02/2013,,17800,17800,17500,17700,440200
ACB,13774050000,20/02/2013,,17400,17500,17000,17400,794100
ACB,24602990000,21/02/2013,,17400,17400,16400,16500,1450600
ACB,12137200000,22/02/2013,,16500,17000,16400,16800,725900
ACB,4658760000,25/02/2013,,16800,16900,16600,16800,279200
ACB,19267050000,26/02/2013,,16800,16800,16300,16400,1170100
ACB,9460460000,27/02/2013,,16300,16600,16200,16500,579700
ACB,2002010000,28/02/2013,,16600,16800,16500,16500,120800
ACB,3047540000,01/03/2013,,16600,16700,16500,16700,183700
ACB,8103260000,04/03/2013,,16600,16600,16300,16400,493100
ACB,5022060000,05/03/2013,,16300,16500,16200,16300,308000
ACB,2065540000,06/03/2013,,16100,16500,16000,16500,126600
ACB,3893350000,07/03/2013,,16300,16500,16300,16400,238100
ACB,2858540000,08/03/2013,,16300,16500,16200,16500,173900
ACB,3952520000,11/03/2013,,15800,16600,15800,16600,240000
ACB,1826730000,12/03/2013,,16700,17500,16400,16600,110600
ACB,2872530000,13/03/2013,,16600,16600,16400,16500,173900
ACB,2222960000,14/03/2013,,16400,16600,16400,16500,135300
ACB,1290160000,15/03/2013,,16500,16600,16400,16600,78200
ACB,4854850000,18/03/2013,,16500,16600,16400,16500,295500
ACB,1087480000,19/03/2013,,16500,16600,16400,16500,66000
ACB,1840360000,20/03/2013,,16500,16600,16500,16600,111200
ACB,3108320000,21/03/2013,,16600,16600,16400,16500,188800
ACB,7641460000,22/03/2013,,16500,16600,16400,16500,464500
ACB,2532290000,25/03/2013,,16500,16500,16300,16500,154200
ACB,1044540000,26/03/2013,,16500,16600,16300,16300,63700
ACB,4377930000,27/03/2013,,16400,16500,16100,16300,268300
ACB,3798340000,28/03/2013,,16500,16500,16300,16400,232000
ACB,3066440000,29/03/2013,,16500,16500,16200,16400,188300
ACB,3841610000,01/04/2013,,16200,16400,16200,16300,235700
ACB,3841610000,01/04/2013,,16200,16400,16200,16300,235700
ACB,4249870000,02/04/2013,,16400,16500,16300,16300,259400
ACB,1685310000,03/04/2013,,16500,16500,16200,16300,103700
ACB,4260250000,04/04/2013,,16300,16300,16100,16100,264100
ACB,5285000000,05/04/2013,,16300,16300,16000,16200,328400
ACB,6598950000,08/04/2013,,16200,16200,15900,16100,412400
ACB,1495640000,09/04/2013,,16000,16100,15900,16000,93600
ACB,2522760000,10/04/2013,,16000,16100,15900,16000,157400
ACB,15234310000,11/04/2013,,15900,17000,15900,16700,933300
ACB,4224560000,12/04/2013,,16600,17000,16400,16500,253600
ACB,5617840000,15/04/2013,,16500,16500,16000,16100,347300
ACB,6286490000,16/04/2013,,16100,16200,15900,16000,392200
ACB,5096720000,17/04/2013,,15800,16000,15700,15800,320700
ACB,7075900000,18/04/2013,,15800,15900,15700,15800,447500
ACB,4778680000,22/04/2013,,15800,16000,15800,15800,302400
ACB,2029780000,23/04/2013,,15800,16000,15800,15900,127600
ACB,947960000,24/04/2013,,16000,16000,15800,15900,59500
ACB,1138960000,25/04/2013,,16000,16100,15900,16000,71200
ACB,2639660000,26/04/2013,,16000,16200,16000,16000,164700
ACB,2910930000,02/05/2013,,16100,16100,16000,16100,181300
ACB,2539450000,03/05/2013,,16000,16100,16000,16100,158400
ACB,6256060000,06/05/2013,,16000,16200,16000,16200,389900
ACB,5931820000,07/05/2013,,16200,16300,16000,16300,367200
ACB,5330610000,08/05/2013,,16300,16300,16100,16100,329000
ACB,5288810000,09/05/2013,,16200,16400,16200,16300,324500
ACB,2966290000,10/05/2013,,16400,16400,16200,16400,181700
ACB,2687120000,13/05/2013,,16300,16400,16300,16400,164800
ACB,7126730000,14/05/2013,,16300,16400,16200,16300,438800
ACB,3547480000,15/05/2013,,16300,16400,16200,16300,217400
ACB,3438130000,16/05/2013,,16500,16700,16400,16700,207300
ACB,3425030000,17/05/2013,,16300,16300,16000,16100,212300
ACB,5445640000,20/05/2013,,16100,16100,15900,16000,339800
ACB,3686880000,21/05/2013,,16000,16200,15900,16100,229800
ACB,25551540000,22/05/2013,,16200,17300,16200,16700,1511400
ACB,8364420000,23/05/2013,,16700,16800,16400,16500,502700
ACB,1761090000,24/05/2013,,16600,16600,16400,16500,106700
ACB,11224080000,27/05/2013,,16500,16700,16400,16500,678900
ACB,10930990000,28/05/2013,,16500,16700,16400,16600,660500
ACB,11226500000,29/05/2013,,16700,16800,16500,16600,673900
ACB,5266970000,30/05/2013,,16500,16600,16400,16500,319200
ACB,11328090000,31/05/2013,,16600,16700,16400,16500,684300
ACB,11328090000,31/05/2013,,16600,16700,16400,16500,684300
ACB,18046980000,03/06/2013,,16600,17000,16500,16800,1074900
ACB,8640990000,04/06/2013,,16800,16900,16400,16500,521500
ACB,4939900000,05/06/2013,,16600,16600,16400,16600,299300
ACB,8086110000,06/06/2013,,16600,16600,16500,16600,489200
ACB,9952890000,07/06/2013,,16600,16800,16500,16800,597700
ACB,6722580000,10/06/2013,,16800,16800,16600,16700,402400
ACB,6671480000,11/06/2013,,16800,16800,16600,16700,399200
ACB,4684740000,12/06/2013,,16600,16700,16500,16600,283000
ACB,4622370000,13/06/2013,,16600,16600,16300,16500,281500
ACB,5777810000,14/06/2013,,16500,16500,16200,16400,354200
ACB,7008420000,17/06/2013,,16400,16400,16000,16200,433100
ACB,6767380000,18/06/2013,,16100,16200,15800,16200,422300
ACB,4637960000,19/06/2013,,16100,16300,16000,16300,286800
ACB,8182270000,20/06/2013,,16300,16300,16000,16200,505600
ACB,112680000,21/06/2013,,16100,16200,16000,16200,7000
ACB,9314020000,24/06/2013,,16200,16300,16000,16300,578000
ACB,23210220000,25/06/2013,,16100,16200,16000,16100,1440600
ACB,5419560000,26/06/2013,,16100,16200,16000,16100,336600
ACB,12453020000,27/06/2013,,16000,16100,15900,16100,778000
ACB,10826400000,28/06/2013,,16000,16200,16000,16100,675700
ACB,5468890000,01/07/2013,,16000,16100,16000,16100,341800
ACB,5466500000,02/07/2013,,16000,16200,16000,16200,339900
ACB,6023010000,03/07/2013,,16100,16200,16000,16200,374100
ACB,4808770000,04/07/2013,,16000,16200,16000,16200,298600
ACB,4953740000,05/07/2013,,16100,16100,16000,16000,309500
ACB,988020000,08/07/2013,,16000,16000,15800,15800,62200
ACB,5423350000,09/07/2013,,15900,16000,15800,15900,341200
ACB,2100760000,10/07/2013,,15900,16000,15800,16000,132200
ACB,1276810000,11/07/2013,,15900,16000,15800,15900,80300
ACB,3674880000,12/07/2013,,15900,16000,15800,16000,231400
ACB,1975990000,15/07/2013,,16000,16000,15900,16000,124200
ACB,1082840000,16/07/2013,,15900,16000,15900,15900,68100
ACB,7191580000,17/07/2013,,16000,16200,15900,16100,450900
ACB,3734230000,18/07/2013,,16000,16200,16000,16100,232100
ACB,3657110000,19/07/2013,,16000,16100,16000,16000,228500
ACB,6779280000,22/07/2013,,16100,16100,16000,16000,423700
ACB,2417230000,23/07/2013,,16100,16100,16000,16100,150900
ACB,6609600000,24/07/2013,,16000,16000,16000,16000,413100
ACB,3683220000,25/07/2013,,15900,16000,15800,15800,231700
ACB,6376580000,26/07/2013,,15900,15900,15700,15900,403600
ACB,2425073700,29/07/2013,,15800,16000,15800,15900,152682
ACB,3111511600,30/07/2013,,15900,16000,15800,16000,195753
ACB,3111511600,30/07/2013,,15900,16000,15800,16000,195753
ACB,7416209300,31/07/2013,,15800,16000,15800,15800,468415
