Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
BCM,2063000000,21/02/2018,,29600,29600,25000,25000,81200
BCM,729000000,22/02/2018,,26000,26000,25000,25000,28900
BCM,865320000,23/02/2018,,25200,25200,22400,23000,37800
BCM,455040000,26/02/2018,,22000,24300,20000,22900,21100
BCM,756560000,27/02/2018,,24800,24800,20000,24000,34700
BCM,50420000,28/02/2018,,20400,22000,20400,22000,2300
BCM,462230000,01/03/2018,,22000,22200,21000,22200,21100
BCM,530410000,02/03/2018,,21900,21900,20500,21600,24900
BCM,755520000,05/03/2018,,21200,21500,21000,21300,35500
BCM,90990000,06/03/2018,,22500,22500,20500,21700,4200
BCM,90990000,06/03/2018,,22500,22500,20500,21700,4200
BCM,60900000,07/03/2018,,20500,20500,20000,20200,3000
BCM,44100000,08/03/2018,,21000,21000,21000,21000,2100
BCM,735450000,09/03/2018,,21000,21000,18000,20900,36700
BCM,139550000,12/03/2018,,20000,20900,19500,20500,7000
BCM,295860000,13/03/2018,,20000,20000,19200,19800,15100
BCM,223430000,14/03/2018,,19100,19700,18800,18800,11700
BCM,561410000,15/03/2018,,18300,19500,18000,19300,29700
BCM,671450000,16/03/2018,,20900,21500,19500,20000,33500
BCM,293300000,19/03/2018,,20200,21200,20200,21200,14000
BCM,2027930000,20/03/2018,,20000,20900,19100,20000,101100
BCM,1253770000,21/03/2018,,20500,20500,19100,19800,63600
BCM,2849840000,22/03/2018,,20000,22400,19800,22400,135400
BCM,2180840000,23/03/2018,,22300,23800,22000,23500,97700
BCM,4676390000,26/03/2018,,24300,24400,22700,24000,198500
BCM,8621610000,27/03/2018,,24000,26800,20800,24000,362200
BCM,10329310000,28/03/2018,,23600,26200,22500,23900,433200
BCM,6532970000,29/03/2018,,23800,25300,23500,23800,272700
BCM,1129030000,30/03/2018,,24100,25000,24100,24900,46000
BCM,1210940000,02/04/2018,,25000,25700,25000,25700,47800
BCM,1296790000,03/04/2018,,25900,27000,25500,26300,49300
BCM,1570160000,04/04/2018,,26300,26300,25600,26000,60400
