Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
BID,0,23/01/2014,,18700,18700,18700,18700,0
BID,159071334000,24/01/2014,,19000,19500,18500,18800,8417060
BID,59509335000,27/01/2014,,18700,18800,18100,18400,3240910
BID,17135299000,06/02/2014,,18200,18300,17600,17600,959590
BID,50252206000,07/02/2014,,17400,17500,16500,16600,2987600
BID,67917832000,10/02/2014,,16500,17200,16200,17000,4052090
BID,33059183000,11/02/2014,,17200,17200,16900,16900,1938480
BID,19761121000,12/02/2014,,16800,16900,16700,16800,1176180
BID,35981209000,13/02/2014,,16800,16900,16600,16600,2156140
BID,25030333000,14/02/2014,,16800,17000,16600,16800,1489380
BID,19622537000,17/02/2014,,16900,16900,16600,16700,1173560
BID,30962065000,18/02/2014,,16700,16700,16600,16600,1861540
BID,49763233000,19/02/2014,,16700,16800,16500,16600,2988120
BID,54825425000,20/02/2014,,16700,17200,16600,16900,3243650
BID,15122243000,21/02/2014,,16800,16800,16700,16700,903040
BID,13892557000,24/02/2014,,16800,16800,16600,16700,833430
BID,20754383000,25/02/2014,,16600,16700,16500,16700,1249150
BID,20754383000,25/02/2014,,16600,16700,16500,16700,1249150
BID,23420081000,26/02/2014,,16700,16900,16600,16700,1399670
BID,63403592000,27/02/2014,,16700,17400,16700,16900,3731900
BID,19505887000,28/02/2014,,16800,17000,16800,17000,1154560
BID,16011462000,03/03/2014,,16900,17000,16700,16700,954830
BID,25740194000,04/03/2014,,16600,16700,16500,16600,1551740
BID,12295954000,05/03/2014,,16700,16800,16600,16600,737090
BID,12753434000,06/03/2014,,16600,16700,16500,16600,768340
BID,12839830000,07/03/2014,,16600,16700,16600,16600,773450
BID,15933866000,10/03/2014,,16600,16800,16600,16700,957770
BID,12507020000,11/03/2014,,16600,16700,16600,16600,752790
BID,16247808000,12/03/2014,,16600,16700,16500,16500,979430
BID,13328578000,13/03/2014,,16600,16600,16400,16500,806950
BID,15299605000,14/03/2014,,16600,16700,16400,16600,924510
BID,16403669000,17/03/2014,,16600,16700,16500,16600,989350
BID,36323243000,18/03/2014,,16600,16900,16500,16800,2171570
BID,96962719000,19/03/2014,,16900,17400,16900,17400,5624790
BID,58944439000,20/03/2014,,17500,18000,17500,17700,3325420
BID,21771739000,21/03/2014,,17500,17800,17500,17500,1236010
BID,44254882000,24/03/2014,,17700,18000,17600,17600,2498010
BID,35769387000,25/03/2014,,17700,17700,17200,17200,2051430
BID,34569337000,26/03/2014,,17300,17300,16700,16800,2030920
BID,17239311000,27/03/2014,,16900,16900,16700,16800,1026180
BID,17239311000,27/03/2014,,16900,16900,16700,16800,1026180
BID,12058250000,28/03/2014,,16800,17000,16800,17000,713160
BID,14094511000,31/03/2014,,17100,17100,16800,16800,831760
BID,28529965000,01/04/2014,,16900,16900,16600,16700,1701600
BID,20255491000,02/04/2014,,16700,16800,16500,16700,1217110
BID,8704591000,03/04/2014,,16700,16900,16600,16800,519700
BID,10223215000,04/04/2014,,16900,16900,16700,16900,608360
BID,7424442000,07/04/2014,,16800,16900,16700,16800,441790
BID,8657990000,08/04/2014,,16800,16900,16700,16700,515610
BID,8114991000,10/04/2014,,16700,16800,16700,16700,485550
BID,11139432000,11/04/2014,,16600,16700,16500,16600,670380
BID,6921912000,14/04/2014,,16700,16800,16600,16700,414100
BID,7952051000,15/04/2014,,16600,16700,16500,16500,480360
BID,17250560000,16/04/2014,,16500,16500,15800,16000,1065090
BID,11053211000,17/04/2014,,16000,16400,16000,16100,681040
BID,12243898000,18/04/2014,,16100,16200,15900,15900,763370
BID,8865436000,21/04/2014,,15900,15900,15400,15500,565920
BID,8230197000,22/04/2014,,15400,15800,15300,15800,529160
BID,3430359000,23/04/2014,,15900,15900,15600,15800,217960
BID,4546911000,24/04/2014,,15700,15900,15700,15900,288090
BID,8149581000,25/04/2014,,15700,16000,15700,15700,516240
BID,5278945000,28/04/2014,,15700,15800,15600,15700,336220
BID,3196577000,29/04/2014,,15700,15800,15700,15800,202970
BID,4733164000,05/05/2014,,15900,15900,15500,15600,301760
BID,7320848000,06/05/2014,,15500,15600,15100,15200,479520
BID,4213067000,07/05/2014,,15200,15600,15200,15500,274120
BID,22099097000,08/05/2014,,15300,15300,14500,14600,1515840
BID,4534444000,09/05/2014,,14400,14800,14400,14800,308830
BID,7288128000,12/05/2014,,14700,14700,13800,14000,520700
BID,9730486000,13/05/2014,,13500,14200,13500,14100,695610
BID,6821512000,14/05/2014,,14000,14800,14000,14700,473470
BID,9180116000,15/05/2014,,14800,14800,13900,14200,636940
BID,4807405000,16/05/2014,,14200,14600,14100,14600,333670
BID,5213678000,19/05/2014,,14400,14700,14400,14500,357580
BID,2643212000,20/05/2014,,14500,14700,14400,14700,181780
BID,8912854000,21/05/2014,,14600,15000,14400,14900,604540
BID,3438840000,22/05/2014,,14900,14900,14600,14600,233070
BID,2385437000,23/05/2014,,14700,14700,14500,14700,163360
BID,1509833000,26/05/2014,,14500,14700,14500,14600,103450
BID,1509833000,26/05/2014,,14500,14700,14500,14600,103450
BID,6595179000,27/05/2014,,14600,15000,14600,15000,445140
BID,6033562000,28/05/2014,,15000,15000,14800,14900,404820
BID,6295424000,29/05/2014,,14800,15000,14800,14900,423040
BID,2842499000,30/05/2014,,14800,14900,14700,14800,192420
BID,4063076000,02/06/2014,,14800,14800,14500,14600,278960
BID,2456462000,03/06/2014,,14500,14700,14500,14500,168500
BID,2276560000,04/06/2014,,14500,14600,14300,14500,157450
BID,792453000,05/06/2014,,14500,14500,14300,14500,54870
BID,1331699000,06/06/2014,,14400,14600,14400,14600,91870
BID,2358293000,09/06/2014,,14600,14700,14400,14500,162110
BID,3159546000,10/06/2014,,14500,14800,14400,14700,216450
BID,5283698000,11/06/2014,,14700,14700,14500,14700,361280
BID,6723297000,12/06/2014,,14700,14900,14700,14900,454450
BID,7543880000,13/06/2014,,14800,15000,14700,14900,507030
BID,5120702000,16/06/2014,,14900,15000,14800,14900,343780
BID,3593745000,17/06/2014,,14900,15000,14800,14900,241630
BID,6352914000,18/06/2014,,14900,15000,14800,14900,427080
BID,4586479000,19/06/2014,,14800,14900,14600,14900,310390
BID,2022026000,20/06/2014,,14800,14900,14700,14700,136260
BID,3118015000,23/06/2014,,14700,14900,14700,14900,210760
BID,4731972000,24/06/2014,,14800,15000,14800,15000,317550
BID,4203857000,25/06/2014,,14900,15000,14800,15000,282130
BID,4203857000,25/06/2014,,14900,15000,14800,15000,282130
BID,8457865000,26/06/2014,,14900,15300,14800,15100,561760
BID,4456278000,27/06/2014,,15000,15200,15000,15200,295440
BID,3925661000,30/06/2014,,15200,15200,15000,15200,259480
BID,5661747000,01/07/2014,,15100,15100,15000,15100,375930
BID,9812572000,02/07/2014,,15100,15300,15000,15200,650420
BID,5938001000,03/07/2014,,15200,15300,15100,15200,391260
BID,3133723000,04/07/2014,,15200,15200,15100,15200,206750
BID,3803437000,07/07/2014,,15100,15200,15000,15000,252570
BID,4254856000,08/07/2014,,15000,15100,14800,14800,284940
BID,4562525000,09/07/2014,,14900,15100,14800,15000,304900
BID,5141368000,10/07/2014,,15000,15000,14800,14800,344960
BID,1736677000,11/07/2014,,14900,14900,14800,14900,117230
BID,1229268000,14/07/2014,,14800,14900,14700,14800,82990
BID,5256045000,15/07/2014,,14800,14900,14700,14900,355370
BID,5324823000,16/07/2014,,15000,15000,14900,14900,356200
BID,1538018000,17/07/2014,,14900,15000,14800,14900,103650
BID,5190063000,18/07/2014,,15000,15000,14900,15000,347570
BID,1880648000,21/07/2014,,14900,15000,14800,14900,126260
BID,1417108000,22/07/2014,,14800,14900,14700,14800,95750
BID,2098716000,23/07/2014,,14900,14900,14700,14700,142650
BID,2748592000,24/07/2014,,14700,14900,14700,14800,185940
BID,26622907000,25/07/2014,,14800,15700,14800,15300,1736770
BID,26622907000,25/07/2014,,14800,15700,14800,15300,1736770
BID,6861675000,28/07/2014,,15300,15400,15100,15300,450520
BID,3693985000,29/07/2014,,15400,15400,15100,15100,242380
BID,20484511000,30/07/2014,,15100,15400,15000,15200,1349570
BID,5425512000,31/07/2014,,15200,15300,15100,15200,356880
BID,6207826000,01/08/2014,,15200,15400,15200,15300,406370
BID,22848112000,04/08/2014,,15300,15800,15300,15700,1466890
BID,11448705000,05/08/2014,,15700,15800,15600,15700,730130
BID,4341193000,06/08/2014,,15700,15700,15500,15600,278630
BID,9387591000,07/08/2014,,15500,15700,15500,15600,603770
BID,13364042000,08/08/2014,,15000,15000,14600,14800,899050
BID,3729727000,11/08/2014,,14700,14800,14500,14500,256040
BID,3640990000,12/08/2014,,14500,14500,14300,14400,252780
BID,4724805000,13/08/2014,,14300,14500,14200,14500,329460
BID,3750826000,14/08/2014,,14400,14600,14300,14300,261390
BID,2874108000,15/08/2014,,14400,14400,14200,14200,202100
BID,10061554000,18/08/2014,,14100,14200,13800,13900,721730
BID,4800043000,19/08/2014,,13900,14000,13900,13900,343930
BID,5166478000,20/08/2014,,13900,14000,13900,14000,370800
BID,6702137000,21/08/2014,,14100,14200,13900,14200,475540
BID,8193737000,22/08/2014,,14200,14200,13900,13900,585500
BID,4379790000,25/08/2014,,14000,14000,13900,13900,313870
BID,5120651000,26/08/2014,,14000,14100,13900,14100,367320
BID,3176304000,27/08/2014,,14100,14100,13900,13900,227180
BID,2814452000,28/08/2014,,13900,14000,13900,14000,202330
BID,30077221000,29/08/2014,,14000,14900,13900,14900,2090500
BID,8820703000,03/09/2014,,14900,15100,14600,14700,593880
BID,5674040000,04/09/2014,,14600,14800,14400,14500,390050
BID,10578089000,05/09/2014,,14400,14500,14200,14400,739480
BID,12074586000,08/09/2014,,14400,14400,14200,14200,846120
BID,5661595000,09/09/2014,,14200,14300,14000,14200,399870
BID,3543774000,10/09/2014,,14100,14200,14000,14100,252240
BID,2952051000,11/09/2014,,14200,14200,14000,14100,209860
BID,3517258000,12/09/2014,,14100,14200,14000,14100,250500
BID,5504799000,15/09/2014,,14100,14200,13900,14000,392500
BID,6588363000,16/09/2014,,14000,14000,13800,13900,473890
