Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
BVH,12490038000,02/01/2013,,39800,40300,39500,40300,312150
BVH,50494205000,03/01/2013,,41900,42300,40900,42300,1198550
BVH,22497768000,04/01/2013,,42500,44400,42300,44400,507990
BVH,7461255000,07/01/2013,,46600,46600,46500,46600,160150
BVH,36411303000,08/01/2013,,48900,48900,48000,48900,745150
BVH,44606319000,09/01/2013,,51000,51000,46500,46500,899740
BVH,67248495000,10/01/2013,,44300,48800,44200,48800,1482200
BVH,24420173000,11/01/2013,,50500,50500,47000,47000,500180
BVH,35096404000,14/01/2013,,46000,46200,44700,44700,776550
BVH,28642820000,15/01/2013,,44500,45900,42200,44100,652740
BVH,25720834000,16/01/2013,,45200,47100,45000,46500,550030
BVH,15120043000,17/01/2013,,46500,46900,44000,44000,332240
BVH,18929629000,18/01/2013,,45400,46000,43500,44700,422620
BVH,9973027000,21/01/2013,,44700,45000,43500,43500,226380
BVH,19541330000,22/01/2013,,43000,43900,41200,42000,457370
BVH,18256006000,23/01/2013,,43000,44000,41900,42500,429720
BVH,19631405000,24/01/2013,,42500,45400,42500,45400,439670
BVH,40376883000,25/01/2013,,46400,48500,46200,48500,839880
BVH,44320625000,28/01/2013,,50500,51500,50000,51500,862260
BVH,53990162000,29/01/2013,,51500,54500,48000,52500,1037470
BVH,29186915000,30/01/2013,,54000,56000,52000,55000,538790
BVH,50328670000,31/01/2013,,53500,54500,51500,52500,953990
BVH,50328670000,31/01/2013,,53500,54500,51500,52500,953990
BVH,47641260000,01/02/2013,,51500,56000,51000,56000,884370
BVH,30095200000,04/02/2013,,58000,59000,56500,58000,519670
BVH,31856560000,05/02/2013,,57000,58000,56000,56000,561500
BVH,42610095000,06/02/2013,,56500,59500,56500,59500,730270
BVH,26389925000,07/02/2013,,59500,61000,58000,58000,445630
BVH,12256120000,08/02/2013,,58000,60500,57500,59500,207000
BVH,10300905000,18/02/2013,,61500,61500,57500,57500,174690
BVH,26964685000,19/02/2013,,57000,58500,56500,58000,468680
BVH,17142855000,20/02/2013,,57500,59500,57500,59500,293700
BVH,20170355000,21/02/2013,,59500,59500,55500,55500,353260
BVH,23782985000,22/02/2013,,57000,57500,52000,53500,437250
BVH,14292485000,25/02/2013,,55000,56500,53000,55000,259480
BVH,18743295000,26/02/2013,,54500,55000,51500,51500,354580
BVH,17662484000,27/02/2013,,51500,51500,48500,50000,352660
BVH,12562710000,28/02/2013,,52000,53500,52000,53500,235610
BVH,24993770000,01/03/2013,,55000,57000,54500,56500,446680
BVH,20180540000,04/03/2013,,56500,56500,53000,53000,375750
BVH,12762224000,05/03/2013,,52500,52500,49500,50500,252240
BVH,12966780000,06/03/2013,,52500,54000,50500,54000,249400
BVH,13474240000,07/03/2013,,53000,54500,51000,51000,255320
BVH,7093470000,08/03/2013,,53000,53500,51000,52500,135170
BVH,47130100000,11/03/2013,,52500,53500,50000,51500,918510
BVH,32492765000,12/03/2013,,51500,53000,50000,52500,631250
BVH,39971428000,13/03/2013,,51500,53000,49900,51000,786520
BVH,27315975000,14/03/2013,,50500,51000,50000,51000,541350
BVH,62496390000,15/03/2013,,51500,53000,51000,52000,1200540
BVH,17686385000,18/03/2013,,52000,52500,50500,50500,344470
BVH,26915370000,19/03/2013,,50000,52000,50000,52000,529620
BVH,14147320000,20/03/2013,,52000,52500,51000,51000,273720
BVH,20366910000,21/03/2013,,52000,52500,51000,51000,393650
BVH,26826904000,22/03/2013,,51500,51500,49600,50000,530080
BVH,19615945000,25/03/2013,,51000,52000,50500,51500,383890
BVH,11175110000,26/03/2013,,52000,52000,51000,51000,217750
