Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
CTG,18478950000,02/01/2013,,20800,21100,20400,21100,885890
CTG,19456986000,03/01/2013,,21000,21000,20500,20900,935770
CTG,13124342000,04/01/2013,,20800,21300,20600,21000,627400
CTG,37926774000,07/01/2013,,21500,21500,20900,21100,1796680
CTG,15967949000,08/01/2013,,21000,21300,20900,21300,756690
CTG,32230214000,09/01/2013,,22000,22000,21200,22000,1476400
CTG,34127509000,10/01/2013,,21500,22800,21500,22800,1530930
CTG,19798883000,11/01/2013,,23000,23200,22300,22300,870080
CTG,8436208000,14/01/2013,,21900,22200,21700,22100,384230
CTG,10470181000,15/01/2013,,22200,22400,21700,22400,473080
CTG,7332563000,16/01/2013,,22500,23000,22400,22500,323980
CTG,4582185000,17/01/2013,,22700,22700,22100,22200,205190
CTG,8817872000,18/01/2013,,22200,22200,21800,21900,400750
CTG,5540811000,21/01/2013,,21900,21900,21400,21400,257050
CTG,6153940000,22/01/2013,,21300,21500,21000,21000,290790
CTG,6474656000,23/01/2013,,21300,21500,20800,20900,307960
CTG,3940143000,24/01/2013,,21000,21400,20800,21200,187140
CTG,23928115000,25/01/2013,,21500,22600,21500,22600,1073500
CTG,18376936000,28/01/2013,,23200,23300,22800,22900,796030
CTG,22102003000,29/01/2013,,22300,23500,22300,23500,954260
CTG,27033402000,30/01/2013,,23500,23600,23300,23400,1153000
CTG,22470533000,31/01/2013,,23300,23300,22900,23000,974180
CTG,22470533000,31/01/2013,,23300,23300,22900,23000,974180
CTG,15621404000,01/02/2013,,22900,23400,22600,23400,677210
CTG,5851408000,04/02/2013,,23500,23500,23000,23000,252500
CTG,5211054000,05/02/2013,,23000,23000,22600,22800,228640
CTG,18388929000,06/02/2013,,23200,23400,23200,23400,788620
CTG,6112869000,07/02/2013,,23300,23500,23300,23400,261460
CTG,9983348000,08/02/2013,,23500,23700,23500,23700,423540
CTG,6762692000,18/02/2013,,23700,23900,23500,23500,285890
CTG,23850031000,19/02/2013,,23300,23400,22800,23200,1032760
CTG,18267336000,20/02/2013,,23200,23200,22700,23200,796150
CTG,5742142000,21/02/2013,,22900,23300,22700,22700,250660
CTG,12488493000,22/02/2013,,22700,22900,22400,22400,552820
CTG,13497257000,25/02/2013,,22500,22600,21700,22000,609200
CTG,31046626000,26/02/2013,,22000,22000,20500,20500,1472580
CTG,16569020000,27/02/2013,,20800,21400,20600,21100,790150
CTG,58077923000,28/02/2013,,21100,21200,20000,20000,2846940
CTG,22997665000,01/03/2013,,20200,20700,20200,20300,1126250
CTG,20254155000,04/03/2013,,20000,20000,19200,19200,1034400
