Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
FPT,13747974000,02/01/2013,,35300,36600,35300,36400,380320
FPT,13232653000,03/01/2013,,36400,36600,35300,35900,366960
FPT,10011976000,04/01/2013,,35700,36400,35600,36400,278020
FPT,7420798000,07/01/2013,,36200,36500,36000,36200,204570
FPT,20029053000,08/01/2013,,36300,38000,36200,38000,535860
FPT,63221735000,09/01/2013,,39900,39900,38500,39000,1588500
FPT,23738912000,10/01/2013,,38700,39800,38600,39500,607050
FPT,24127243000,11/01/2013,,39500,39700,38800,38900,614810
FPT,18952170000,14/01/2013,,38200,38500,37600,37700,499600
FPT,13661376000,15/01/2013,,37700,38700,37700,38200,357880
FPT,14260412000,16/01/2013,,38600,39200,38200,38600,368380
FPT,11199870000,17/01/2013,,38500,38700,38100,38100,292200
FPT,13753199000,18/01/2013,,37800,38100,37700,37900,362960
FPT,4498103000,21/01/2013,,37800,38000,37500,37700,119000
FPT,13836342000,22/01/2013,,37700,37900,36300,37100,373240
FPT,7143118000,23/01/2013,,36900,37300,36900,37100,192530
FPT,5347563000,24/01/2013,,37300,38100,37300,38000,141650
FPT,30841033000,25/01/2013,,38400,39500,38400,39300,787540
FPT,22444874000,28/01/2013,,39500,40800,39500,39800,558550
FPT,8217297000,29/01/2013,,39700,40000,39400,39500,207130
FPT,28063176000,30/01/2013,,40000,41600,40000,40800,689630
FPT,14783306000,31/01/2013,,40600,40700,40000,40100,366670
FPT,14783306000,31/01/2013,,40600,40700,40000,40100,366670
FPT,12762470000,01/02/2013,,40000,40000,39000,39500,323300
FPT,6565481000,04/02/2013,,39800,39800,39200,39400,166570
FPT,7159834000,05/02/2013,,39100,39400,38900,39200,183200
FPT,3579621000,06/02/2013,,39100,40000,39100,39400,90900
FPT,6134413000,07/02/2013,,39500,39600,39300,39600,155490
FPT,3660916000,08/02/2013,,39700,40500,39500,39800,92170
FPT,5228733000,18/02/2013,,39800,40200,39700,40000,131010
FPT,6701593000,19/02/2013,,40000,40100,39600,39700,168260
FPT,6779888000,20/02/2013,,39200,39700,39200,39500,171590
FPT,12041159000,21/02/2013,,39500,39600,38600,38600,307570
FPT,13057142000,22/02/2013,,38900,39400,37500,38500,337970
FPT,5524602000,25/02/2013,,38900,38900,38300,38400,143330
FPT,10711052000,26/02/2013,,38400,38400,36900,36900,285040
FPT,10383918000,27/02/2013,,36600,37300,36500,36600,283110
FPT,7041783000,28/02/2013,,36600,37200,36600,37000,191070
FPT,3579362000,01/03/2013,,37100,37100,36800,37000,96880
FPT,8214869000,04/03/2013,,36900,36900,36000,36200,225550
FPT,6995730000,05/03/2013,,36000,36200,35700,35700,194960
FPT,2174391000,06/03/2013,,35700,36300,35700,36200,60350
FPT,4171819000,07/03/2013,,36500,36500,35600,36000,115870
FPT,4250211000,08/03/2013,,35900,36900,35900,36800,116190
FPT,2918472000,11/03/2013,,36800,37500,36800,37400,78540
FPT,2499221000,12/03/2013,,37200,37800,36900,37400,67310
FPT,2467823000,13/03/2013,,37600,37600,37000,37100,66390
FPT,581846000,14/03/2013,,37500,37500,37100,37300,15620
FPT,514437000,15/03/2013,,37400,37400,37100,37200,13800
FPT,2024639000,18/03/2013,,37300,37400,36900,36900,54560
FPT,1006126000,19/03/2013,,36700,37100,36700,37000,27280
FPT,2357356000,20/03/2013,,37300,37500,37000,37200,63140
FPT,10425256000,21/03/2013,,37400,38600,37300,38200,274540
FPT,14984096000,22/03/2013,,38600,39800,38000,38000,387570
FPT,6668011000,25/03/2013,,38700,38700,38200,38500,173440
FPT,5326454000,26/03/2013,,38800,38800,38300,38300,138400
FPT,7101985000,27/03/2013,,38200,38300,37800,37800,187110
FPT,3713526000,28/03/2013,,37900,38200,37800,37800,97940
FPT,6946453000,29/03/2013,,37800,38000,37500,37800,184310
FPT,5426996000,01/04/2013,,37600,38400,37600,38400,142540
FPT,5426996000,01/04/2013,,37600,38400,37600,38400,142540
FPT,16083003000,02/04/2013,,38500,39400,38500,38700,413850
FPT,4965745000,03/04/2013,,38800,38900,38400,38400,128770
FPT,2227082000,04/04/2013,,38500,38500,38000,38100,58120
FPT,4705776000,05/04/2013,,38000,38400,38000,38400,123140
FPT,28340354000,08/04/2013,,38400,39700,38400,39700,721860
FPT,36572475000,09/04/2013,,39800,41600,39700,40900,894350
FPT,12366424000,10/04/2013,,41000,41000,39800,39800,305550
FPT,12262156000,11/04/2013,,39800,39800,38900,39200,312510
FPT,13011072000,12/04/2013,,39500,39700,38700,39000,332180
FPT,12280768000,15/04/2013,,38500,39000,37600,37800,320830
FPT,5157855000,16/04/2013,,37800,37900,36800,37500,137720
FPT,4019633000,17/04/2013,,38200,38500,37500,38000,105540
FPT,5057778000,18/04/2013,,37600,37800,36900,37000,135860
FPT,5310201000,22/04/2013,,37500,37500,36900,36900,143400
FPT,2643701000,23/04/2013,,37400,37400,37000,37300,70860
FPT,5576224000,24/04/2013,,37500,37500,36900,37100,150350
FPT,1725311000,25/04/2013,,37600,37600,37100,37200,46180
FPT,1921308000,26/04/2013,,37200,37400,37100,37200,51690
FPT,2464306000,02/05/2013,,37400,37400,37000,37000,66280
FPT,2717599000,03/05/2013,,37100,37200,37000,37100,73320
FPT,7103567000,06/05/2013,,37400,38300,37100,38300,188450
FPT,3451317000,07/05/2013,,38000,38300,37500,37500,91010
FPT,4639238000,08/05/2013,,38000,38100,37600,37800,122380
FPT,3059721000,09/05/2013,,38000,38000,37800,37800,80750
