Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
GAS,3531150000,02/01/2013,,38700,39000,38600,39000,90770
GAS,63160046000,03/01/2013,,39000,39500,38800,39000,1618510
GAS,51851414000,04/01/2013,,39700,40200,39000,39900,1318980
GAS,28060858000,07/01/2013,,40000,40300,39900,39900,701600
GAS,35346743000,08/01/2013,,39800,41400,39600,40800,871680
GAS,48655790000,09/01/2013,,41200,41700,39900,40100,1192690
GAS,11512029000,10/01/2013,,40100,40800,39900,40800,286010
GAS,42781639000,11/01/2013,,41000,42800,41000,42800,1009650
GAS,22299670000,14/01/2013,,42800,44900,42700,44200,504790
GAS,20703649000,15/01/2013,,44200,44200,43100,43300,476420
GAS,68400949000,16/01/2013,,43200,44300,43200,43700,1560150
GAS,21704896000,17/01/2013,,43700,43800,42000,42000,505310
GAS,22947544000,18/01/2013,,42000,42500,41500,41600,550040
GAS,30529439000,21/01/2013,,41800,41800,40600,40700,745790
GAS,35174883000,22/01/2013,,40500,41800,40300,40700,864580
GAS,6154025000,23/01/2013,,41200,41200,40400,40700,151470
GAS,42057530000,24/01/2013,,40700,42100,40700,41900,1013370
GAS,42682633000,25/01/2013,,42200,44800,42000,44800,976320
GAS,41382588000,28/01/2013,,47000,47900,45500,45500,868650
GAS,37852427000,29/01/2013,,45100,46700,44900,45500,831050
GAS,19497685000,30/01/2013,,46300,47500,45600,46000,422340
GAS,18542980000,31/01/2013,,45900,46000,44700,44700,409050
GAS,18542980000,31/01/2013,,45900,46000,44700,44700,409050
GAS,15712589000,01/02/2013,,44500,45000,43900,45000,354500
GAS,17285468000,04/02/2013,,46000,46900,45600,46000,373810
GAS,12104932000,05/02/2013,,46000,46200,45300,45500,264910
GAS,21751888000,06/02/2013,,45500,46300,45500,46300,472350
GAS,17278321000,07/02/2013,,46600,46600,46000,46200,373420
GAS,16875829000,08/02/2013,,46300,46700,45800,46700,365340
GAS,16204701000,18/02/2013,,47200,47200,46400,46700,346920
GAS,29986542000,19/02/2013,,46700,46700,46000,46000,647860
GAS,32509496000,20/02/2013,,46200,46800,46100,46400,699390
GAS,41819313000,21/02/2013,,46700,47900,46000,46000,899530
GAS,31803658000,22/02/2013,,46200,46800,45800,46100,689770
GAS,5070056000,25/02/2013,,46700,46700,46100,46300,109600
GAS,25441801000,26/02/2013,,46400,46400,44600,45000,556910
GAS,16498373000,27/02/2013,,45000,46100,44200,46100,365170
GAS,8472264000,28/02/2013,,46200,46400,45700,46000,183820
GAS,14589057000,01/03/2013,,46000,46900,46000,46300,314740
