Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
GVR,5719180000,21/03/2018,,15000,15000,9800,10900,515800
GVR,2769730000,22/03/2018,,11000,11300,10200,10900,260800
GVR,1140030000,23/03/2018,,10600,10600,10000,10500,111800
GVR,2752800000,26/03/2018,,10200,10500,10200,10300,267800
GVR,558660000,27/03/2018,,10800,11000,10500,10900,52200
GVR,1575240000,28/03/2018,,10900,11800,10800,11500,139800
GVR,6930390000,29/03/2018,,11700,12300,11400,11900,587200
GVR,6597240000,30/03/2018,,12400,13000,11300,12300,540800
GVR,4444380000,02/04/2018,,12500,13000,12500,12900,348000
GVR,5366140000,03/04/2018,,12900,13000,12500,12600,421300
GVR,2651770000,04/04/2018,,12800,12800,12000,12000,216100
GVR,1956070000,05/04/2018,,12200,12400,11200,11300,166200
GVR,1956070000,05/04/2018,,12200,12400,11200,11300,166200
GVR,1838450000,06/04/2018,,11800,11800,11000,11100,165600
GVR,831820000,09/04/2018,,10800,10800,10600,10800,78200
GVR,1101340000,10/04/2018,,10600,11200,10500,11100,102000
GVR,3515480000,11/04/2018,,10800,11200,10400,10600,332300
GVR,2061840000,12/04/2018,,10600,10900,10400,10900,192400
GVR,861040000,13/04/2018,,11000,11000,10600,10600,81100
GVR,1083080000,16/04/2018,,10600,10700,10500,10500,102600
GVR,1703140000,17/04/2018,,10400,10800,10400,10800,159800
GVR,899560000,18/04/2018,,10800,10900,10600,10700,83800
GVR,807250000,20/04/2018,,10600,10700,10400,10600,76100
GVR,2213410000,23/04/2018,,10600,10600,10200,10600,211500
GVR,218510000,24/04/2018,,10000,10400,10000,10300,21100
GVR,1043430000,26/04/2018,,10200,10300,10000,10000,102600
GVR,825670000,27/04/2018,,10200,10300,10000,10100,82200
GVR,592000000,02/05/2018,,10000,10000,10000,10000,59200
GVR,570230000,03/05/2018,,10700,10700,10000,10500,56200
GVR,56330000,04/05/2018,,10000,10400,10000,10300,5500
GVR,1311040000,07/05/2018,,10300,10400,10000,10100,130900
GVR,984110000,08/05/2018,,10000,10300,9900,10000,98300
GVR,1660470000,09/05/2018,,10000,10100,9900,10100,166300
GVR,1211500000,10/05/2018,,9900,10200,9800,10000,122500
GVR,1541500000,11/05/2018,,10000,10000,9800,9900,155800
GVR,1204280000,14/05/2018,,9900,9900,9600,9900,122000
GVR,1095310000,15/05/2018,,9900,10000,9700,10000,111100
GVR,382200000,16/05/2018,,9800,9800,9800,9800,39000
GVR,726530000,17/05/2018,,9900,10000,9800,9800,73100
GVR,664460000,18/05/2018,,10000,10000,9900,10000,67100
GVR,1431820000,21/05/2018,,9900,10000,9900,9900,144400
GVR,2100640000,22/05/2018,,10000,10000,9800,9800,212200
GVR,845180000,23/05/2018,,9800,9800,9500,9500,87700
GVR,409900000,24/05/2018,,9600,9700,9500,9600,42700
GVR,316400000,25/05/2018,,9600,9700,9400,9400,33000
GVR,1785660000,28/05/2018,,9400,9500,8800,8900,194500
GVR,429450000,29/05/2018,,8800,9100,8800,8900,48100
GVR,1757120000,30/05/2018,,8800,8800,8500,8500,204200
GVR,625520000,31/05/2018,,8700,8900,8700,8900,70800
GVR,422380000,01/06/2018,,8800,8900,8700,8800,48200
GVR,465810000,04/06/2018,,8800,9000,8700,8800,52900
GVR,465810000,04/06/2018,,8800,9000,8700,8800,52900
GVR,1733920000,05/06/2018,,8800,8800,8400,8400,201900
GVR,1583800000,06/06/2018,,8500,8500,8400,8400,187800
GVR,1218520000,07/06/2018,,8400,8800,8400,8800,144800
GVR,1150120000,08/06/2018,,8500,8500,8300,8400,136900
GVR,507460000,11/06/2018,,8400,8500,8400,8400,60400
GVR,935360000,12/06/2018,,8400,8400,8200,8300,112600
GVR,282010000,13/06/2018,,8300,8400,8300,8400,33700
GVR,1476380000,14/06/2018,,8300,8300,7600,8000,182100
GVR,763620000,15/06/2018,,8100,8100,8000,8000,95300
GVR,817670000,18/06/2018,,8000,8000,7200,8000,106100
GVR,1184380000,19/06/2018,,7800,7800,6700,6900,166500
GVR,1279690000,20/06/2018,,7300,8100,7300,8000,161400
GVR,1100700000,21/06/2018,,8000,8000,7600,8000,141300
GVR,1930980000,22/06/2018,,7700,8100,7600,7800,247200
GVR,1839340000,25/06/2018,,8000,8100,7800,8100,231700
GVR,383060000,26/06/2018,,7900,8300,7800,8300,47800
GVR,2676190000,27/06/2018,,8300,9200,8300,9100,295200
GVR,529400000,28/06/2018,,9100,9200,8700,9000,59600
GVR,568060000,29/06/2018,,9100,9100,8800,8900,64400
GVR,267780000,02/07/2018,,8900,8900,8800,8800,30200
GVR,267340000,03/07/2018,,7900,8700,7900,8700,32300
GVR,1277960000,04/07/2018,,8400,9500,8400,9100,139400
GVR,1277960000,04/07/2018,,8400,9500,8400,9100,139400
GVR,1665980000,05/07/2018,,8900,9100,7900,8500,200300
GVR,754000000,06/07/2018,,8300,8500,8300,8500,90000
GVR,176250000,09/07/2018,,8500,8600,8500,8600,20500
GVR,576520000,10/07/2018,,8200,8500,8100,8500,69100
GVR,3915770000,11/07/2018,,8300,8300,8100,8300,472100
GVR,524100000,12/07/2018,,8300,8300,8000,8000,64000
GVR,3054400000,13/07/2018,,8300,8300,8200,8200,372000
GVR,1532700000,16/07/2018,,8200,8200,8000,8200,187000
GVR,268110000,17/07/2018,,8000,8000,7800,7900,33900
GVR,214910000,18/07/2018,,8200,8200,7900,7900,27200
GVR,771950000,19/07/2018,,7800,7900,7500,7900,101800
GVR,987440000,20/07/2018,,7900,8700,7900,8700,114400
GVR,4000000,23/07/2018,,8700,8900,8500,8700,500
GVR,348500000,24/07/2018,,8200,8200,8100,8100,43000
GVR,491970000,25/07/2018,,8600,8600,8100,8200,60200
GVR,7237350000,26/07/2018,,8200,8500,8200,8500,882600
GVR,2025950000,27/07/2018,,8200,8500,8200,8200,246900
GVR,43960000,30/07/2018,,8200,8200,8100,8200,5400
GVR,608000000,31/07/2018,,8100,8200,8000,8000,74900
GVR,666670000,01/08/2018,,8000,8200,8000,8200,81600
GVR,35640000,02/08/2018,,8100,8100,8100,8100,4400
GVR,88520000,03/08/2018,,8100,8200,8100,8200,10800
GVR,88520000,03/08/2018,,8100,8200,8100,8200,10800
GVR,22960000,06/08/2018,,8200,8200,8200,8200,2800
GVR,564530000,07/08/2018,,8200,8300,8200,8200,68600
GVR,422050000,08/08/2018,,8100,8200,8000,8200,52000
GVR,137360000,09/08/2018,,8200,8200,8100,8100,16800
GVR,336200000,10/08/2018,,8000,8100,8000,8000,41900
GVR,7260000,13/08/2018,,8000,8100,8000,8000,900
GVR,208370000,14/08/2018,,8100,8100,8000,8000,25800
GVR,1885000000,15/08/2018,,8100,8100,8000,8100,235000
GVR,835030000,16/08/2018,,7900,7900,7900,7900,105700
