Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
HDB,1239285580000,05/01/2018,,39000,39600,36500,39600,32205910
HDB,1239285580000,05/01/2018,,39000,39600,36500,39600,32205910
HDB,131897480000,08/01/2018,,40000,40000,39600,39700,3321420
HDB,179437310000,09/01/2018,,39700,39800,38900,39750,4537340
HDB,346856940000,10/01/2018,,39200,40300,39100,40300,8726070
HDB,409754810000,11/01/2018,,40400,42500,40300,42500,9874500
HDB,831018960000,12/01/2018,,42600,45450,42600,45450,18714750
HDB,294871250000,15/01/2018,,45500,45700,44000,45500,6559820
HDB,280753840000,16/01/2018,,44600,45200,44450,44950,6271100
HDB,255593710000,17/01/2018,,44900,44950,42700,42700,5794700
HDB,231342360000,18/01/2018,,42600,44000,41700,44000,5371340
HDB,305326130000,19/01/2018,,44500,46100,44500,45200,6728810
HDB,189896000000,22/01/2018,,44800,45400,44300,45300,4402360
HDB,189896000000,23/01/2018,,44800,45400,44300,45300,0
HDB,0,24/01/2018,,0,0,0,45300,0
HDB,482766140000,25/01/2018,,45500,48300,45000,47800,10284390
HDB,265572150000,26/01/2018,,47800,48100,46300,47000,5637470
HDB,309457840000,29/01/2018,,47100,47500,46300,47050,6592140
HDB,284234000000,30/01/2018,,47050,47050,45700,47000,6121930
HDB,259759310000,31/01/2018,,46900,46900,46000,46600,5581950
HDB,158490000000,01/02/2018,,46600,46700,45800,46000,3428660
HDB,209465260000,02/02/2018,,46000,46000,45300,46000,4567580
HDB,147285810000,05/02/2018,,45200,45600,42800,43000,3353170
HDB,157035870000,06/02/2018,,40000,41300,40000,41000,3906020
HDB,185100170000,07/02/2018,,42400,43850,42300,43850,4238270
HDB,208702360000,08/02/2018,,43850,45850,43500,44900,4667920
HDB,152148860000,09/02/2018,,43800,44700,42100,44600,3454800
HDB,155526050000,12/02/2018,,44700,47000,44650,46500,3436010
HDB,235193990000,13/02/2018,,46950,46950,45500,46600,5066980
HDB,150732460000,21/02/2018,,46900,47100,45500,46700,3263200
HDB,102640540000,22/02/2018,,46200,46200,45000,45000,2243860
HDB,97679050000,23/02/2018,,45000,46500,44350,44550,2175420
HDB,105418040000,26/02/2018,,44550,46000,43650,44000,2378080
HDB,68882030000,27/02/2018,,44500,44600,42800,44500,1579540
HDB,88602000000,28/02/2018,,44000,44500,43000,44400,2241390
HDB,119870330000,01/03/2018,,43300,44000,43200,43950,2739770
HDB,78487420000,02/03/2018,,43500,43550,43200,43550,1808640
HDB,111549650000,05/03/2018,,43600,43700,42900,43000,2578830
HDB,106566010000,06/03/2018,,43000,43550,42800,43200,2479350
HDB,106566010000,06/03/2018,,43000,43550,42800,43200,2479350
HDB,58416000000,07/03/2018,,43200,43900,42200,42500,1357460
HDB,92282000000,08/03/2018,,43000,43500,41800,42500,2182740
HDB,43222000000,09/03/2018,,42100,43400,41900,42500,1018640
HDB,60568000000,12/03/2018,,42500,42900,42200,42500,1427550
HDB,71175250000,13/03/2018,,42500,42500,42050,42300,1687940
HDB,259447000000,14/03/2018,,42500,44250,42400,44000,5974370
HDB,192284330000,15/03/2018,,44000,44600,44000,44500,4347760
HDB,127810010000,16/03/2018,,44700,44800,44500,44800,2863300
HDB,195025920000,19/03/2018,,44800,45350,44300,45200,4333110
HDB,118507700000,20/03/2018,,44850,44900,44000,44000,2666350
HDB,92389000000,21/03/2018,,44000,44200,43150,43500,2119630
HDB,123776040000,22/03/2018,,43500,44000,42500,42500,2881270
HDB,88260840000,23/03/2018,,42000,42200,40900,42000,2122680
HDB,149699380000,26/03/2018,,41100,43700,41100,43700,3490240
HDB,199429440000,27/03/2018,,43700,44950,43700,44800,4513810
HDB,176160950000,28/03/2018,,44600,45450,44450,45450,3904720
HDB,165976000000,29/03/2018,,45500,46300,45450,46000,3603320
HDB,107113480000,30/03/2018,,46000,46000,45000,45900,2358520
HDB,106274000000,02/04/2018,,46000,46100,45500,45600,2317540
HDB,96200000000,03/04/2018,,45400,45800,45150,45600,2115830
HDB,248076000000,04/04/2018,,45900,46600,45600,46500,5350390
HDB,130169020000,05/04/2018,,46500,46800,46200,46450,2804190
HDB,130169020000,05/04/2018,,46500,46800,46200,46450,2804190
HDB,138083000000,06/04/2018,,46450,46500,46100,46450,2975100
HDB,368558000000,09/04/2018,,46500,48700,46300,48700,7770500
HDB,459657000000,10/04/2018,,49000,50600,49000,50600,9215650
HDB,283107000000,11/04/2018,,50600,50800,49200,50100,5630290
HDB,133579000000,12/04/2018,,49500,49900,49000,49100,2705590
HDB,150884000000,13/04/2018,,49550,50100,49100,50000,3033930
HDB,143732000000,16/04/2018,,50000,51300,49200,51000,2836140
HDB,85770000000,17/04/2018,,51500,51700,50600,50800,1678660
HDB,238828000000,18/04/2018,,50900,52400,50600,51800,4624790
