Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
HPG,11371809000,02/01/2013,,21000,21200,20800,21100,541540
HPG,15137903000,03/01/2013,,21000,21300,20800,21300,720080
HPG,12461730000,04/01/2013,,21400,22300,21200,22000,569620
HPG,20645993000,07/01/2013,,21200,23100,21200,23100,926020
HPG,35710455000,08/01/2013,,24000,24200,23700,24100,1480180
HPG,44401588000,09/01/2013,,23100,24100,23100,23900,1877280
HPG,22796663000,10/01/2013,,23100,24000,23000,24000,962800
HPG,20258349000,11/01/2013,,24000,24200,23600,23800,849600
HPG,9254949000,14/01/2013,,23200,23600,23200,23400,396190
HPG,22859624000,15/01/2013,,23100,23400,22900,23300,989300
HPG,55349326000,16/01/2013,,23300,24500,23000,23600,2347480
HPG,19386293000,17/01/2013,,23500,23600,22900,22900,837430
HPG,7787498000,18/01/2013,,23000,23000,22300,22900,344660
HPG,15655434000,21/01/2013,,22500,22900,22200,22200,697920
HPG,17368842000,22/01/2013,,22000,22200,21200,21800,801790
HPG,7446622000,23/01/2013,,21400,21900,21400,21700,343880
HPG,18514454000,24/01/2013,,21700,23200,21700,23200,829460
HPG,23790203000,25/01/2013,,23400,23800,23200,23700,1009460
HPG,66893756000,28/01/2013,,23800,24500,23800,23800,2762600
HPG,40144876000,29/01/2013,,23800,24500,23500,24400,1651520
HPG,55131412000,30/01/2013,,24500,26100,24500,25300,2172950
HPG,28901040000,31/01/2013,,25100,25300,24600,24900,1160050
HPG,28901040000,31/01/2013,,25100,25300,24600,24900,1160050
HPG,26671549000,01/02/2013,,24800,24800,24300,24700,1087160
HPG,27044070000,04/02/2013,,24700,24800,24300,24300,1102750
HPG,20839200000,05/02/2013,,24000,25100,23900,24700,843750
HPG,36945856000,06/02/2013,,25200,25800,25000,25800,1449490
HPG,58594287000,07/02/2013,,26300,26500,25900,26100,2242560
HPG,19730649000,08/02/2013,,26400,26400,26100,26100,752510
HPG,34677830000,18/02/2013,,26200,26400,25900,26300,1322060
HPG,34285110000,19/02/2013,,26200,26300,26000,26200,1309920
HPG,31883011000,20/02/2013,,26000,26300,25700,26300,1224050
HPG,60843397000,21/02/2013,,26300,26900,24500,24500,2332340
HPG,35415985000,22/02/2013,,25000,25600,24100,24800,1422600
HPG,20284108000,25/02/2013,,25500,25500,24700,25400,806200
HPG,31840730000,26/02/2013,,25200,25200,23900,23900,1295340
