Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
MBB,44871098000,02/01/2013,,12600,13100,12600,13100,3467810
MBB,26113719000,03/01/2013,,13200,13200,12700,12900,2020300
MBB,18138840000,04/01/2013,,12900,13100,12700,13000,1401390
MBB,21247341000,07/01/2013,,13000,13200,12900,13100,1625590
MBB,71554871000,08/01/2013,,13000,13700,13000,13600,5318350
MBB,66531632000,09/01/2013,,14000,14200,13300,13400,4792010
MBB,33976382000,10/01/2013,,13400,13900,13300,13900,2494950
MBB,52190178000,11/01/2013,,14000,14300,13900,14000,3715250
MBB,28096526000,14/01/2013,,13800,14000,13500,13900,2037060
MBB,43165071000,15/01/2013,,14000,14400,14000,14200,3057300
MBB,58272105000,16/01/2013,,14300,14500,14200,14400,4070240
MBB,39788146000,17/01/2013,,14300,14500,14100,14100,2785960
MBB,56376015000,18/01/2013,,14100,14200,13800,14100,4014940
MBB,31766734000,21/01/2013,,14100,14500,13900,14000,2241840
MBB,23199557000,22/01/2013,,13900,14000,13500,13600,1691970
MBB,12395797000,23/01/2013,,13700,13800,13400,13600,912980
MBB,9489046000,24/01/2013,,13700,13800,13600,13800,690290
MBB,14510393000,25/01/2013,,13900,14000,13800,13900,1045450
MBB,50382892000,28/01/2013,,13900,14300,13900,14000,3581900
MBB,26455420000,29/01/2013,,14000,14200,13800,14000,1889520
MBB,30223398000,30/01/2013,,14000,14200,13900,14100,2153660
MBB,17110409000,31/01/2013,,14000,14100,13900,13900,1224200
MBB,17110409000,31/01/2013,,14000,14100,13900,13900,1224200
MBB,8051680000,01/02/2013,,13900,13900,13700,13900,582500
MBB,9554256000,04/02/2013,,13900,14000,13700,13700,692890
MBB,14291154000,05/02/2013,,13800,13800,13500,13700,1047720
MBB,9823303000,06/02/2013,,13900,14000,13700,13900,708940
MBB,8702245000,07/02/2013,,13900,14000,13800,13900,626850
MBB,16247614000,08/02/2013,,14000,14300,13900,14100,1154240
MBB,31059832000,18/02/2013,,14200,14300,14000,14300,2183370
MBB,43457818000,19/02/2013,,14300,14400,14100,14200,3043840
MBB,11418385000,20/02/2013,,14100,14200,14000,14100,810230
MBB,18058787000,21/02/2013,,14100,14200,13700,13700,1295440
MBB,35126382000,22/02/2013,,13800,14000,13500,13700,2559730
MBB,8699700000,25/02/2013,,13800,13800,13600,13600,635190
MBB,16220236000,26/02/2013,,13600,13600,13200,13200,1210770
MBB,11763936000,27/02/2013,,13100,13300,13000,13200,894980
MBB,8836535000,28/02/2013,,13400,13500,13300,13400,658650
MBB,4645940000,01/03/2013,,13400,13500,13300,13300,347490
MBB,8593295000,04/03/2013,,13400,13400,13000,13100,653150
MBB,7131559000,05/03/2013,,13200,13200,13000,13100,545480
MBB,5139898000,06/03/2013,,13100,13200,13100,13100,391390
MBB,4767444000,07/03/2013,,13200,13200,13000,13100,363780
MBB,5433154000,08/03/2013,,13100,13200,13100,13100,414720
MBB,4652293000,11/03/2013,,13000,13300,13000,13200,353380
MBB,3128330000,12/03/2013,,13200,13300,13100,13200,237010
MBB,3589012000,13/03/2013,,13200,13200,13000,13100,273610
MBB,2662702000,14/03/2013,,13100,13100,13000,13000,204060
MBB,3258446000,15/03/2013,,13000,13200,13000,13000,249840
MBB,4251747000,18/03/2013,,13000,13100,13000,13000,326950
MBB,4538315000,19/03/2013,,13000,13100,12900,13000,349100
MBB,4302806000,20/03/2013,,13000,13200,13000,13100,329070
MBB,3138117000,21/03/2013,,13100,13200,13100,13100,239210
MBB,6581132000,22/03/2013,,13100,13200,13000,13000,502930
MBB,9598791000,25/03/2013,,13000,13100,12900,13100,735850
MBB,2563317000,26/03/2013,,13100,13200,13000,13100,195680
MBB,2352966000,27/03/2013,,13100,13100,13000,13000,180740
MBB,4171908000,28/03/2013,,13000,13000,12900,12900,322200
MBB,2773511000,29/03/2013,,12900,13000,12800,12900,215300
