Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
MSN,208410000,02/01/2013,,103000,103000,100000,101000,2050
MSN,5113615000,03/01/2013,,103000,103000,99000,101000,50760
MSN,2213670000,04/01/2013,,101000,102000,101000,102000,21720
MSN,23563250000,07/01/2013,,102000,107000,100000,105000,224230
MSN,24729220000,08/01/2013,,106000,110000,106000,110000,225320
MSN,12629530000,09/01/2013,,115000,115000,114000,115000,109840
MSN,27150310000,10/01/2013,,117000,120000,114000,120000,229030
MSN,12227050000,11/01/2013,,125000,125000,120000,120000,100590
MSN,8195250000,14/01/2013,,119000,119000,115000,116000,70350
MSN,7171230000,15/01/2013,,116000,116000,112000,116000,63030
MSN,2442840000,16/01/2013,,116000,116000,114000,114000,21320
MSN,9759490000,17/01/2013,,113000,116000,111000,112000,87070
MSN,4942230000,18/01/2013,,114000,114000,108000,110000,45180
MSN,5894950000,21/01/2013,,111000,112000,107000,108000,54360
MSN,5617100000,22/01/2013,,109000,109000,106000,106000,52690
MSN,4125240000,23/01/2013,,106000,107000,104000,105000,39270
MSN,430020000,24/01/2013,,105000,108000,104000,107000,4050
MSN,4180780000,25/01/2013,,109000,114000,107000,114000,37620
MSN,10819190000,28/01/2013,,114000,120000,113000,119000,92680
MSN,6578500000,29/01/2013,,119000,122000,119000,121000,54430
MSN,29213220000,30/01/2013,,122000,124000,120000,122000,240310
MSN,23460880000,31/01/2013,,122000,122000,117000,119000,197090
MSN,23460880000,31/01/2013,,122000,122000,117000,119000,197090
MSN,22046510000,01/02/2013,,118000,120000,117000,119000,186060
MSN,7918160000,04/02/2013,,121000,121000,116000,116000,67130
MSN,17576930000,05/02/2013,,116000,118000,112000,112000,154830
MSN,27928990000,06/02/2013,,112000,118000,112000,112000,247050
MSN,2994540000,07/02/2013,,113000,117000,112000,116000,26630
MSN,345000000,08/02/2013,,116000,116000,115000,116000,2980
MSN,7241820000,18/02/2013,,117000,118000,116000,117000,61970
MSN,1972120000,19/02/2013,,116000,117000,114000,114000,17170
MSN,11042050000,20/02/2013,,116000,116000,114000,116000,95210
MSN,12126820000,21/02/2013,,115000,118000,111000,111000,104960
MSN,2519760000,22/02/2013,,115000,116000,111000,115000,22330
MSN,2783880000,25/02/2013,,115000,117000,114000,117000,23960
MSN,7209000000,26/02/2013,,116000,117000,111000,114000,62620
MSN,11819690000,27/02/2013,,114000,115000,111000,111000,105190
MSN,12357350000,28/02/2013,,112000,114000,111000,112000,110280
MSN,726840000,01/03/2013,,112000,114000,112000,114000,6430
MSN,4464570000,04/03/2013,,115000,116000,113000,115000,38900
MSN,4735550000,05/03/2013,,114000,116000,114000,114000,41290
MSN,1236900000,06/03/2013,,115000,115000,114000,115000,10840
MSN,3159150000,07/03/2013,,114000,115000,112000,112000,27750
MSN,3268600000,08/03/2013,,115000,115000,113000,115000,28450
MSN,2302290000,11/03/2013,,115000,116000,115000,116000,19930
MSN,5564870000,12/03/2013,,116000,117000,114000,117000,47660
MSN,2025550000,13/03/2013,,117000,117000,116000,117000,17420
MSN,1684470000,14/03/2013,,115000,118000,115000,117000,14420
MSN,30117050000,15/03/2013,,117000,123000,117000,123000,246470
MSN,882200000,18/03/2013,,123000,123000,119000,119000,7360
MSN,3068310000,19/03/2013,,119000,120000,118000,118000,25930
MSN,1463830000,20/03/2013,,119000,121000,118000,120000,12220
MSN,34245530000,21/03/2013,,120000,128000,120000,128000,271460
MSN,18407950000,22/03/2013,,130000,135000,127000,130000,140570
MSN,21811060000,25/03/2013,,130000,132000,128000,129000,167810
MSN,17039010000,26/03/2013,,129000,129000,123000,124000,136570
MSN,5026110000,27/03/2013,,125000,125000,123000,125000,40600
MSN,3950670000,28/03/2013,,125000,125000,122000,123000,32100
MSN,2473920000,29/03/2013,,122000,125000,121000,124000,20280
MSN,7725360000,01/04/2013,,124000,126000,123000,125000,61890
MSN,7725360000,01/04/2013,,124000,126000,123000,125000,61890
MSN,23768410000,02/04/2013,,126000,129000,125000,128000,187030
MSN,4768000000,03/04/2013,,127000,128000,126000,128000,37490
MSN,4901030000,04/04/2013,,128000,128000,125000,125000,38960
MSN,3451310000,05/04/2013,,125000,125000,123000,125000,27760
MSN,3983250000,08/04/2013,,125000,125000,123000,123000,32170
MSN,5140300000,09/04/2013,,123000,125000,123000,123000,41630
MSN,15136430000,10/04/2013,,123000,127000,123000,123000,121170
MSN,3637960000,11/04/2013,,125000,125000,122000,124000,29340
MSN,9292570000,12/04/2013,,125000,125000,121000,121000,75730
MSN,10071190000,15/04/2013,,120000,120000,113000,114000,86620
MSN,20591140000,16/04/2013,,111000,111000,109000,110000,186990
MSN,12581800000,17/04/2013,,113000,116000,110000,116000,112830
MSN,23242800000,18/04/2013,,116000,116000,109000,110000,208500
MSN,4513560000,22/04/2013,,110000,112000,108000,111000,41020
MSN,14109030000,23/04/2013,,110000,113000,110000,111000,127720
