Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
MWG,868310000,14/07/2014,,81000,81500,81000,81500,10660
MWG,1172760000,15/07/2014,,87000,87000,87000,87000,13480
MWG,1607970000,16/07/2014,,93000,93000,93000,93000,17290
MWG,9464440000,17/07/2014,,99500,99500,99500,99500,95120
MWG,14252760000,18/07/2014,,106000,106000,106000,106000,134460
MWG,33849850000,21/07/2014,,113000,113000,101000,106000,311030
MWG,61431430000,22/07/2014,,104000,109000,104000,109000,568890
MWG,2549580000,23/07/2014,,110000,110000,108000,109000,23330
MWG,3630630000,24/07/2014,,108000,109000,108000,108000,33590
MWG,8619320000,25/07/2014,,108000,109000,108000,108000,79630
MWG,8619320000,25/07/2014,,108000,109000,108000,108000,79630
MWG,10136880000,28/07/2014,,108000,109000,108000,108000,93810
MWG,2670580000,29/07/2014,,108000,108000,105000,106000,25300
MWG,1700170000,30/07/2014,,107000,107000,105000,106000,16160
MWG,3838230000,31/07/2014,,105000,105000,101000,103000,37400
MWG,2944210000,01/08/2014,,105000,105000,102000,103000,28290
MWG,1375050000,04/08/2014,,103000,103000,103000,103000,13350
MWG,2238910000,05/08/2014,,104000,105000,104000,104000,21340
MWG,2185490000,06/08/2014,,104000,107000,104000,107000,20800
MWG,1838100000,07/08/2014,,107000,107000,106000,107000,17250
MWG,981210000,08/08/2014,,106000,107000,106000,107000,9190
MWG,20179710000,11/08/2014,,114000,114000,111000,114000,179250
MWG,7448140000,12/08/2014,,115000,118000,115000,118000,64140
MWG,17690150000,13/08/2014,,119000,125000,117000,124000,147010
MWG,19460980000,14/08/2014,,124000,132000,124000,132000,149800
MWG,14057140000,15/08/2014,,140000,141000,136000,141000,100130
MWG,4405240000,18/08/2014,,146000,149000,144000,149000,29910
MWG,5519670000,19/08/2014,,145000,148000,139000,139000,39150
MWG,6255770000,20/08/2014,,131000,140000,131000,139000,46550
MWG,8084590000,21/08/2014,,137000,139000,135000,135000,58570
MWG,6367540000,22/08/2014,,135000,141000,135000,141000,45860
MWG,8815080000,25/08/2014,,145000,146000,141000,144000,61190
MWG,4059060000,26/08/2014,,144000,144000,134000,134000,29880
MWG,1570440000,27/08/2014,,138000,140000,135000,137000,11450
MWG,690280000,28/08/2014,,137000,137000,135000,137000,5070
MWG,2098430000,29/08/2014,,137000,137000,130000,135000,15750
MWG,3395750000,03/09/2014,,136000,136000,133000,135000,25120
MWG,4939290000,04/09/2014,,134000,134000,130000,132000,37750
MWG,6059410000,05/09/2014,,133000,136000,133000,136000,44760
MWG,24234630000,08/09/2014,,138000,145000,136000,145000,171700
MWG,13615190000,09/09/2014,,155000,155000,147000,149000,88810
MWG,3553360000,10/09/2014,,153000,153000,146000,152000,23640
MWG,3900470000,11/09/2014,,151000,154000,150000,152000,25860
MWG,6709760000,12/09/2014,,152000,153000,149000,151000,44670
MWG,2197520000,15/09/2014,,151000,153000,151000,152000,14500
MWG,9924270000,16/09/2014,,151000,152000,150000,152000,65900
MWG,976250000,17/09/2014,,154000,154000,150000,152000,6430
MWG,1985900000,18/09/2014,,150000,154000,150000,154000,13030
MWG,3244970000,19/09/2014,,157000,164000,157000,164000,20120
MWG,4981980000,22/09/2014,,175000,175000,168000,175000,28590
MWG,2437580000,23/09/2014,,180000,183000,174000,174000,13620
MWG,2437580000,23/09/2014,,180000,183000,174000,174000,13620
MWG,1023550000,24/09/2014,,178000,178000,173000,173000,5790
MWG,4897110000,25/09/2014,,170000,170000,161000,161000,30100
MWG,4330000000,26/09/2014,,170000,170000,163000,167000,26080
MWG,1925490000,29/09/2014,,170000,170000,168000,168000,11420
MWG,2071680000,30/09/2014,,165000,169000,165000,169000,12510
MWG,4183150000,01/10/2014,,169000,172000,169000,170000,24590
MWG,8746470000,02/10/2014,,169000,173000,169000,172000,51070
