Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
NVL,433959600000,28/12/2016,,60000,60000,60000,60000,7232660
NVL,191415580000,29/12/2016,,60500,61600,57900,60100,3217540
NVL,143180080000,30/12/2016,,60000,60100,58400,60100,2391160
NVL,30947460000,03/01/2017,,60000,60000,59000,59000,520260
NVL,62654630000,04/01/2017,,59000,59500,59000,59400,1056370
NVL,37672060000,05/01/2017,,59300,59400,59000,59100,637040
NVL,46391210000,06/01/2017,,59000,59200,58800,59200,787010
NVL,65612690000,09/01/2017,,59100,59300,58700,59300,1110630
NVL,47391660000,10/01/2017,,59200,59200,58900,59000,802560
NVL,47391660000,10/01/2017,,59200,59200,58900,59000,802560
NVL,63528940000,11/01/2017,,58900,59100,58700,59100,1077670
NVL,53331710000,12/01/2017,,59000,59100,58700,58800,904360
NVL,56810930000,13/01/2017,,58800,59000,58500,59000,967870
NVL,78494210000,16/01/2017,,58900,59200,58700,59200,1332640
NVL,66574470000,17/01/2017,,59100,59200,58800,58800,1127570
NVL,69332630000,18/01/2017,,58700,59000,58700,58900,1179580
NVL,80148180000,19/01/2017,,58800,59000,58000,58100,1368300
NVL,56820230000,20/01/2017,,58100,58500,57900,58200,975810
NVL,63187800000,23/01/2017,,58200,58400,57800,57800,1087390
NVL,69555000000,24/01/2017,,57800,58200,57600,57900,1201640
NVL,97337910000,25/01/2017,,58000,60600,58000,60600,1636490
NVL,82641210000,02/02/2017,,60700,60900,60400,60900,1363250
NVL,71769420000,03/02/2017,,60800,60900,60300,60900,1185700
NVL,67542550000,06/02/2017,,60800,60800,59900,59900,1119780
NVL,72961490000,07/02/2017,,59700,59800,59200,59500,1226190
NVL,75096100000,08/02/2017,,59500,60000,59100,59100,1262530
NVL,99417740000,09/02/2017,,59100,59700,58800,58800,1679120
NVL,99417740000,09/02/2017,,59100,59700,58800,58800,1679120
NVL,94952420000,10/02/2017,,59000,59600,58800,58800,1606250
NVL,74550350000,13/02/2017,,58900,59500,58900,59200,1257830
NVL,76676510000,14/02/2017,,59200,59600,59200,59200,1291960
NVL,83497370000,15/02/2017,,59200,60000,59200,59500,1404110
NVL,89807100000,16/02/2017,,59800,60600,59600,60300,1493510
NVL,83968030000,17/02/2017,,60300,61400,60300,60800,1384350
NVL,63382680000,20/02/2017,,61000,63500,61000,63100,1026640
NVL,56712730000,21/02/2017,,63500,67000,63100,66000,876160
NVL,57943060000,22/02/2017,,66100,68000,66000,66200,866880
NVL,101387730000,23/02/2017,,66100,66600,64900,65900,1538930
NVL,80537690000,24/02/2017,,65900,65900,64500,65300,1235090
NVL,68295810000,27/02/2017,,65100,66900,65100,66500,1041880
NVL,102064780000,28/02/2017,,66500,69500,66500,67000,1508740
NVL,82925540000,01/03/2017,,67000,68800,67000,68800,1218430
NVL,89772120000,02/03/2017,,68800,69500,68700,68800,1299640
NVL,78490340000,03/03/2017,,68800,69000,67800,68900,1150650
NVL,63906500000,06/03/2017,,68800,69000,68300,68900,929730
NVL,62644120000,07/03/2017,,68800,70000,68300,68600,910580
NVL,71370660000,08/03/2017,,68600,68600,66500,68000,1049060
NVL,68556700000,09/03/2017,,68000,68100,67500,68000,1011710
NVL,72975950000,10/03/2017,,68000,68700,67900,68000,1068090
