Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
PDR,536000,02/01/2013,,18000,18000,17600,18000,30
PDR,0,03/01/2013,,0,0,0,18000,0
PDR,180000,04/01/2013,,18000,18000,18000,18000,10
PDR,187000,07/01/2013,,18700,18700,18700,18700,10
PDR,0,08/01/2013,,0,0,0,18700,0
PDR,1880000,09/01/2013,,18800,18800,18800,18800,100
PDR,195000,10/01/2013,,19500,19500,19500,19500,10
PDR,56916000,11/01/2013,,18600,18600,18600,18600,3060
PDR,7363000,14/01/2013,,17700,19300,17700,19300,410
PDR,732000,15/01/2013,,18000,19200,18000,18000,40
PDR,117644000,16/01/2013,,18800,19200,18800,19200,6150
PDR,550000,17/01/2013,,17900,19200,17900,19200,30
PDR,9650000,18/01/2013,,19300,19300,19300,19300,500
PDR,0,21/01/2013,,0,0,0,19300,0
PDR,0,22/01/2013,,0,0,0,19300,0
PDR,198000,23/01/2013,,19800,19800,19800,19800,10
PDR,0,24/01/2013,,0,0,0,19800,0
PDR,0,25/01/2013,,0,0,0,19800,0
PDR,0,28/01/2013,,0,0,0,19800,0
PDR,0,29/01/2013,,0,0,0,19800,0
PDR,185000,30/01/2013,,18500,18500,18500,18500,10
PDR,1900000,31/01/2013,,19000,19000,19000,19000,100
PDR,1900000,31/01/2013,,19000,19000,19000,19000,100
PDR,0,01/02/2013,,0,0,0,19000,0
PDR,190000,04/02/2013,,19000,19000,19000,19000,10
PDR,0,05/02/2013,,0,0,0,19000,0
PDR,1900000,06/02/2013,,19000,19000,19000,19000,100
PDR,203000,07/02/2013,,20300,20300,20300,20300,10
PDR,0,08/02/2013,,0,0,0,20300,0
PDR,2030000,18/02/2013,,20300,20300,20300,20300,100
PDR,0,19/02/2013,,0,0,0,20300,0
PDR,15150000,20/02/2013,,20200,20200,20200,20200,750
PDR,188000,21/02/2013,,18800,18800,18800,18800,10
PDR,0,22/02/2013,,0,0,0,18800,0
PDR,0,25/02/2013,,0,0,0,18800,0
PDR,1900000,26/02/2013,,19000,19000,19000,19000,100
PDR,0,27/02/2013,,0,0,0,19000,0
PDR,0,28/02/2013,,0,0,0,19000,0
PDR,1889000,01/03/2013,,18800,18900,18800,18900,100
PDR,1980000,04/03/2013,,19800,19800,19800,19800,100
PDR,0,05/03/2013,,0,0,0,19800,0
PDR,1970000,06/03/2013,,19700,19700,19700,19700,100
PDR,0,07/03/2013,,0,0,0,19700,0
PDR,0,08/03/2013,,0,0,0,19700,0
PDR,0,11/03/2013,,0,0,0,19700,0
PDR,1970000,12/03/2013,,19700,19700,19700,19700,100
PDR,0,13/03/2013,,0,0,0,19700,0
PDR,39396000,14/03/2013,,19600,19600,19600,19600,2010
PDR,386000,15/03/2013,,19300,19300,19300,19300,20
PDR,0,18/03/2013,,0,0,0,19300,0
PDR,0,19/03/2013,,0,0,0,19300,0
PDR,19300000,20/03/2013,,19300,19300,19300,19300,1000
PDR,0,21/03/2013,,0,0,0,19300,0
PDR,0,22/03/2013,,0,0,0,19300,0
PDR,0,25/03/2013,,0,0,0,19300,0
PDR,0,26/03/2013,,0,0,0,19300,0
PDR,1930000,27/03/2013,,19300,19300,19300,19300,100
PDR,540000,28/03/2013,,18000,18000,18000,18000,30
PDR,336000,29/03/2013,,16800,16800,16800,16800,20
PDR,0,01/04/2013,,0,0,0,16800,0
PDR,0,01/04/2013,,0,0,0,16800,0
PDR,4317000,02/04/2013,,16000,16800,15700,15700,260
PDR,57392000,03/04/2013,,15700,16000,14700,15300,3770
PDR,153000,04/04/2013,,15300,15300,15300,15300,10
PDR,143000,05/04/2013,,14300,14300,14300,14300,10
PDR,6693000,08/04/2013,,14000,14500,13300,13300,480
PDR,17520000,09/04/2013,,14000,14000,12400,12500,1340
PDR,625000,10/04/2013,,12500,12500,12500,12500,50
PDR,50130000,11/04/2013,,13000,13000,12500,12500,4010
PDR,875000,12/04/2013,,12500,12500,12500,12500,70
PDR,0,15/04/2013,,0,0,0,12500,0
PDR,12900000,16/04/2013,,12900,12900,12900,12900,1000
PDR,0,17/04/2013,,0,0,0,12900,0
PDR,79461000,18/04/2013,,12800,13500,12800,13500,6180
PDR,28140000,22/04/2013,,13400,13400,13400,13400,2100
PDR,26935000,23/04/2013,,13400,13500,13400,13500,2010
PDR,260326000,24/04/2013,,12600,14400,12600,12600,19690
PDR,47436000,25/04/2013,,11800,11800,11800,11800,4020
PDR,85760000,26/04/2013,,11200,11300,11000,11300,7700
PDR,49615000,02/05/2013,,10600,11300,10600,10600,4680
PDR,467905000,03/05/2013,,10300,11000,9900,11000,46510
PDR,71835000,06/05/2013,,11300,11600,11300,11600,6250
PDR,105802000,07/05/2013,,10800,11900,10800,10800,9440
