Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
PLX,239626400000,21/04/2017,,51800,51800,46000,48900,4820970
PLX,85908670000,24/04/2017,,48900,49500,48000,48400,1757390
PLX,118257590000,25/04/2017,,48100,48400,45050,45150,2533550
PLX,76560050000,26/04/2017,,43100,44500,43100,44100,1743790
PLX,37583140000,27/04/2017,,44100,45900,44100,45900,825430
PLX,36483440000,28/04/2017,,46100,47000,46100,46650,781910
PLX,24318090000,03/05/2017,,46650,46800,46000,46750,521490
PLX,138712450000,04/05/2017,,46750,47500,46700,47500,2947740
PLX,60037310000,05/05/2017,,47100,47500,47000,47100,1274310
PLX,66615210000,08/05/2017,,47000,47500,46600,47500,1414880
PLX,40631590000,09/05/2017,,47500,47500,46900,46900,864620
PLX,127371440000,10/05/2017,,46900,47400,46900,47100,2706150
PLX,127371440000,10/05/2017,,46900,47400,46900,47100,2706150
PLX,160537450000,11/05/2017,,47100,49700,47100,48600,3351200
PLX,61844000000,12/05/2017,,48600,48900,48400,48600,1272460
PLX,117889620000,15/05/2017,,48250,49200,48000,48700,2429190
PLX,181561310000,16/05/2017,,49100,52000,48700,51100,3627190
PLX,83788430000,17/05/2017,,51000,52000,50500,51000,1642560
PLX,159668740000,18/05/2017,,50800,53000,50800,53000,3077950
PLX,244021260000,19/05/2017,,53800,56700,53300,56700,4369030
PLX,185045610000,22/05/2017,,59800,60600,59000,60600,3062670
PLX,174877000000,23/05/2017,,61000,64500,60600,60600,2839240
PLX,106394000000,24/05/2017,,60600,60700,57500,59000,1789900
PLX,40502360000,25/05/2017,,59000,60100,58600,59000,684100
PLX,71927430000,26/05/2017,,58200,58900,57600,58100,1237030
PLX,57588060000,29/05/2017,,58000,60500,58000,60100,967250
PLX,65478220000,30/05/2017,,60100,62100,60100,61000,1067000
PLX,43839100000,31/05/2017,,61500,61700,60400,61200,714650
PLX,32091250000,01/06/2017,,61200,61800,61200,61200,522880
PLX,74909040000,02/06/2017,,60700,61200,59700,59700,1244790
PLX,40424800000,05/06/2017,,59700,61800,59200,61100,665100
PLX,33923760000,06/06/2017,,61100,61500,60800,61500,554760
PLX,38465770000,07/06/2017,,61400,61800,61000,61100,626820
PLX,19906940000,08/06/2017,,61100,61300,60800,61100,325680
PLX,68543450000,09/06/2017,,61000,63400,61000,62600,1104760
PLX,68543450000,09/06/2017,,61000,63400,61000,62600,1104760
PLX,52826590000,12/06/2017,,62600,64500,62300,63000,830860
PLX,26658870000,13/06/2017,,63200,63700,62700,63000,422580
PLX,52807300000,14/06/2017,,62800,63000,61900,63000,848170
PLX,34301670000,15/06/2017,,62500,63300,62100,62800,546160
PLX,23142400000,16/06/2017,,62400,63000,62300,62400,369590
PLX,50221480000,19/06/2017,,62300,63800,62300,63800,797760
PLX,97775510000,20/06/2017,,64000,65400,63900,65400,1506260
PLX,64176160000,21/06/2017,,65500,67000,64400,66900,980190
PLX,77108090000,22/06/2017,,67600,69800,67500,69500,1121960
PLX,129794770000,23/06/2017,,69700,72000,69600,71400,1825360
PLX,82059740000,26/06/2017,,72000,73300,71200,71800,1137940
PLX,108485600000,27/06/2017,,71300,71600,68800,68800,1547410
PLX,82850190000,28/06/2017,,68400,69700,67300,68600,1212630
