Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
POW,261168270000,06/03/2018,,17500,18300,16800,17800,14922100
POW,261168270000,06/03/2018,,17500,18300,16800,17800,14922100
POW,123090361800,07/03/2018,,18200,18200,16500,16800,7174392
POW,116485332400,08/03/2018,,17200,17500,16700,17200,6824944
POW,92034027000,09/03/2018,,17100,17600,17100,17500,5309486
POW,75223054500,12/03/2018,,17700,17700,17200,17300,4343745
POW,76578649000,13/03/2018,,17300,17400,17100,17200,4454169
POW,76144977400,14/03/2018,,17200,17300,16900,17000,4455422
POW,62224336500,15/03/2018,,17100,17100,16600,16700,3704865
POW,66754622000,16/03/2018,,16700,17200,16700,17100,3923430
POW,44950129000,19/03/2018,,17200,17300,16800,17000,2652660
POW,41510130700,20/03/2018,,17000,17000,16700,16700,2469883
POW,32422179600,21/03/2018,,17000,17000,16700,16700,1929052
POW,51165562000,22/03/2018,,16800,16800,16000,16300,3131060
POW,53663828300,23/03/2018,,16000,16200,15600,16100,3356387
POW,30511252400,26/03/2018,,16000,16000,15600,15700,1932826
POW,16560858100,27/03/2018,,15700,15800,15600,15600,1055477
POW,26394149000,28/03/2018,,15600,15700,15500,15600,1694196
POW,34052605000,29/03/2018,,15700,16600,15600,16200,2103906
POW,38804971200,30/03/2018,,16300,16700,16200,16600,2354364
POW,42658842100,02/04/2018,,16600,16800,16400,16600,2577643
POW,36539320000,03/04/2018,,16600,16600,16000,16200,2257070
POW,39533266600,04/04/2018,,16500,16900,16200,16400,2402101
POW,28020888400,05/04/2018,,16500,16600,16100,16200,1725227
POW,28020888400,05/04/2018,,16500,16600,16100,16200,1725227
POW,27766499700,06/04/2018,,16200,16300,15900,16100,1731257
POW,27495041500,09/04/2018,,16100,16100,15700,16000,1733995
POW,23571633200,10/04/2018,,15900,16100,15700,15900,1485078
POW,32143610000,11/04/2018,,15900,16000,15300,15600,2053300
POW,15242931000,12/04/2018,,15600,15700,15500,15700,977010
POW,23328409000,13/04/2018,,15600,15700,15300,15600,1503780
POW,26390560000,16/04/2018,,15700,15900,15300,15500,1698800
POW,11479978000,17/04/2018,,15500,15600,15300,15600,742496
POW,25643186000,18/04/2018,,15600,15600,15000,15100,1683810
POW,21041497500,20/04/2018,,14500,14700,14200,14600,1461117
POW,12211358000,23/04/2018,,14700,14800,13400,14200,859630
POW,15458486000,24/04/2018,,14200,14300,13700,13800,1109190
