Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
SAB,397320000,06/12/2016,,132000,132000,132000,132000,3010
SAB,4240000,07/12/2016,,141200,141200,141200,141200,30
SAB,151000000,08/12/2016,,151000,151000,151000,151000,1000
SAB,465120000,09/12/2016,,151000,161500,151000,161500,3010
SAB,6167230000,12/12/2016,,172800,172800,172800,172800,35690
SAB,17894180000,13/12/2016,,184800,184800,184800,184800,96830
SAB,30520930000,14/12/2016,,197700,197700,197700,197700,154380
SAB,80337780000,15/12/2016,,211500,211500,210000,211500,380050
SAB,87220400000,16/12/2016,,226300,226300,200000,225000,387520
SAB,36679350000,19/12/2016,,212000,225000,212000,212000,168190
SAB,81538270000,20/12/2016,,211000,211500,197200,197200,399710
SAB,47093420000,21/12/2016,,197200,203500,185000,200800,241750
SAB,10878550000,22/12/2016,,209900,209900,203000,203000,52460
SAB,10898490000,23/12/2016,,203000,203000,197100,200000,54810
SAB,33318920000,26/12/2016,,198000,198000,190000,197000,169870
SAB,13726240000,27/12/2016,,197000,199800,193100,198000,69880
SAB,5653370000,28/12/2016,,199800,199800,197100,198900,28530
SAB,19386470000,29/12/2016,,198000,198000,193000,197000,98560
SAB,18983350000,30/12/2016,,198000,198000,195500,197700,96740
SAB,12433250000,03/01/2017,,197700,197700,195900,197000,63170
SAB,17251640000,04/01/2017,,197000,198600,195000,197000,87490
SAB,5360210000,05/01/2017,,197000,198000,196000,197100,27170
SAB,43035410000,06/01/2017,,197900,209900,197200,206000,212390
SAB,6450470000,09/01/2017,,206000,208000,205000,205000,31390
SAB,9068250000,10/01/2017,,206900,206900,201500,204500,44540
SAB,9068250000,10/01/2017,,206900,206900,201500,204500,44540
SAB,47246210000,11/01/2017,,204000,210000,202000,210000,228480
SAB,11667050000,12/01/2017,,213000,213000,210000,210600,55290
SAB,7979260000,13/01/2017,,210700,212200,210600,211800,37670
SAB,7081490000,16/01/2017,,211000,211000,208000,209000,33890
SAB,24467970000,17/01/2017,,208500,217400,208100,216500,113760
SAB,22880110000,18/01/2017,,215300,225000,215300,223800,103480
SAB,8944460000,19/01/2017,,225000,225000,220000,223800,40040
SAB,17492900000,20/01/2017,,223000,225100,223000,223800,77940
SAB,9844530000,23/01/2017,,223800,223800,220500,222000,44360
SAB,30318000000,24/01/2017,,220000,224000,220000,222000,137100
SAB,4164970000,25/01/2017,,222000,223800,220000,223800,18800
SAB,4091890000,02/02/2017,,223900,223900,219000,219000,18560
SAB,11232980000,03/02/2017,,217400,222900,216400,217000,51700
SAB,10779710000,06/02/2017,,219500,219500,211500,215000,50070
SAB,16580960000,07/02/2017,,215000,220000,213000,216000,76580
SAB,7834190000,08/02/2017,,216000,217000,215000,215300,36350
SAB,31540690000,09/02/2017,,215300,215300,208000,211000,150070
SAB,31540690000,09/02/2017,,215300,215300,208000,211000,150070
SAB,7635070000,10/02/2017,,211000,214000,211000,213200,35880
SAB,5395170000,13/02/2017,,213200,214700,210000,213400,25240
SAB,15477810000,14/02/2017,,213400,216900,213100,216000,72220
SAB,17989650000,15/02/2017,,216000,216000,212800,213900,84300
SAB,9520640000,16/02/2017,,214000,216000,214000,215400,44230
SAB,7381770000,17/02/2017,,215000,215000,214000,214700,34430
SAB,22386150000,20/02/2017,,213300,218000,213200,218000,103930
SAB,7664730000,21/02/2017,,217600,220000,217600,219600,34930
SAB,22294350000,22/02/2017,,219500,224500,219500,224300,100360
SAB,29370070000,23/02/2017,,224900,227000,224000,227000,130020
SAB,24526210000,24/02/2017,,228000,230000,226000,227000,107840
SAB,13824010000,27/02/2017,,224500,227900,224000,225100,61270
SAB,11445250000,28/02/2017,,225500,226200,225100,225100,50720
SAB,15652700000,01/03/2017,,226000,226000,225000,225900,69440
SAB,6743790000,02/03/2017,,227000,227000,219200,224900,30250
SAB,4649520000,03/03/2017,,223000,225400,221000,225400,20670
SAB,7401530000,06/03/2017,,225000,225500,222000,224500,32990
SAB,8014610000,07/03/2017,,224900,225000,222600,222600,35720
SAB,3096880000,08/03/2017,,222600,222600,218400,218900,14120
SAB,12124920000,09/03/2017,,216100,221000,212000,216000,56450
SAB,3721540000,10/03/2017,,216000,216000,211000,211000,17550
SAB,6354780000,13/03/2017,,211000,211000,206400,207000,30560
SAB,11419160000,14/03/2017,,207000,217000,203200,214000,54260
SAB,2815290000,15/03/2017,,214000,215000,211000,211600,13250
SAB,1584920000,16/03/2017,,211600,214000,205500,212900,7450
SAB,2981680000,17/03/2017,,212900,212900,208000,208000,14250
SAB,1601560000,20/03/2017,,208000,209900,208000,209000,7670
SAB,12547760000,21/03/2017,,209000,209000,204800,205200,61100
SAB,8706570000,22/03/2017,,205200,205900,200500,203000,42630
SAB,4208390000,23/03/2017,,202300,204800,200500,202000,20840
SAB,20358000000,24/03/2017,,202000,202100,199100,200000,101770
SAB,5159950000,27/03/2017,,200000,200500,199000,200000,25830
SAB,10991060000,28/03/2017,,201000,202000,199000,199000,55080
SAB,7192790000,29/03/2017,,198100,205000,198000,200000,35850
SAB,2352950000,30/03/2017,,200000,202000,200000,202000,11700
SAB,2174760000,31/03/2017,,202000,202000,200000,200000,10830
SAB,4102720000,03/04/2017,,200000,201900,200000,200400,20480
SAB,2214910000,04/04/2017,,199400,200400,199400,200400,11070
SAB,4945210000,05/04/2017,,202500,203000,200600,203000,24480
SAB,4499100000,07/04/2017,,203000,205000,202000,205000,22080
SAB,8528970000,10/04/2017,,204000,209000,203900,209000,41220
SAB,8528970000,10/04/2017,,204000,209000,203900,209000,41220
SAB,10003630000,11/04/2017,,209000,209500,207000,207500,47920
SAB,1601980000,12/04/2017,,207000,207500,203000,203000,7830
SAB,3638220000,13/04/2017,,202000,206000,202000,205000,17760
SAB,5011820000,14/04/2017,,206900,206900,202500,204000,24610
SAB,12511880000,17/04/2017,,205000,207000,204000,207000,60990
SAB,10157930000,18/04/2017,,206000,206000,203500,205000,49600
SAB,2005700000,19/04/2017,,205000,205000,200500,201500,9950
SAB,4790550000,20/04/2017,,201500,201500,200000,200000,23910
SAB,5721590000,21/04/2017,,200000,201000,198000,201000,28730
SAB,11040500000,24/04/2017,,201000,201500,200000,200000,54940
SAB,2534760000,25/04/2017,,199000,200000,199000,199000,12720
SAB,3078610000,26/04/2017,,199500,200500,199000,200500,15380
SAB,13249360000,27/04/2017,,200500,201000,199900,199900,66200
SAB,1515030000,28/04/2017,,199900,200000,198000,199900,7590
SAB,1172580000,03/05/2017,,199900,199900,199000,199900,5880
SAB,7814070000,04/05/2017,,199900,199900,198300,199000,39290
SAB,226900000,05/05/2017,,198800,199400,198800,199300,1140
SAB,7584010000,08/05/2017,,199500,199500,199000,199000,38090
SAB,2966940000,09/05/2017,,199000,199000,196700,196700,15040
SAB,1543050000,10/05/2017,,196500,199000,196500,196800,7830
SAB,1543050000,10/05/2017,,196500,199000,196500,196800,7830
SAB,3668010000,11/05/2017,,196800,198300,195900,195900,18710
SAB,1451000000,12/05/2017,,196000,197900,196000,196500,7380
SAB,4625050000,15/05/2017,,196500,196500,194000,194000,23710
SAB,1658790000,16/05/2017,,194000,194000,191100,191100,8650
SAB,4165550000,17/05/2017,,188000,195000,188000,188700,21820
SAB,1679380000,18/05/2017,,188800,190000,188800,189900,8860
SAB,3554680000,19/05/2017,,190000,190000,188900,190000,18730
SAB,13003280000,22/05/2017,,190000,192000,189500,190400,68360
SAB,45353000000,23/05/2017,,195500,195700,191000,194000,234300
SAB,7284000000,24/05/2017,,194000,194000,190300,191000,38050
SAB,9321020000,25/05/2017,,190000,191000,189900,191000,48990
SAB,5337370000,26/05/2017,,193600,193600,188000,189500,28150
SAB,15166320000,29/05/2017,,189500,190500,189500,190000,79770
SAB,9533500000,30/05/2017,,191000,191100,190000,191000,49970
SAB,25520570000,31/05/2017,,190200,191100,189100,189100,133970
SAB,3757690000,01/06/2017,,189200,191200,189200,190000,19790
SAB,2209210000,02/06/2017,,190000,191000,189000,191000,11640
SAB,4012040000,05/06/2017,,190200,191000,190000,191000,21070
SAB,7647830000,06/06/2017,,191000,191300,189300,191300,40210
SAB,6287440000,07/06/2017,,191300,191900,190000,191900,32930
SAB,351610000,08/06/2017,,191500,191500,190500,191000,1840
SAB,1492800000,09/06/2017,,189200,192000,189200,191000,7830
SAB,1492800000,09/06/2017,,189200,192000,189200,191000,7830
SAB,10711140000,12/06/2017,,191000,193900,190000,193900,55930
SAB,3784310000,13/06/2017,,194900,194900,192500,194900,19500
SAB,27729750000,14/06/2017,,195000,202000,194900,200000,140190
SAB,2744240000,15/06/2017,,202000,202000,200000,200000,13680
SAB,2695020000,16/06/2017,,200000,203000,200000,200300,13430
SAB,9453190000,19/06/2017,,201000,201000,200000,201000,47210
SAB,9553760000,20/06/2017,,201000,203000,187900,203000,48670
SAB,3975980000,21/06/2017,,203000,204900,202000,204900,19620
SAB,1206190000,22/06/2017,,204900,205800,203100,205000,5890
SAB,7462050000,23/06/2017,,204800,206900,204300,206900,36240
SAB,2821740000,26/06/2017,,207000,207500,206000,207400,13630
SAB,3403290000,27/06/2017,,207400,208000,206500,207400,16400
SAB,1709070000,28/06/2017,,207400,207400,201200,206800,8280
SAB,13725500000,29/06/2017,,206800,207500,202100,206500,66380
SAB,16970420000,30/06/2017,,206500,209000,206500,208300,81400
SAB,10689620000,03/07/2017,,210000,210500,204000,210000,50930
SAB,9452880000,04/07/2017,,205000,210900,205000,210900,44930
SAB,1801270000,05/07/2017,,209000,210000,209000,210000,8580
SAB,1119360000,06/07/2017,,210000,210000,207600,210000,5360
SAB,2401520000,07/07/2017,,210000,210100,208600,210000,11440
SAB,13653360000,10/07/2017,,210000,210400,209000,210000,65040
SAB,17943330000,11/07/2017,,210000,210900,209500,210500,85430
SAB,2017570000,12/07/2017,,211100,211500,210000,210200,9580
SAB,9296660000,13/07/2017,,210000,210500,208500,210500,44270
SAB,10718330000,14/07/2017,,211500,211800,211000,211500,50680
SAB,9804530000,17/07/2017,,212000,222000,212000,219500,44950
SAB,19918870000,18/07/2017,,223000,228000,221000,226000,87890
SAB,39859760000,19/07/2017,,227900,236000,227000,232100,171600
SAB,21570910000,20/07/2017,,232100,235000,226000,234000,93230
SAB,27699530000,21/07/2017,,234000,237500,232000,235500,117590
SAB,26267400000,24/07/2017,,235500,236400,224000,235500,111440
SAB,4551770000,25/07/2017,,235000,236000,232800,235500,19390
SAB,6763000000,26/07/2017,,236000,236000,219400,235200,28870
SAB,5978270000,27/07/2017,,230000,235400,230000,235200,25440
SAB,3667000000,28/07/2017,,235000,235500,231100,235500,15600
SAB,22548400000,31/07/2017,,232000,236900,232000,236900,95520
SAB,16791800000,01/08/2017,,240000,244900,238000,244900,69450
SAB,3512760000,02/08/2017,,244900,245500,240500,245400,14340
SAB,1448290000,03/08/2017,,245000,245800,243100,245000,5910
SAB,3811090000,04/08/2017,,245800,245800,240500,245800,15550
SAB,8380370000,07/08/2017,,245000,263000,245000,249100,33620
SAB,10352020000,08/08/2017,,258500,258500,249100,253000,41220
SAB,10352020000,08/08/2017,,258500,258500,249100,253000,41220
SAB,15454420000,09/08/2017,,252000,259500,242000,242000,61800
SAB,4865170000,10/08/2017,,249000,250500,242500,249000,19570
SAB,6266680000,11/08/2017,,249000,250500,245100,248000,25140
SAB,6404810000,14/08/2017,,246100,249900,244000,244000,25970
SAB,19367300000,15/08/2017,,245900,245900,237000,242900,80350
SAB,9692850000,16/08/2017,,245500,249000,240100,248900,39460
SAB,21850720000,17/08/2017,,249800,263000,249800,253000,85640
SAB,11944080000,18/08/2017,,246000,255000,246000,253000,48040
SAB,14847090000,21/08/2017,,248000,257000,245000,257000,59480
SAB,9923530000,22/08/2017,,258900,258900,242500,246200,40100
SAB,11466990000,23/08/2017,,249800,254900,241000,254700,46130
SAB,17008480000,24/08/2017,,254700,255000,246000,254700,67660
SAB,2514800000,25/08/2017,,248000,253900,246100,253000,10060
SAB,5929140000,28/08/2017,,253000,253000,245000,252500,23900
SAB,4108710000,29/08/2017,,247000,250000,246800,249000,16570
SAB,2704260000,30/08/2017,,249900,250000,247200,250000,10860
SAB,12524660000,31/08/2017,,247100,255300,247100,251000,49740
SAB,4722310000,01/09/2017,,251000,254500,251000,254500,18680
SAB,10998510000,05/09/2017,,254500,263000,254500,255000,42560
SAB,5851920000,06/09/2017,,256000,263000,256000,263000,22460
SAB,29085130000,07/09/2017,,263000,271200,259200,271200,107880
SAB,29085130000,07/09/2017,,263000,271200,259200,271200,107880
SAB,13380190000,08/09/2017,,274000,281700,273000,281700,48020
SAB,8358590000,11/09/2017,,281700,289000,281700,285000,29280
SAB,8086280000,12/09/2017,,280000,289000,280000,281000,28500
SAB,7647360000,13/09/2017,,281000,284900,277300,277300,27310
SAB,10076000000,14/09/2017,,279000,279000,271500,272500,36910
SAB,6572080000,15/09/2017,,267000,272000,267000,272000,24350
SAB,5223320000,18/09/2017,,279900,279900,268000,276500,19100
SAB,5655880000,19/09/2017,,276500,278000,272000,275000,20580
SAB,3511660000,20/09/2017,,277000,277000,271900,273000,12860
SAB,14247290000,21/09/2017,,272000,272000,265000,265000,52660
SAB,1584510000,22/09/2017,,270900,270900,265000,266200,5950
SAB,3820790000,25/09/2017,,266200,266200,250000,261500,14620
SAB,1454880000,26/09/2017,,261500,261500,257100,258000,5600
SAB,3831610000,27/09/2017,,258000,258000,253000,255000,15050
SAB,4523300000,28/09/2017,,255000,270000,251600,266100,16960
SAB,3618620000,29/09/2017,,266000,272500,260000,260000,13640
SAB,926050000,02/10/2017,,260000,262900,256000,258000,3580
SAB,1890990000,03/10/2017,,262000,262000,256100,256800,7330
SAB,843650000,04/10/2017,,255200,260400,255200,260400,3250
SAB,574260000,05/10/2017,,255000,264800,255000,260000,2220
SAB,497730000,06/10/2017,,261900,261900,255200,260100,1920
SAB,3203550000,09/10/2017,,262800,262800,255500,260100,12300
SAB,5438050000,10/10/2017,,261700,261800,259400,260100,20900
SAB,3981150000,11/10/2017,,259900,261900,259800,261800,15300
SAB,5148320000,12/10/2017,,261100,266300,261100,266000,19470
SAB,15466030000,13/10/2017,,266000,272000,261100,272000,57150
SAB,12896990000,16/10/2017,,272000,272700,269000,272000,47420
SAB,11196470000,17/10/2017,,272000,279000,268200,279000,40630
SAB,49936890000,18/10/2017,,277100,282000,277000,281500,177700
SAB,10954300000,19/10/2017,,284800,285000,278000,278000,38990
SAB,7539790000,20/10/2017,,275600,284000,270000,270000,27530
SAB,10098420000,23/10/2017,,276000,280000,270100,280000,36380
SAB,15319650000,24/10/2017,,280000,281900,270100,280500,54670
SAB,1598900000,25/10/2017,,280500,280500,274000,279400,5720
SAB,12786880000,26/10/2017,,280500,282000,275000,282000,45560
SAB,7420000000,27/10/2017,,282000,282000,272100,280500,26460
SAB,31167820000,30/10/2017,,280000,287000,277000,287000,110150
SAB,874130000,31/10/2017,,287000,287000,283100,285600,3060
SAB,5414070000,01/11/2017,,285600,287000,280700,286900,18930
SAB,12636050000,02/11/2017,,286900,289000,284000,289000,43940
SAB,3514000000,03/11/2017,,285500,290000,281100,290000,12150
SAB,2252850000,06/11/2017,,290000,292000,288000,290000,7770
SAB,2252850000,06/11/2017,,290000,292000,288000,290000,7770
SAB,14408000000,07/11/2017,,289000,290000,285100,285100,50470
SAB,22795550000,08/11/2017,,288800,298900,277700,281500,79920
SAB,1306190000,09/11/2017,,281500,282900,277700,278100,4680
SAB,4587980000,10/11/2017,,278100,278100,273900,276500,166500
