Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
SSI,41422426000,02/01/2013,,16500,17000,16500,16800,2474280
SSI,45021062000,03/01/2013,,16700,16800,16200,16400,2733270
SSI,35173991000,04/01/2013,,16300,16800,16200,16600,2132210
SSI,37690986000,07/01/2013,,16800,17000,16600,16600,2252310
SSI,71658124000,08/01/2013,,16500,17400,16500,17300,4216410
SSI,102920117000,09/01/2013,,17800,18100,17200,17300,5797920
SSI,39399328000,10/01/2013,,17300,17900,17100,17900,2255250
SSI,70283640000,11/01/2013,,18400,18400,17800,18100,3875980
SSI,50507932000,14/01/2013,,17800,18300,17600,17900,2817430
SSI,55500162000,15/01/2013,,18000,18700,17800,18400,3048860
SSI,39074784000,16/01/2013,,18700,19000,18400,18600,2094470
SSI,53260979000,17/01/2013,,18500,18600,18100,18100,2908600
SSI,43657081000,18/01/2013,,18000,18100,17600,17700,2452790
SSI,29863827000,21/01/2013,,18200,18300,17700,17800,1661850
SSI,37583214000,22/01/2013,,17800,18000,17000,17200,2162460
SSI,24573093000,23/01/2013,,17200,17500,17000,17300,1425160
SSI,22190159000,24/01/2013,,17400,17800,17300,17800,1263620
SSI,63407796000,25/01/2013,,18000,18600,17900,18400,3449360
SSI,90330015000,28/01/2013,,18600,19400,18500,18900,4754420
SSI,40837548000,29/01/2013,,18900,19300,18700,19000,2148400
SSI,38198894000,30/01/2013,,19100,19300,18800,19000,2005370
SSI,45672622000,31/01/2013,,18800,18900,18600,18600,2437540
SSI,45672622000,31/01/2013,,18800,18900,18600,18600,2437540
SSI,29133783000,01/02/2013,,18500,18600,18300,18500,1581680
SSI,21768493000,04/02/2013,,18800,18800,18500,18600,1165800
SSI,18635402000,05/02/2013,,18500,18700,18400,18600,1003820
SSI,24024040000,06/02/2013,,18800,19500,18700,19200,1261810
SSI,25416992000,07/02/2013,,19400,19500,19200,19400,1313760
SSI,24916964000,08/02/2013,,19400,19600,19200,19400,1281420
SSI,38146352000,18/02/2013,,19600,20000,19400,19600,1941090
SSI,46461565000,19/02/2013,,19600,19700,19200,19300,2381710
SSI,41754919000,20/02/2013,,19300,19500,19000,19300,2172780
SSI,54149426000,21/02/2013,,19400,19500,18000,18000,2882510
SSI,65687703000,22/02/2013,,18600,18800,17800,18300,3612190
SSI,15245708000,25/02/2013,,18300,18500,18200,18300,831410
SSI,45705221000,26/02/2013,,18200,18300,17200,17300,2574750
SSI,32512319000,27/02/2013,,17500,17800,17100,17800,1856640
SSI,24804459000,28/02/2013,,18000,18400,17800,18100,1367940
SSI,20099876000,01/03/2013,,18100,18300,18000,18100,1109840
SSI,32826676000,04/03/2013,,18100,18100,17200,17300,1866190
SSI,30493986000,05/03/2013,,17200,17500,16900,17200,1773310
SSI,9582803000,06/03/2013,,17600,17600,17300,17500,549630
SSI,13827923000,07/03/2013,,17500,17700,17200,17400,792750
SSI,11954786000,08/03/2013,,17400,17700,17400,17600,680480
SSI,17983815000,11/03/2013,,17800,18200,17600,18200,1006000
SSI,26123879000,12/03/2013,,18200,18300,17600,18000,1455420
SSI,19711788000,13/03/2013,,18100,18100,17800,17800,1096700
SSI,6511182000,14/03/2013,,17800,18000,17700,17800,365220
SSI,13221108000,15/03/2013,,17800,18100,17800,18000,737050
SSI,14152685000,18/03/2013,,18000,18100,17800,17800,791230
SSI,10031961000,19/03/2013,,17700,17900,17600,17900,564980
SSI,14386416000,20/03/2013,,17900,18200,17800,17900,798610
SSI,26747024000,21/03/2013,,18000,18300,18000,18100,1474410
SSI,15969002000,22/03/2013,,18200,18200,17600,17800,892970
SSI,6740425000,25/03/2013,,17900,18000,17700,17900,377340
SSI,15288834000,26/03/2013,,18000,18100,17800,17800,852060
SSI,16460541000,27/03/2013,,17800,17800,17500,17500,932910
SSI,15494453000,28/03/2013,,17500,17800,17400,17400,882660
SSI,21425973000,29/03/2013,,17200,17500,17000,17500,1242810
SSI,21763418000,01/04/2013,,17300,18000,17300,18000,1235400
SSI,21763418000,01/04/2013,,17300,18000,17300,18000,1235400
SSI,39432847000,02/04/2013,,18000,18500,18000,18000,2162610
SSI,21447407000,03/04/2013,,18000,18200,17800,17900,1191170
SSI,19979567000,04/04/2013,,17900,18000,17700,17700,1122120
SSI,15408099000,05/04/2013,,17900,17900,17600,17900,867680
SSI,57859889000,08/04/2013,,18000,18800,18000,18500,3156030
SSI,69525831000,09/04/2013,,18500,19100,18400,19000,3700250
SSI,33499336000,10/04/2013,,19000,19200,18500,18500,1776470
SSI,40751642000,11/04/2013,,18600,18600,18100,18300,2215430
SSI,26020279000,12/04/2013,,18400,18400,17700,17800,1448730
SSI,31797243000,15/04/2013,,17800,17800,17300,17400,1816500
SSI,21876782000,16/04/2013,,17200,17600,17000,17400,1264560
SSI,8163098000,17/04/2013,,17500,17600,17300,17500,467920
SSI,15109926000,18/04/2013,,17400,17500,17200,17200,874900
SSI,16221905000,22/04/2013,,17200,17300,16800,16900,954610
SSI,9515075000,23/04/2013,,17100,17300,17000,17100,555610
SSI,5780974000,24/04/2013,,17200,17300,17000,17200,337110
SSI,6884393000,25/04/2013,,17100,17300,17100,17200,399440
SSI,5765982000,26/04/2013,,17100,17200,17000,17100,337370
SSI,4413687000,02/05/2013,,17100,17200,17000,17000,259320
SSI,6547421000,03/05/2013,,16900,17100,16900,17100,384620
SSI,19394131000,06/05/2013,,17300,17900,17300,17900,1103210
SSI,11873463000,07/05/2013,,17800,17900,17500,17500,669740
SSI,8288846000,08/05/2013,,17500,17700,17300,17300,475260
SSI,9373597000,09/05/2013,,17400,17600,17300,17500,536390
SSI,8278223000,10/05/2013,,17500,17500,17300,17400,475160
SSI,4802644000,13/05/2013,,17400,17700,17400,17500,274380
SSI,11854653000,14/05/2013,,17400,17500,17100,17300,686960
SSI,7953164000,15/05/2013,,17200,17400,17100,17400,460920
SSI,12893945000,16/05/2013,,17400,17600,17300,17400,739630
SSI,4606936000,17/05/2013,,17400,17400,17200,17300,265830
SSI,7917753000,20/05/2013,,17400,17500,17300,17400,455390
SSI,48063204000,21/05/2013,,17600,18200,17600,17900,2691250
SSI,16306861000,22/05/2013,,18200,18200,17700,17900,910570
SSI,21888947000,23/05/2013,,17700,18000,17600,17700,1229010
SSI,23212526000,24/05/2013,,17800,18000,17600,17900,1301620
SSI,56192285000,27/05/2013,,18200,18700,18100,18400,3049780
SSI,59962089000,28/05/2013,,18400,18800,18400,18800,3212970
SSI,96993299000,29/05/2013,,19100,19500,18900,19000,5041000
SSI,30763077000,30/05/2013,,19000,19200,18800,19200,1617760
SSI,59457023000,31/05/2013,,19500,19700,19000,19000,3062750
SSI,59457023000,31/05/2013,,19500,19700,19000,19000,3062750
SSI,45606915000,03/06/2013,,19000,19100,18600,18600,2416450
SSI,43491323000,04/06/2013,,18600,18900,18300,18300,2340850
SSI,26380827000,05/06/2013,,18300,18700,18200,18600,1436480
SSI,21873270000,06/06/2013,,18500,18900,18400,18700,1170160
SSI,50490712000,07/06/2013,,18900,19200,18800,19100,2656280
SSI,28375892000,10/06/2013,,19300,19400,18900,18900,1484290
SSI,29871046000,11/06/2013,,18900,19000,18600,18600,1592310
SSI,16901156000,12/06/2013,,18600,18800,18500,18600,905120
SSI,27845259000,13/06/2013,,18600,18700,18300,18500,1506120
SSI,16077999000,14/06/2013,,18700,18700,18400,18400,868920
SSI,30399174000,17/06/2013,,18400,18500,18000,18000,1674550
SSI,15377241000,18/06/2013,,18000,18200,17800,18200,854830
SSI,8829216000,19/06/2013,,18000,18300,18000,18100,487010
SSI,11382452000,20/06/2013,,18100,18100,17900,17900,633930
SSI,13803104000,21/06/2013,,17800,17900,17700,17800,776170
SSI,18590601000,24/06/2013,,18000,18100,17700,17800,1039300
SSI,32780899000,25/06/2013,,17800,17900,17100,17400,1880550
SSI,17912320000,26/06/2013,,17400,17600,17300,17300,1031050
SSI,23088590000,27/06/2013,,17400,17700,17300,17700,1316650
SSI,13345572000,28/06/2013,,17800,17800,17600,17600,755260
SSI,6688168000,01/07/2013,,17500,17600,17400,17600,382560
SSI,10728175000,02/07/2013,,17600,17800,17600,17700,607060
SSI,6318284000,03/07/2013,,17800,17800,17600,17600,357160
SSI,7845176000,04/07/2013,,17700,17700,17600,17600,445430
SSI,7335931000,05/07/2013,,17700,17800,17500,17600,415630
SSI,9536578000,08/07/2013,,17600,17700,17400,17400,545310
SSI,12928056000,09/07/2013,,17500,17500,17300,17300,745300
SSI,9080341000,10/07/2013,,17400,17600,17400,17400,520130
SSI,20201095000,11/07/2013,,17700,17800,17600,17800,1139860
SSI,26778995000,12/07/2013,,17800,18200,17800,18100,1485870
SSI,17963103000,15/07/2013,,18100,18200,18000,18100,991980
SSI,9697022000,16/07/2013,,18100,18200,18000,18100,535670
SSI,16769326000,17/07/2013,,18100,18300,18000,18200,924790
SSI,15526610000,18/07/2013,,18100,18300,18100,18100,855500
SSI,11002326000,19/07/2013,,18100,18300,18000,18200,606360
SSI,27883487000,22/07/2013,,18100,18100,17800,17900,1556660
SSI,38495403000,23/07/2013,,17200,17200,17000,17100,2251750
SSI,15677338000,24/07/2013,,17100,17100,16800,16800,927780
SSI,11936659000,25/07/2013,,16900,17000,16600,16600,712010
SSI,19568515000,26/07/2013,,16800,16800,16400,16500,1185300
SSI,8806606000,29/07/2013,,16600,16600,16300,16300,537490
SSI,6653695000,30/07/2013,,16300,16500,16300,16400,404810
SSI,6653695000,30/07/2013,,16300,16500,16300,16400,404810
SSI,3801239000,31/07/2013,,16500,16600,16400,16500,231230
SSI,10593862000,01/08/2013,,16400,16700,16400,16700,641610
SSI,7219567000,02/08/2013,,16700,16700,16500,16600,434630
SSI,7294564000,05/08/2013,,16600,16700,16400,16500,441320
SSI,6868394000,06/08/2013,,16500,16600,16400,16500,416980
SSI,11290152000,07/08/2013,,16500,16700,16400,16600,681590
SSI,5295507000,08/08/2013,,16600,16700,16400,16500,320970
SSI,4246468000,09/08/2013,,16500,16600,16400,16400,258000
SSI,3857442000,12/08/2013,,16500,16500,16300,16300,235570
SSI,5204052000,13/08/2013,,16300,16400,16200,16200,319150
SSI,12966957000,14/08/2013,,16200,16500,16100,16400,798440
SSI,14739439000,15/08/2013,,16500,16700,16300,16600,893580
SSI,7697567000,16/08/2013,,16700,16700,16400,16600,465300
SSI,60438700000,19/08/2013,,16800,17300,16800,17200,3530770
SSI,17808055000,20/08/2013,,17200,17400,17000,17100,1038490
SSI,12459738000,21/08/2013,,17000,17100,16800,16900,737260
SSI,17641062000,22/08/2013,,16800,17000,16500,16600,1055050
SSI,15389926000,23/08/2013,,16700,16700,16400,16500,928980
SSI,11161771000,26/08/2013,,16500,16600,16400,16600,676890
SSI,7776617000,27/08/2013,,16600,16700,16400,16500,470070
SSI,28577334000,28/08/2013,,16400,16500,16100,16300,1759780
SSI,8966568000,29/08/2013,,16400,16400,16200,16200,551060
SSI,8966568000,29/08/2013,,16400,16400,16200,16200,551060
SSI,6296758000,30/08/2013,,16200,16300,16100,16300,388640
SSI,3875209000,03/09/2013,,16300,16400,16100,16100,238810
SSI,18067012000,04/09/2013,,16200,16200,15700,15800,1139400
SSI,8928076000,05/09/2013,,15900,16000,15700,15900,562180
SSI,8771830000,06/09/2013,,16100,16200,15900,16200,546310
SSI,11515378000,09/09/2013,,16200,16200,15700,15800,727670
SSI,10068286000,10/09/2013,,15900,15900,15700,15900,636710
SSI,5534496000,11/09/2013,,16000,16100,15800,15900,347440
SSI,2189146000,12/09/2013,,15900,16000,15800,15900,137750
SSI,4526133000,13/09/2013,,15800,16000,15800,15900,284880
SSI,5995889000,16/09/2013,,16000,16000,15800,15900,377000
SSI,3816865000,17/09/2013,,15900,15900,15700,15800,241400
SSI,11077813000,18/09/2013,,15900,15900,15700,15700,703430
SSI,3991963000,19/09/2013,,15900,15900,15800,15800,251900
SSI,4121846000,20/09/2013,,15800,15900,15700,15800,260860
SSI,11780047000,23/09/2013,,15900,16100,15700,16100,740760
SSI,12244334000,24/09/2013,,16100,16300,16100,16200,756430
SSI,24114595000,25/09/2013,,16200,16400,16100,16300,1483080
SSI,7446196000,26/09/2013,,16300,16400,16100,16200,458120
SSI,10064055000,27/09/2013,,16300,16300,16000,16200,622430
SSI,29204637000,30/09/2013,,16200,16700,16200,16600,1773960
SSI,44265048000,01/10/2013,,16700,17000,16500,16600,2640870
SSI,15365893000,02/10/2013,,16700,16800,16600,16700,919060
SSI,22156859000,03/10/2013,,16600,16700,16400,16600,1343620
SSI,13552914000,04/10/2013,,16400,16500,16300,16400,825860
SSI,18099260000,07/10/2013,,16400,16800,16400,16700,1087930
SSI,72331776000,08/10/2013,,16700,17200,16600,17000,4264360
SSI,10630061000,09/10/2013,,17000,17000,16800,16800,629640
SSI,10452289000,10/10/2013,,16800,17000,16600,16700,622390
SSI,15144582000,11/10/2013,,16800,16800,16600,16600,908780
SSI,6191908000,14/10/2013,,16700,16700,16500,16500,373220
SSI,9064928000,15/10/2013,,16500,16700,16500,16600,546370
SSI,13475014000,16/10/2013,,16700,16900,16600,16800,801890
SSI,15839820000,17/10/2013,,16900,17000,16700,16800,939020
SSI,6711665000,18/10/2013,,16800,16900,16700,16900,399050
SSI,30425042000,21/10/2013,,17100,17200,16900,17000,1783090
SSI,14980820000,22/10/2013,,16900,17000,16700,16800,890760
SSI,16145661000,23/10/2013,,16800,16900,16700,16800,960440
SSI,11103290000,24/10/2013,,16800,16900,16600,16600,663070
SSI,12961931000,25/10/2013,,16600,16700,16500,16500,782650
SSI,9981945000,28/10/2013,,16600,16700,16500,16500,603210
SSI,9981945000,28/10/2013,,16600,16700,16500,16500,603210
SSI,7589159000,29/10/2013,,16500,16600,16400,16600,459240
SSI,3682994000,30/10/2013,,16600,16700,16500,16500,221910
SSI,2677627000,31/10/2013,,16500,16600,16500,16500,162050
SSI,6397784000,01/11/2013,,16500,16600,16400,16500,387960
SSI,12393900000,04/11/2013,,16500,16600,16400,16600,752530
SSI,14309213000,05/11/2013,,16600,16800,16500,16800,858520
SSI,17789985000,06/11/2013,,16800,16900,16700,16900,1058590
SSI,27234818000,07/11/2013,,16900,17000,16800,16800,1613460
SSI,7477303000,08/11/2013,,16800,16900,16800,16900,444680
SSI,15971064000,11/11/2013,,16900,17000,16800,17000,944360
SSI,19899457000,12/11/2013,,17100,17100,16800,16800,1173960
SSI,6078636000,13/11/2013,,16700,16900,16600,16700,363090
SSI,7570570000,14/11/2013,,16800,16800,16600,16700,453720
SSI,64311597000,15/11/2013,,16700,17300,16700,17200,3758080
SSI,52206551000,18/11/2013,,17300,17800,17200,17600,2966440
SSI,17330837000,19/11/2013,,17600,17700,17500,17500,984920
SSI,27970299000,20/11/2013,,17400,17500,17300,17500,1604000
SSI,45446518000,21/11/2013,,17700,17900,17300,17300,2570790
SSI,24134932000,22/11/2013,,17400,17500,17300,17400,1388420
SSI,66762091000,25/11/2013,,17700,17900,17600,17600,3750980
SSI,23291000000,26/11/2013,,17600,17900,17500,17800,1315420
SSI,32853459000,27/11/2013,,17900,18000,17600,17700,1847350
SSI,32853459000,27/11/2013,,17900,18000,17600,17700,1847350
SSI,17348214000,28/11/2013,,17700,17800,17500,17600,982470
SSI,19407306000,29/11/2013,,17600,17700,17400,17400,1107280
SSI,24481665000,02/12/2013,,17500,17600,17300,17300,1409600
SSI,62007577000,03/12/2013,,17400,18100,17400,17800,3483640
SSI,36857121000,04/12/2013,,17900,18000,17800,17900,2055690
SSI,66672886000,05/12/2013,,17900,18300,17800,18100,3684400
SSI,24926828000,06/12/2013,,18100,18200,17900,18100,1384450
SSI,24273537000,09/12/2013,,18100,18200,17800,17800,1348690
SSI,32528066000,10/12/2013,,17900,17900,17600,17600,1834760
SSI,40463951000,11/12/2013,,17600,17700,17400,17400,2310420
SSI,23383439000,12/12/2013,,17400,17800,17300,17700,1333970
