Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
STB,5031141000,02/01/2013,,19900,20100,19600,20100,252100
STB,5288338000,03/01/2013,,20100,20500,19900,20500,260820
STB,5574811000,04/01/2013,,20500,20800,20100,20700,271370
STB,17428626000,07/01/2013,,20700,21500,20200,21500,825340
STB,11520243000,08/01/2013,,21500,21900,21100,21900,531040
STB,17811099000,09/01/2013,,21900,22800,21600,22800,787950
STB,11627470000,10/01/2013,,22800,23200,22400,23100,507330
STB,6243950000,11/01/2013,,23100,23100,22800,22800,272820
STB,9459813000,14/01/2013,,22500,22500,22200,22400,423090
STB,15050158000,15/01/2013,,22000,22300,22000,22300,679570
STB,10589292000,16/01/2013,,22100,22300,22000,22300,478090
STB,3104140000,17/01/2013,,22000,22300,22000,22000,140520
STB,3995298000,18/01/2013,,22000,22500,21800,22500,180850
STB,2684293000,21/01/2013,,22000,22300,22000,22200,121360
STB,2895147000,22/01/2013,,21700,22100,21700,22000,131750
STB,4622379000,23/01/2013,,21800,22100,21800,22000,210140
STB,2847587000,24/01/2013,,22000,22100,21900,22000,129270
STB,8162637000,25/01/2013,,22000,22200,21900,22200,368970
STB,23577834000,28/01/2013,,22100,23000,22100,22800,1033880
STB,24666106000,29/01/2013,,22400,23000,22400,23000,1079090
STB,15549187000,30/01/2013,,23000,23000,22800,22800,679320
STB,6413394000,31/01/2013,,22500,22800,22300,22800,282870
STB,6413394000,31/01/2013,,22500,22800,22300,22800,282870
STB,12447527000,01/02/2013,,22800,22800,22200,22800,550710
STB,3017123000,04/02/2013,,22600,22800,22600,22700,132860
STB,6424613000,05/02/2013,,22800,22800,22400,22700,284470
STB,14126432000,06/02/2013,,22700,22800,22500,22700,624050
STB,3596649000,07/02/2013,,22700,22800,22400,22400,159560
STB,3756987000,08/02/2013,,22900,22900,22500,22600,166030
STB,919411000,18/02/2013,,22800,22800,22500,22500,40660
STB,12889146000,19/02/2013,,22200,22300,21900,22300,582030
STB,5585931000,20/02/2013,,21800,22200,21800,22100,252830
STB,4429393000,21/02/2013,,22000,22000,21700,21700,202880
STB,5541952000,22/02/2013,,21400,21800,21300,21600,258070
STB,3491439000,25/02/2013,,21600,21600,21500,21600,161960
STB,2971846000,26/02/2013,,21400,21400,21100,21200,139870
STB,4467492000,27/02/2013,,21000,21000,20400,21000,215070
STB,3486888000,28/02/2013,,20500,21600,20500,21600,166500
STB,5371247000,01/03/2013,,22100,22100,21700,22000,246750
STB,8416560000,04/03/2013,,21300,22000,20500,20500,403530
STB,3463682000,05/03/2013,,20300,21400,20300,21400,165660
STB,3415938000,06/03/2013,,20600,21900,20500,21900,158750
STB,4142063000,07/03/2013,,21900,21900,20800,20800,193600
STB,2848987000,08/03/2013,,21000,21800,20600,21000,133090
STB,16473272000,11/03/2013,,21800,21900,21300,21900,756980
STB,6554398000,12/03/2013,,21500,21800,21500,21800,301850
STB,12565480000,13/03/2013,,21900,22000,21200,21200,579250
STB,4154529000,14/03/2013,,21200,21900,21200,21900,192160
STB,25907051000,15/03/2013,,21800,22200,21500,21800,1183570
STB,1931993000,18/03/2013,,22000,22000,21500,21800,88670
STB,2931779000,19/03/2013,,21600,21900,21600,21800,134350
STB,3999591000,20/03/2013,,21800,22000,21600,21600,183930
STB,2679371000,21/03/2013,,21800,21900,21500,21900,123170
STB,2778998000,22/03/2013,,21600,21800,21300,21300,129650
STB,5195772000,25/03/2013,,21100,21600,21100,21600,242910
STB,2841555000,26/03/2013,,21500,21500,21200,21200,133560
STB,1675527000,27/03/2013,,21100,21200,20800,20900,79850
STB,1736078000,28/03/2013,,20800,20900,20600,20600,83930
STB,590438000,29/03/2013,,20800,20800,20400,20700,28830
STB,3666691000,01/04/2013,,20700,21700,20700,21700,174750
STB,3666691000,01/04/2013,,20700,21700,20700,21700,174750
STB,8321757000,02/04/2013,,21700,21800,21200,21700,383330
STB,3980567000,03/04/2013,,21800,21800,21200,21200,185550
STB,2774515000,04/04/2013,,21200,21500,20700,21300,131840
STB,4202412000,05/04/2013,,21500,21800,21100,21400,195860
STB,2783259000,08/04/2013,,21100,21900,21100,21800,128880
STB,2704073000,09/04/2013,,21400,21800,21300,21300,126730
STB,8149965000,10/04/2013,,21200,21400,20100,20100,397830
STB,9137600000,11/04/2013,,20100,21400,20100,21400,443050
STB,7010879000,12/04/2013,,21400,21400,20600,21300,333190
STB,1093121000,15/04/2013,,21300,21300,20700,20900,51980
STB,4822374000,16/04/2013,,20300,20600,20300,20400,236260
STB,8699110000,17/04/2013,,20800,20900,20200,20900,420780
STB,8917012000,18/04/2013,,20900,20900,20200,20900,433000
STB,5986942000,22/04/2013,,20400,20800,20300,20800,292240
STB,9342095000,23/04/2013,,20400,21000,20400,21000,447650
