Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
TCB,288191780000,04/06/2018,,102400,105000,102400,102400,2811840
TCB,288191780000,04/06/2018,,102400,105000,102400,102400,2811840
TCB,136003550000,05/06/2018,,99100,106000,96000,96000,1357500
TCB,149272930000,06/06/2018,,95000,96000,91000,92000,1605480
TCB,133518120000,07/06/2018,,94500,98400,93100,98400,1376540
TCB,208546190000,08/06/2018,,101000,105200,99500,105200,2008500
TCB,131239290000,11/06/2018,,104800,109000,103200,109000,1229830
TCB,119534350000,12/06/2018,,108000,108000,102900,105000,1139130
TCB,81434770000,13/06/2018,,105000,108000,104500,105400,772670
TCB,64816280000,14/06/2018,,106500,106500,103500,105000,617130
TCB,75845300000,15/06/2018,,105500,105500,103500,105200,723460
TCB,84139070000,18/06/2018,,104100,105000,98000,100000,825810
TCB,195912510000,19/06/2018,,95100,97000,93000,95000,2092720
TCB,52734670000,20/06/2018,,95000,96500,93100,95200,554870
TCB,46936110000,21/06/2018,,95400,95400,93300,95200,497790
TCB,31005640000,22/06/2018,,95100,95100,93600,95000,328710
TCB,88228190000,25/06/2018,,96000,97000,95700,95900,918340
TCB,46844020000,26/06/2018,,94400,95500,94200,95000,493790
TCB,37122660000,27/06/2018,,93500,95000,93500,93600,394860
TCB,120961650000,28/06/2018,,93000,93500,88500,92200,1319230
TCB,143624560000,29/06/2018,,91000,92000,87000,91700,1583700
TCB,59374010000,02/07/2018,,91800,91800,87000,87900,669570
TCB,174441600000,03/07/2018,,87500,88300,81800,81800,2112230
TCB,86048450000,04/07/2018,,80500,81000,76100,81000,1102650
TCB,86048450000,04/07/2018,,80500,81000,76100,81000,1102650
TCB,45289520000,05/07/2018,,28850,28850,27000,28150,1583450
TCB,32803290000,06/07/2018,,28000,29000,27000,28800,1160990
TCB,18030800000,09/07/2018,,29000,29200,27850,28500,631240
TCB,15382880000,10/07/2018,,28500,28500,27500,27650,549100
TCB,29636390000,11/07/2018,,27100,27100,25750,25750,1134570
TCB,17681710000,12/07/2018,,25100,26000,25100,26000,686180
