Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
TPB,242206000000,19/04/2018,,35000,35000,31800,32450,7295110
TPB,63801000000,20/04/2018,,32800,32800,31900,32500,1970610
TPB,28948000000,23/04/2018,,32500,32600,30300,30800,918490
TPB,32699000000,24/04/2018,,30300,31000,28700,30800,1084620
TPB,18673000000,26/04/2018,,30700,30900,29500,29700,618040
TPB,23248000000,27/04/2018,,29950,30200,29350,30200,783680
TPB,14162000000,02/05/2018,,30900,30900,29700,29800,468940
TPB,12007000000,03/05/2018,,29800,29800,29000,29800,407660
TPB,8015000000,04/05/2018,,30450,30450,29500,29800,267600
TPB,8034000000,07/05/2018,,29900,30000,29200,30000,269800
TPB,16730000000,08/05/2018,,31000,31000,29800,30100,556210
TPB,11040000000,09/05/2018,,30100,30100,29600,30000,368930
TPB,5493000000,10/05/2018,,30000,30000,29000,29500,184990
TPB,21188000000,11/05/2018,,29500,29800,28600,29800,725410
TPB,7414870000,14/05/2018,,29800,29800,28800,29500,252920
TPB,13841300000,15/05/2018,,29500,29850,28800,29800,468650
TPB,15538140000,16/05/2018,,29800,29850,29200,29500,525340
TPB,11383000000,17/05/2018,,29600,29800,29300,29500,385710
TPB,13747000000,18/05/2018,,29400,29800,29150,29700,465950
TPB,10056000000,21/05/2018,,29750,29750,29450,29550,339500
TPB,12140900000,22/05/2018,,29550,29750,28600,29300,414600
TPB,14800680000,23/05/2018,,29300,29450,28900,29400,506080
TPB,10758260000,24/05/2018,,29350,29450,29100,29300,366890
TPB,8999130000,25/05/2018,,29300,29400,28950,29000,307990
TPB,5461720000,28/05/2018,,28800,28900,27100,27100,197040
TPB,16758650000,29/05/2018,,27500,28850,27500,28800,590410
TPB,4919020000,30/05/2018,,28750,28950,28400,28700,171480
TPB,8162320000,31/05/2018,,28600,28650,28000,28000,287350
TPB,2846280000,01/06/2018,,28600,28600,28000,28000,100550
TPB,11211150000,04/06/2018,,28100,29800,27950,29500,387700
TPB,11211150000,04/06/2018,,28100,29800,27950,29500,387700
TPB,13462700000,05/06/2018,,29600,29600,28900,29400,459200
TPB,24719930000,06/06/2018,,29200,29300,28800,28900,847910
TPB,19531410000,07/06/2018,,29000,29000,28700,28900,675570
TPB,33464420000,08/06/2018,,28900,29000,28500,28650,1162520
TPB,1107370000,11/06/2018,,28900,28900,28200,28500,38710
TPB,1185920000,12/06/2018,,28500,28500,27800,28200,42180
TPB,3126400000,13/06/2018,,28200,28300,28000,28200,111190
TPB,642690000,14/06/2018,,28200,28200,27750,28000,22990
TPB,730520000,15/06/2018,,28150,28150,27750,27800,26260
TPB,1216100000,18/06/2018,,27800,27800,27000,27000,44490
TPB,17442010000,19/06/2018,,26600,27400,25150,27100,648860
TPB,17665000000,20/06/2018,,27100,27500,27100,27400,648730
TPB,1197100000,21/06/2018,,27600,27900,27000,27400,43660
TPB,3164300000,22/06/2018,,27300,27500,27300,27500,115320
TPB,5691160000,25/06/2018,,27550,28000,27500,27800,204990
TPB,2787620000,26/06/2018,,26200,27900,26200,27800,101440
TPB,1158590000,27/06/2018,,27700,27800,27000,27650,42360
TPB,1206380000,28/06/2018,,27650,27650,27000,27000,44370
TPB,6384450000,29/06/2018,,27500,27500,26900,27500,234590
TPB,2014960000,02/07/2018,,27500,27600,26950,27000,73960
TPB,4862080000,03/07/2018,,27000,27050,25950,26100,182230
TPB,7246050000,04/07/2018,,26100,26200,24800,25450,283830
TPB,7246050000,04/07/2018,,26100,26200,24800,25450,283830
TPB,20267670000,05/07/2018,,25900,26350,25300,25300,779170
TPB,9014240000,06/07/2018,,25300,26700,25300,26700,344120
TPB,6079090000,09/07/2018,,27000,27000,24850,27000,226510
TPB,7537330000,10/07/2018,,27000,27200,26900,27200,278740
TPB,2207720000,11/07/2018,,27200,27200,26600,26800,82430
TPB,3707060000,12/07/2018,,26700,26800,26550,26750,138910
TPB,8221760000,13/07/2018,,27150,27250,26900,27100,303750
TPB,5813700000,16/07/2018,,27000,27000,26500,27000,216440
TPB,4244490000,17/07/2018,,27000,27050,26800,26800,157780
TPB,6672470000,18/07/2018,,26850,27100,26650,27000,247780
TPB,1483990000,19/07/2018,,26950,27000,26700,26900,55150
TPB,687150000,20/07/2018,,27000,27000,26800,26900,25590
TPB,1767440000,23/07/2018,,26950,26950,26700,26850,65750
TPB,2109130000,24/07/2018,,27000,27050,25000,26700,78680
TPB,2628350000,25/07/2018,,26600,26850,25000,26400,98910
TPB,1959960000,26/07/2018,,26400,26800,26350,26500,73720
TPB,2773350000,27/07/2018,,26500,26800,26350,26600,104230
TPB,5667300000,30/07/2018,,25900,26600,25100,25600,217670
TPB,3342110000,31/07/2018,,25050,25600,25050,25500,131670
TPB,3407090000,01/08/2018,,25350,25550,25000,25000,134560
TPB,4575250000,02/08/2018,,24950,25000,24000,24700,188020
TPB,4957610000,03/08/2018,,24000,25000,24000,24650,200320
TPB,4957610000,03/08/2018,,24000,25000,24000,24650,200320
TPB,7357240000,06/08/2018,,24650,25000,23800,23900,301330
TPB,2303180000,07/08/2018,,23950,24100,23950,24050,95960
TPB,5465610000,08/08/2018,,24050,24550,24050,24400,225180
TPB,11681660000,09/08/2018,,24500,25700,24500,25400,461210
TPB,8437670000,10/08/2018,,25450,25700,25100,25550,332110
TPB,8696540000,13/08/2018,,25600,26050,25350,26000,336850
TPB,8191670000,14/08/2018,,26300,26400,26000,26000,312680
TPB,7545970000,15/08/2018,,26000,26250,25700,25750,289650
TPB,6074930000,16/08/2018,,25600,26100,25600,26050,235000
TPB,6909700000,17/08/2018,,26300,27000,26050,26250,262420
TPB,7451710000,20/08/2018,,26000,26300,26000,26000,285190
TPB,9970920000,23/08/2018,,26200,26700,26200,26500,375720
TPB,8450800000,24/08/2018,,26550,26550,26400,26550,318750
TPB,6999370000,27/08/2018,,26600,26700,26600,26700,262880
TPB,9865910000,28/08/2018,,26600,26950,26600,26900,367780
TPB,9512840000,29/08/2018,,26900,27100,26800,27050,353290
TPB,10401440000,30/08/2018,,27000,27100,26800,27050,386140
TPB,9331690000,31/08/2018,,27050,27250,26900,26900,344740
TPB,7377450000,04/09/2018,,26850,26950,26750,26800,274950
TPB,7666730000,05/09/2018,,26750,26850,26500,26500,287370
TPB,8306720000,06/09/2018,,26400,26800,24650,24650,314500
TPB,8685600000,07/09/2018,,25750,26350,25700,26350,334230
TPB,7788490000,10/09/2018,,26450,26550,26250,26350,295040
TPB,8036930000,11/09/2018,,26350,26400,26100,26100,306000
TPB,8136800000,12/09/2018,,26100,26350,26000,26100,311310
TPB,7178.85,13/09/2018,,26150,26250,26100,26200,274320
TPB,7760140000,14/09/2018,,26200,26300,26150,26200,296230
TPB,7743590000,17/09/2018,,26200,26200,26000,26100,296810
TPB,8832140000,18/09/2018,,26100,26100,25550,26100,341310
TPB,10532400000,19/09/2018,,26150,26250,26000,26200,403380
TPB,11866780000,20/09/2018,,26250,26450,26200,26250,451650
TPB,12060800000,21/09/2018,,26250,26400,26200,26250,458990
TPB,4727180000,24/09/2018,,26300,26400,26200,26250,179800
TPB,9150500000,25/09/2018,,26250,26250,25850,25950,352600
TPB,7297400000,26/09/2018,,26000,26550,25800,26000,280770
TPB,6180420000,27/09/2018,,26000,26200,25950,26000,237590
TPB,9812110000,28/09/2018,,26000,26200,25900,26200,377090
TPB,8787340000,01/10/2018,,26200,26350,26150,26200,334990
TPB,12108760000,02/10/2018,,26200,26500,25950,26150,462710
TPB,12108760000,02/10/2018,,26200,26500,25950,26150,462710
TPB,12945230000,03/10/2018,,26200,26350,26150,26300,493170
TPB,24658680000,04/10/2018,,26300,27200,26300,27000,918360
TPB,18665560000,05/10/2018,,27100,27150,26850,27000,691450
TPB,15689840000,08/10/2018,,27050,27050,26500,26650,586980
TPB,28290030000,09/10/2018,,26400,26750,26300,26700,1065850
TPB,14903310000,10/10/2018,,26700,26800,26600,26700,557840
TPB,12653760000,11/10/2018,,25000,26000,24900,24900,500890
TPB,9437820000,12/10/2018,,24850,25300,24850,25150,376500
TPB,8333000000,15/10/2018,,25100,25150,23400,24000,336550
TPB,7928560000,16/10/2018,,24050,24250,24000,24150,328810
TPB,7928740000,17/10/2018,,24200,25000,24200,24500,321550
TPB,6844850000,18/10/2018,,24550,24750,24400,24450,279180
TPB,7512520000,19/10/2018,,24400,24500,24200,24450,308190
TPB,9573750000,22/10/2018,,24450,25100,24450,24600,386440
TPB,7736570000,23/10/2018,,24650,24650,24350,24400,315760
TPB,7753520000,24/10/2018,,24450,24650,24400,24550,316220
TPB,6082830000,25/10/2018,,24450,24550,24150,24500,249910
TPB,6687910000,26/10/2018,,24650,25000,24650,24850,269600
TPB,5381680000,29/10/2018,,24850,24900,24650,24850,217050
TPB,9214000000,30/10/2018,,24850,25200,24850,25000,368350
TPB,7925210000,31/10/2018,,25500,25850,25500,25850,308320
TPB,7392200000,01/11/2018,,26500,26500,25700,25750,285340
TPB,7392200000,01/11/2018,,26500,26500,25700,25750,285340
TPB,13122840000,02/11/2018,,25800,26050,24000,24000,511310
TPB,11862660000,05/11/2018,,24500,24800,24450,24750,481700
TPB,6157920000,06/11/2018,,24750,24900,24700,24750,248270
TPB,6361870000,07/11/2018,,24750,25100,24750,25000,255460
TPB,15771320000,08/11/2018,,25000,25400,24650,25300,631830
TPB,14217800000,09/11/2018,,25300,25600,25000,25100,563400
TPB,5899880000,12/11/2018,,25100,25550,24950,25550,234920
TPB,5248340000,13/11/2018,,25500,25500,25250,25450,206970
TPB,4610470000,14/11/2018,,25450,25600,25450,25500,180650
