Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VCB,4638430000,02/01/2013,,27200,27800,27200,27800,168190
VCB,14042732000,03/01/2013,,27900,28500,27000,28500,500650
VCB,14455338000,04/01/2013,,28000,29500,27800,29200,501540
VCB,38559480000,07/01/2013,,28000,30000,28000,30000,1312740
VCB,31893984000,08/01/2013,,30600,31500,30100,31500,1035220
VCB,49170846000,09/01/2013,,30100,31700,30000,31700,1583320
VCB,20528948000,10/01/2013,,31800,32500,30700,32500,645400
VCB,14091599000,11/01/2013,,32900,32900,32000,32100,432980
VCB,12081906000,14/01/2013,,31500,31900,30800,31900,384930
VCB,16133737000,15/01/2013,,31400,32000,31200,32000,509000
VCB,14458718000,16/01/2013,,31500,32900,31500,32100,449000
VCB,11554701000,17/01/2013,,32500,32500,31500,31500,358750
VCB,9515262000,18/01/2013,,32000,32000,31400,31600,299790
VCB,8360373000,21/01/2013,,30800,31700,30800,31100,269410
VCB,5711493000,22/01/2013,,31200,31200,30600,30600,184710
VCB,15889583000,23/01/2013,,29800,30600,29700,30400,530180
VCB,6485571000,24/01/2013,,30500,31000,30400,31000,211230
VCB,13652415000,25/01/2013,,31000,32500,31000,32500,426490
VCB,14827507000,28/01/2013,,32500,33000,32400,32800,453400
VCB,30553743000,29/01/2013,,32900,34000,32700,34000,915570
VCB,26192774000,30/01/2013,,34000,34400,33600,34300,767730
VCB,10889397000,31/01/2013,,33500,34000,33500,34000,321460
VCB,10889397000,31/01/2013,,33500,34000,33500,34000,321460
VCB,14657411000,01/02/2013,,33800,34300,32800,34300,433080
VCB,7340800000,04/02/2013,,34300,34300,33600,33700,214910
VCB,9657173000,05/02/2013,,33700,33700,33200,33700,288720
VCB,33591674000,06/02/2013,,33700,34500,33700,34500,983270
VCB,4196744000,07/02/2013,,34500,34700,34300,34500,121570
VCB,8049445000,08/02/2013,,34700,34700,34400,34500,232830
VCB,7863114000,18/02/2013,,34500,34500,34300,34300,228560
VCB,17998463000,19/02/2013,,34200,34300,33700,33900,529020
VCB,13239851000,20/02/2013,,32700,34100,32700,34100,394040
VCB,12593648000,21/02/2013,,34200,34200,32000,32000,375710
VCB,16706697000,22/02/2013,,32000,33200,31500,32700,518270
VCB,5909744000,25/02/2013,,32500,33500,32500,33500,178380
VCB,7716691000,26/02/2013,,33500,33500,30900,30900,240960
VCB,8019333000,27/02/2013,,30900,31300,30600,30900,259470
VCB,10617030000,28/02/2013,,31500,32800,31200,32300,327730
VCB,8704336000,01/03/2013,,32300,32500,32100,32400,269070
VCB,12027065000,04/03/2013,,32400,32700,32000,32100,371070
VCB,6886929000,05/03/2013,,32600,32600,31600,31600,215070
VCB,5023325000,06/03/2013,,31600,32200,31600,32200,157520
VCB,8549731000,07/03/2013,,32200,32200,31900,32200,266560
VCB,8844070000,08/03/2013,,32300,32400,32100,32300,274220
VCB,8342786000,11/03/2013,,32000,32200,31600,32200,260040
VCB,5095665000,12/03/2013,,31900,32300,31900,32300,158530
VCB,8229320000,13/03/2013,,32400,32500,32200,32500,254430
VCB,12037619000,14/03/2013,,32500,32600,32000,32000,371790
VCB,21955812000,15/03/2013,,31900,32900,31900,32900,671530
VCB,3079321000,18/03/2013,,32900,32900,32300,32600,94990
VCB,4497355000,19/03/2013,,32600,32600,32100,32100,138660
VCB,3747171000,20/03/2013,,32100,32400,32000,32300,116040
VCB,6461484000,21/03/2013,,32500,32500,32100,32200,200370
VCB,1978483000,22/03/2013,,32000,32200,31700,31800,62100
VCB,6580169000,25/03/2013,,31800,32300,31800,32000,205300
VCB,1594723000,26/03/2013,,32000,32100,31800,31800,50010
VCB,5100327000,27/03/2013,,31600,32300,31400,32300,159520
VCB,4272171000,28/03/2013,,32400,32400,31800,32000,132670
VCB,4121121000,29/03/2013,,32000,32100,31000,32000,129060
VCB,4855624000,01/04/2013,,31500,32000,31500,32000,152250
VCB,4855624000,01/04/2013,,31500,32000,31500,32000,152250
VCB,21792286000,02/04/2013,,32000,32300,31900,32200,679970
VCB,10864075000,03/04/2013,,32400,32400,31800,32000,339260
VCB,6447326000,04/04/2013,,31600,32000,31600,31700,203140
VCB,9204905000,05/04/2013,,32000,32000,30900,31100,294150
VCB,5087326000,08/04/2013,,31100,31500,31100,31500,162030
VCB,3752452000,09/04/2013,,31200,31500,31100,31200,120270
VCB,14946600000,10/04/2013,,31200,31400,29100,29100,502130
VCB,16581901000,11/04/2013,,29200,30000,29000,29500,566150
VCB,10247964000,12/04/2013,,29400,29500,28500,28700,354980
VCB,9190905000,15/04/2013,,28500,28600,27000,27300,329800
VCB,16054778000,16/04/2013,,26900,28300,26200,28000,589680
VCB,10183916000,17/04/2013,,27300,28300,27300,28200,367680
VCB,13343959000,18/04/2013,,27600,27800,27300,27300,484490
VCB,11443272000,22/04/2013,,27200,27300,26700,26700,426580
VCB,9813605000,23/04/2013,,26700,27300,26700,27000,363270
VCB,8446673000,24/04/2013,,27000,27300,26600,26600,314110
VCB,3694111000,25/04/2013,,27000,27400,27000,27400,136300
VCB,6558662000,26/04/2013,,27800,27900,27400,27400,236810
VCB,1021470000,02/05/2013,,27500,27500,27200,27200,37320
VCB,3148512000,03/05/2013,,27000,27200,27000,27200,116280
VCB,8908586000,06/05/2013,,27500,28100,27300,28000,320990
VCB,8402030000,07/05/2013,,28100,28300,27800,27900,299510
VCB,3353934000,08/05/2013,,27900,28100,27800,28100,119680
VCB,4660129000,09/05/2013,,28100,28100,27700,27800,167260
VCB,5406707000,10/05/2013,,27800,28100,27400,27500,195930
VCB,2560787000,13/05/2013,,27300,27800,27300,27800,92860
VCB,5450645000,14/05/2013,,27600,27700,27200,27200,199140
VCB,6735090000,15/05/2013,,27400,28000,27300,27900,242740
VCB,27370345000,16/05/2013,,28000,29500,27900,29400,942020
VCB,5465320000,17/05/2013,,29000,29200,28600,28600,189370
VCB,11689281000,20/05/2013,,28600,29600,28600,29400,398580
VCB,8480150000,21/05/2013,,29500,30200,29400,29500,287420
VCB,10743207000,22/05/2013,,30000,30000,29500,29500,361120
VCB,14920270000,23/05/2013,,29500,29500,28500,28600,514520
VCB,14950845000,24/05/2013,,29000,29100,28300,28500,522000
VCB,23677600000,27/05/2013,,29000,29900,29000,29500,804540
VCB,21529495000,28/05/2013,,29800,29800,29500,29700,727480
VCB,18632890000,29/05/2013,,29900,29900,29600,29600,628100
VCB,36480707000,30/05/2013,,29700,30700,29600,30700,1205890
VCB,21383917000,31/05/2013,,31000,31400,30700,30900,689950
VCB,21383917000,31/05/2013,,31000,31400,30700,30900,689950
VCB,12394764000,03/06/2013,,30600,31100,30600,31000,401000
VCB,19953643000,04/06/2013,,30800,31000,30200,30200,651470
VCB,10160643000,05/06/2013,,30200,30600,30100,30600,334390
VCB,12079622000,06/06/2013,,30300,31500,30300,31300,388650
VCB,18964327000,07/06/2013,,31600,32100,31600,32000,594630
VCB,22361838000,10/06/2013,,31800,32600,31600,31700,698650
VCB,22317779000,11/06/2013,,31900,31900,31200,31300,706730
VCB,22903392000,12/06/2013,,30800,31500,30500,30500,743040
VCB,9274472000,13/06/2013,,30500,31000,30400,30900,303570
VCB,15312299000,14/06/2013,,30900,31100,30600,30600,497930
VCB,14896125000,17/06/2013,,30600,31400,30600,30600,482070
VCB,13438117000,18/06/2013,,30600,31200,30600,31000,434260
VCB,8812137000,19/06/2013,,30700,31100,30700,31000,284760
VCB,18655169000,20/06/2013,,30900,30900,30500,30900,606070
VCB,41140417000,21/06/2013,,30900,31000,30600,30800,1335940
VCB,25554022000,24/06/2013,,30400,30700,29300,29500,856880
VCB,21783684000,25/06/2013,,29300,29300,27500,27700,778690
VCB,29333300000,26/06/2013,,27500,27800,26800,27000,1080010
VCB,14709619000,27/06/2013,,27200,27800,27000,27600,537660
VCB,6992981000,28/06/2013,,27900,28100,27600,28000,250140
VCB,5247102000,01/07/2013,,27900,27900,27400,27400,190510
VCB,2061037000,02/07/2013,,27400,27800,27400,27800,74490
VCB,6795360000,03/07/2013,,27900,28000,27400,27400,246800
VCB,6470719000,04/07/2013,,27400,27800,27400,27400,235290
VCB,2989991000,05/07/2013,,27700,27700,27400,27500,108700
VCB,3229530000,08/07/2013,,27300,27600,27300,27600,117450
VCB,2919998000,09/07/2013,,27500,27700,27400,27600,105910
VCB,6547932000,10/07/2013,,27400,27700,27300,27300,238650
VCB,5175521000,11/07/2013,,27300,27500,27100,27500,189980
VCB,4312235000,12/07/2013,,27600,27800,27500,27800,155760
VCB,7500265000,15/07/2013,,27900,28000,27700,27800,269500
VCB,5280250000,16/07/2013,,27600,27900,27600,27700,190580
VCB,6243899000,17/07/2013,,27700,27700,27500,27700,226070
VCB,6671650000,18/07/2013,,27600,27800,27500,27600,241470
VCB,17001449000,19/07/2013,,27800,28300,27700,28000,607350
VCB,3211981000,22/07/2013,,28000,28200,27800,27900,115210
VCB,15590684000,23/07/2013,,27900,28600,27800,28300,551970
VCB,12779156000,24/07/2013,,28000,28300,27600,27600,458990
VCB,5096523000,25/07/2013,,27600,27900,27500,27500,184080
VCB,6333393000,26/07/2013,,27500,27800,27300,27500,231630
VCB,5973725000,29/07/2013,,27200,27700,26800,27000,220170
VCB,3592246000,30/07/2013,,27000,27300,27000,27200,132300
VCB,3592246000,30/07/2013,,27000,27300,27000,27200,132300
VCB,3883672000,31/07/2013,,27100,27300,26800,26800,143940
VCB,9582756000,01/08/2013,,27100,27100,26700,26700,357500
VCB,2357345000,02/08/2013,,26900,27100,26800,27000,87330
VCB,2412632000,05/08/2013,,27000,27100,26900,27100,89320
VCB,11438810000,06/08/2013,,27100,27400,26900,27400,422260
VCB,5138497000,07/08/2013,,27500,27500,27100,27100,188380
VCB,3312844000,08/08/2013,,27100,27300,26900,26900,122680
VCB,4525119000,09/08/2013,,27000,27000,26800,26900,168040
VCB,6177704000,12/08/2013,,26800,27000,26800,26800,230110
