Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VHM,1989000000,17/05/2018,,110500,110500,110500,110500,18000
VHM,0,18/05/2018,,110500,110500,110500,110500,0
VHM,0,21/05/2018,,110500,110500,110500,110500,0
VHM,2360000,22/05/2018,,118200,118200,118200,118200,20
VHM,536080500000,23/05/2018,,114500,114500,110000,110300,4839580
VHM,217951360000,24/05/2018,,110800,114800,110100,114500,1937240
VHM,205391560000,25/05/2018,,114800,119900,114500,117500,1749720
VHM,341683250000,28/05/2018,,111000,118000,111000,117000,2944740
VHM,102091170000,29/05/2018,,117000,117200,113100,116000,884320
VHM,280922510000,30/05/2018,,116000,117000,113000,117000,2448260
VHM,137163520000,31/05/2018,,117000,117500,115100,115100,1178690
VHM,94617130000,01/06/2018,,115100,117500,114500,116500,814870
VHM,206080730000,04/06/2018,,116000,117900,115500,117900,1762630
VHM,206080730000,04/06/2018,,116000,117900,115500,117900,1762630
VHM,144998150000,05/06/2018,,117900,119000,117000,118000,1229890
VHM,84387820000,06/06/2018,,117500,120900,117000,120000,712230
VHM,138712000000,07/06/2018,,122000,122000,111600,120000,1167210
VHM,55259550000,08/06/2018,,120000,120900,117500,120000,462940
VHM,51038770000,11/06/2018,,120800,120800,119000,120000,425790
VHM,96565920000,12/06/2018,,120000,120000,117000,118000,816310
VHM,34156930000,13/06/2018,,118000,118400,117600,118000,289590
VHM,73029330000,14/06/2018,,118000,118500,116300,117000,624230
VHM,24926300000,15/06/2018,,117700,117700,116500,116500,213150
VHM,72970850000,18/06/2018,,116500,118000,116000,116500,626280
VHM,89026170000,19/06/2018,,116500,116500,114700,115000,770730
VHM,69933510000,20/06/2018,,107100,116000,107100,115000,613980
VHM,13435960000,21/06/2018,,115000,115100,114000,115000,117280
VHM,9524660000,22/06/2018,,115000,115000,114000,114200,83230
VHM,24667930000,25/06/2018,,114200,115900,114200,115500,214260
VHM,12895190000,26/06/2018,,115500,115500,114100,115000,112440
VHM,34173310000,27/06/2018,,112500,114100,110000,110000,305740
VHM,20404180000,28/06/2018,,110000,113000,108000,110000,185920
VHM,35726890000,29/06/2018,,113000,113000,108500,112400,321730
VHM,50732170000,02/07/2018,,112500,112500,110000,111300,456190
VHM,17745630000,03/07/2018,,111300,111300,103600,103600,165430
VHM,148515540000,04/07/2018,,102100,110800,102100,110800,1358170
VHM,148515540000,04/07/2018,,102100,110800,102100,110800,1358170
VHM,137134160000,05/07/2018,,110800,115000,110800,114000,1208630
VHM,56199430000,06/07/2018,,111500,113900,111500,112500,497040
VHM,15170900000,09/07/2018,,112500,113400,112500,112800,134390
VHM,32744000000,10/07/2018,,112700,112800,108500,111000,298180
VHM,9480160000,11/07/2018,,110000,111000,108000,109700,86370
VHM,12475190000,12/07/2018,,109700,110800,108000,110000,113470
VHM,6300360000,13/07/2018,,107300,111000,107300,109300,57420
VHM,10149670000,16/07/2018,,110500,110500,106000,106000,93750
VHM,44492410000,17/07/2018,,109000,111000,106000,106000,410540
VHM,12503400000,18/07/2018,,110000,110000,107000,107400,115930
VHM,38515930000,19/07/2018,,108000,108000,106500,106500,359780
VHM,38679150000,20/07/2018,,107000,108000,106100,106900,361710
VHM,15053310000,23/07/2018,,103000,109500,103000,107800,140470
VHM,5625940000,24/07/2018,,103000,107700,103000,106500,52950
VHM,13214910000,25/07/2018,,107000,107000,105400,106500,123900
VHM,21906120000,26/07/2018,,106500,107800,106000,106000,205970
VHM,7120730000,27/07/2018,,106000,106500,105000,105900,67370
VHM,35095510000,30/07/2018,,106000,110500,105000,110500,324540
VHM,18797060000,31/07/2018,,112000,112000,108800,110300,170450
VHM,35001530000,01/08/2018,,110300,110400,108500,108600,320670
VHM,28903540000,02/08/2018,,109900,109900,108600,108800,265210
VHM,43411850000,03/08/2018,,109200,109700,108500,109000,398200
VHM,43411850000,03/08/2018,,109200,109700,108500,109000,398200
VHM,19930530000,06/08/2018,,109000,109100,108800,109000,182880
VHM,17342200000,07/08/2018,,109000,109000,107000,107500,160500
VHM,14515070000,08/08/2018,,107500,108800,107500,108000,134310
VHM,31113000000,09/08/2018,,108000,109000,108000,108700,285670
VHM,12886440000,10/08/2018,,109000,109000,106000,106900,120470
VHM,117266100000,13/08/2018,,108400,108400,106900,107500,1088420
VHM,43824020000,14/08/2018,,107000,108000,107000,107800,406610
VHM,47001350000,15/08/2018,,107800,107900,107100,107800,436300
VHM,78182490000,16/08/2018,,107800,107900,107100,107800,726220
VHM,123990660000,17/08/2018,,114000,114000,108800,108800,1125570
VHM,62836600000,20/08/2018,,111400,111400,108800,108800,575880
VHM,152888600000,23/08/2018,,110000,112100,110000,111900,1371780
VHM,150237900000,24/08/2018,,112200,112900,111100,111500,1340480
VHM,101818860000,27/08/2018,,111900,111900,111300,111500,913670
VHM,90582910000,28/08/2018,,111500,111500,110500,111000,817180
VHM,33112790000,29/08/2018,,111000,111000,108300,108300,303590
VHM,43875570000,30/08/2018,,108000,108000,106500,107400,409540
VHM,328876760000,31/08/2018,,107400,111200,104000,104000,3027640
VHM,23907550000,04/09/2018,,106900,107700,104200,104900,225530
VHM,33718320000,05/09/2018,,105800,106000,105100,106000,318560
VHM,30202300000,06/09/2018,,106000,106000,104600,105000,287240
VHM,48064920000,07/09/2018,,104000,105000,104000,104800,459090
VHM,55932600000,10/09/2018,,105500,105500,104600,104600,532950
VHM,50439090000,11/09/2018,,104000,105000,103700,103700,483770
VHM,63143450000,12/09/2018,,104800,104800,103800,104000,605640
VHM,87903.99,13/09/2018,,104000,105600,104000,105100,836910
VHM,62452610000,14/09/2018,,105800,106000,105300,105500,591790
VHM,135873230000,17/09/2018,,105500,106700,105400,105500,1287240
VHM,21688320000,18/09/2018,,105500,105500,104000,104600,207550
VHM,27022100000,19/09/2018,,105400,105400,103000,104600,258160
VHM,35163560000,20/09/2018,,105000,105000,103900,105000,336900
VHM,823972720000,21/09/2018,,104600,105100,101500,101500,8102520
VHM,64839350000,24/09/2018,,101500,103000,101500,102900,634680
VHM,48433090000,25/09/2018,,103000,103400,101600,102400,472130
VHM,48335080000,26/09/2018,,102000,102500,101900,101900,473580
VHM,54670770000,27/09/2018,,103000,104500,103000,104000,525990
VHM,89158910000,28/09/2018,,105500,106000,104600,106000,846730
VHM,55272890000,01/10/2018,,106500,107100,103100,103100,523580
VHM,55796600000,02/10/2018,,104300,105000,103800,104000,534540
VHM,55796600000,02/10/2018,,104300,105000,103800,104000,534540
VHM,48134530000,03/10/2018,,104900,104900,101900,102000,467970
VHM,34163260000,04/10/2018,,104000,104000,102600,102600,331810
VHM,31285070000,05/10/2018,,104000,104000,102100,102100,304710
VHM,21773310000,08/10/2018,,82500,83000,80000,80000,265800
VHM,21672040000,09/10/2018,,81200,82200,80000,80000,267080
VHM,30417690000,10/10/2018,,81500,81500,80000,80100,378520
VHM,56642330000,11/10/2018,,77000,80200,75100,76500,736740
VHM,51622070000,12/10/2018,,76500,79000,76000,77000,666960
VHM,37905000000,15/10/2018,,77000,77000,73000,73100,505140
VHM,26122620000,16/10/2018,,73100,75100,73100,74600,349810
VHM,22927370000,17/10/2018,,76300,77000,75000,76400,300010
VHM,11138810000,18/10/2018,,76400,76800,75500,75600,146220
VHM,21211080000,19/10/2018,,74600,76100,74000,74800,282610
VHM,18951360000,22/10/2018,,74800,75500,74700,74700,252630
VHM,10103480000,23/10/2018,,73800,74500,73400,74100,136760
VHM,17176170000,24/10/2018,,73500,74200,72500,72500,233830
VHM,33023910000,25/10/2018,,68500,70200,68000,68500,479440
VHM,65382930000,26/10/2018,,68500,69000,63800,65000,1004220
VHM,20978450000,29/10/2018,,62500,63600,61000,61800,338080
VHM,35701000000,30/10/2018,,60100,63000,60000,62100,574230
VHM,71683160000,31/10/2018,,62300,66400,62300,66400,1099060
VHM,59985540000,01/11/2018,,65100,70000,65100,69000,871070
VHM,59985540000,01/11/2018,,65100,70000,65100,69000,871070
VHM,85106500000,02/11/2018,,70000,73800,70000,72000,1170010
VHM,54630410000,05/11/2018,,73000,73800,71000,72000,758430
