Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VIB,6458030000,09/01/2017,,23800,23800,17000,18500,346000
VIB,4396141200,10/01/2017,,19100,19100,18500,18700,234947
VIB,4396141200,10/01/2017,,19100,19100,18500,18700,234947
VIB,3192131500,11/01/2017,,18700,18700,18300,18500,173442
VIB,895694200,12/01/2017,,18000,18000,16800,16800,52349
VIB,1083665000,13/01/2017,,16300,16300,15100,15200,70740
VIB,2040731000,16/01/2017,,15400,15400,14900,15300,134435
VIB,616188200,17/01/2017,,15000,15700,15000,15700,40175
VIB,320236800,18/01/2017,,15700,15800,15500,15800,20408
VIB,1152518400,19/01/2017,,15700,16000,15600,16000,73089
VIB,832843900,20/01/2017,,15800,16500,15800,15900,52135
VIB,709353500,23/01/2017,,16500,16900,16200,16200,42247
VIB,1073896000,24/01/2017,,16700,17000,16700,17000,63225
VIB,27209000,25/01/2017,,16900,16900,16900,16900,1610
VIB,161458000,02/02/2017,,16900,16900,16100,16300,9810
VIB,130039000,03/02/2017,,16100,16900,16100,16700,7890
VIB,1238155100,06/02/2017,,16600,16600,16500,16500,75013
VIB,394350000,07/02/2017,,16500,16500,16500,16500,23900
VIB,187487500,08/02/2017,,16500,16500,16300,16300,11454
VIB,460763500,09/02/2017,,16500,16800,16400,16400,27845
VIB,460763500,09/02/2017,,16500,16800,16400,16400,27845
VIB,212087000,10/02/2017,,16500,16900,16500,16900,12638
VIB,402986000,13/02/2017,,16400,16800,16400,16800,24240
VIB,294767500,14/02/2017,,16600,16700,16600,16600,17715
VIB,900650000,15/02/2017,,16500,17000,16500,16700,53610
VIB,1060895000,16/02/2017,,16900,17200,16900,17000,62280
VIB,25875000,17/02/2017,,16800,16800,16800,16800,1540
VIB,349957000,20/02/2017,,16800,17200,16800,16900,20599
VIB,215811500,21/02/2017,,16900,17000,16800,17000,12750
VIB,697146000,22/02/2017,,17000,17100,16900,16900,41019
VIB,1018303600,23/02/2017,,17000,17000,16800,16800,60220
VIB,510101600,24/02/2017,,17000,17000,16900,17000,30064
VIB,283539900,27/02/2017,,17000,17000,16900,17000,16720
VIB,229477300,28/02/2017,,16900,17200,16900,17100,13447
VIB,140400600,01/03/2017,,17100,17500,17100,17300,8158
VIB,303213100,02/03/2017,,17600,18300,17400,17500,17246
VIB,234641900,03/03/2017,,17600,17700,17600,17700,13301
VIB,364032000,06/03/2017,,17700,17700,17500,17500,20752
VIB,264466200,07/03/2017,,17200,17700,17200,17600,15280
VIB,69190000,08/03/2017,,17300,17300,17300,17300,4000
VIB,114326800,09/03/2017,,17300,17300,17200,17300,6619
VIB,24480000,10/03/2017,,17300,17500,17300,17500,1400
VIB,61461000,13/03/2017,,17500,17600,17500,17500,3515
VIB,221675000,14/03/2017,,17500,17700,17500,17600,12650
VIB,734560000,15/03/2017,,17400,17500,17300,17500,42200
VIB,221238200,16/03/2017,,17500,17500,17500,17500,12643
VIB,83849100,17/03/2017,,17600,17600,17600,17600,4767
VIB,263783000,20/03/2017,,17600,17600,17400,17400,15087
VIB,415053100,22/03/2017,,17800,17800,17500,17500,2363
VIB,127000000,23/03/2017,,17500,17500,17500,17500,7280
VIB,240000000,24/03/2017,,17200,17800,17200,17500,13548
VIB,71000000,27/03/2017,,17500,17600,17500,17600,4030
VIB,201000000,28/03/2017,,17500,17800,17500,17700,11397
VIB,63000000,29/03/2017,,18000,18000,17600,17600,3496
VIB,270000000,30/03/2017,,18000,18000,17700,17700,15105
VIB,757000000,31/03/2017,,18000,18000,17700,18000,42058
VIB,509000000,03/04/2017,,18000,18500,18000,18400,27703
VIB,392000000,04/04/2017,,18500,18500,18400,18400,21211
VIB,658000000,05/04/2017,,18700,18800,18500,18500,35224
VIB,339000000,07/04/2017,,18800,18800,18500,18600,18220
VIB,68000000,10/04/2017,,18600,18700,18600,18700,3630
VIB,68000000,10/04/2017,,18600,18700,18600,18700,3630
VIB,1034000000,11/04/2017,,18700,19200,18700,18900,54706
VIB,485000000,12/04/2017,,18700,19100,18700,18900,25639
VIB,1882000000,13/04/2017,,19100,21000,19100,20300,93217
VIB,137000000,14/04/2017,,20300,20500,19800,19800,6810
VIB,471000000,17/04/2017,,20200,20200,19000,19800,23971
VIB,1799000000,18/04/2017,,19900,19900,19600,19800,91100
VIB,1553000000,19/04/2017,,19800,20000,19800,19900,78130
VIB,635000000,20/04/2017,,19900,20200,19900,20100,31708
VIB,1204000000,21/04/2017,,20000,20000,20000,20000,60210
VIB,1024000000,24/04/2017,,20000,20000,19800,20000,51260
VIB,1409000000,25/04/2017,,20100,20500,20000,20200,70300
VIB,213000000,26/04/2017,,20000,20400,20000,20000,10591
VIB,896000000,27/04/2017,,20000,20500,20000,20000,44740
VIB,344000000,28/04/2017,,20200,20500,20100,20300,17003
VIB,91000000,03/05/2017,,20900,20900,20200,20700,4440
VIB,830000000,04/05/2017,,20600,20600,20100,20500,40700
VIB,2386000000,05/05/2017,,20400,20600,20300,20600,116900
VIB,229000000,08/05/2017,,20500,20500,20400,20500,11150
VIB,756000000,09/05/2017,,20700,20900,20600,20900,36600
VIB,1688000000,10/05/2017,,20800,20800,20700,20700,81510
VIB,1688000000,10/05/2017,,20800,20800,20700,20700,81510
VIB,993000000,11/05/2017,,20800,21000,20700,21000,47501
VIB,4578000000,12/05/2017,,21300,21500,21000,21400,214450
VIB,1385000000,15/05/2017,,21400,23000,21300,23000,63980
VIB,3442000000,16/05/2017,,23000,24900,23000,24900,140547
VIB,2737000000,17/05/2017,,27000,28100,25900,26500,99635
VIB,1077000000,18/05/2017,,31600,31600,23600,24200,42831
VIB,2420000000,19/05/2017,,24200,24900,23100,23600,99690
VIB,2422000000,22/05/2017,,24500,24800,23100,23500,101918
VIB,712000000,23/05/2017,,24000,24100,23500,23800,30000
VIB,1569000000,24/05/2017,,24000,24000,22000,22000,69055
VIB,674000000,25/05/2017,,22200,22200,21700,21900,30545
VIB,108000000,26/05/2017,,22000,22100,21100,22000,4924
VIB,1290000000,29/05/2017,,22000,23400,22000,22700,57110
VIB,964000000,30/05/2017,,22800,23400,22400,22600,42619
VIB,384000000,31/05/2017,,23000,23000,22500,22600,16824
VIB,376000000,01/06/2017,,23400,23400,22000,22000,16940
VIB,57000000,02/06/2017,,22800,23000,22000,22200,2580
VIB,884000000,05/06/2017,,22200,22800,22000,22000,39900
VIB,1180000000,06/06/2017,,22100,22200,22000,22200,53340
VIB,1551880500,07/06/2017,,22900,22900,22100,22300,69855
VIB,1109610000,08/06/2017,,22100,22100,22000,22100,50310
VIB,948230000,09/06/2017,,22000,22100,22000,22000,43100
VIB,948230000,09/06/2017,,22000,22100,22000,22000,43100
VIB,717200000,12/06/2017,,22000,22000,22000,22000,32600
VIB,395070000,13/06/2017,,22100,22100,21900,22000,17910
VIB,370510000,14/06/2017,,22100,22100,21900,22000,16820
VIB,381038000,15/06/2017,,22000,22000,22000,22000,17320
VIB,471534200,16/06/2017,,22100,22100,21000,21900,21702
VIB,412660000,19/06/2017,,22000,22000,21900,21900,18800
VIB,257000000,20/06/2017,,22100,22600,22100,22600,11400
VIB,405000000,21/06/2017,,22700,23000,22700,23000,17760
VIB,314850000,22/06/2017,,22200,23000,22200,23000,13800
VIB,672814000,23/06/2017,,22800,23000,22500,23000,29797
VIB,310723900,26/06/2017,,23000,23000,22800,22800,13584
VIB,390537500,27/06/2017,,22600,22600,22500,22500,17335
VIB,2498175000,28/06/2017,,22500,22500,22500,22500,111030
VIB,1361850000,29/06/2017,,22500,22600,22500,22600,60500
VIB,382000000,30/06/2017,,22500,22500,22000,22500,17069
VIB,115680200,03/07/2017,,22500,22900,22500,22900,5100
VIB,2260000,04/07/2017,,22600,22600,22600,22600,100
VIB,1436070000,05/07/2017,,22800,23000,22500,23000,62500
VIB,492394000,06/07/2017,,22800,23000,22800,22800,21580
VIB,156232000,07/07/2017,,23000,23000,22700,22700,6850
VIB,354728000,10/07/2017,,22800,22800,22600,22800,15620
VIB,4791376000,11/07/2017,,22800,22800,22700,22800,210170
VIB,3853300000,12/07/2017,,22800,22900,22800,22800,169000
