Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VIC,8604305000,02/01/2013,,79500,82000,79000,80000,106720
VIC,9470835000,03/01/2013,,80000,80000,79000,80000,118830
VIC,13017520000,04/01/2013,,80000,80500,79000,80000,162880
VIC,30801765000,07/01/2013,,80500,84000,80500,83500,370650
VIC,30594800000,08/01/2013,,84500,85000,83500,84500,363210
VIC,6820615000,09/01/2013,,84500,84500,83000,83000,81350
VIC,9976820000,10/01/2013,,83000,83000,81000,83000,120980
VIC,14272370000,11/01/2013,,84500,84500,82500,83500,171140
VIC,17989060000,14/01/2013,,84000,84000,83000,83500,215400
VIC,13536605000,15/01/2013,,85000,85500,83500,83500,160930
VIC,20138645000,16/01/2013,,85000,85500,83500,84500,237940
VIC,11651490000,17/01/2013,,85000,85500,84500,85000,137110
VIC,17434280000,18/01/2013,,85000,85500,84500,85000,205380
VIC,11251890000,21/01/2013,,84500,85500,84000,84000,133100
VIC,13071135000,22/01/2013,,67000,67000,64500,65000,200700
VIC,20042930000,23/01/2013,,65500,66500,65000,65500,305690
VIC,16283400000,24/01/2013,,65500,66000,65000,65500,248840
VIC,23233615000,25/01/2013,,65500,66500,65500,66000,352190
VIC,22294505000,28/01/2013,,67500,68000,67000,67000,331350
VIC,20929720000,29/01/2013,,67000,67500,66500,67000,312550
VIC,39983100000,30/01/2013,,67000,67500,66500,67000,596680
VIC,8757840000,31/01/2013,,66000,67000,66000,66500,131930
VIC,8757840000,31/01/2013,,66000,67000,66000,66500,131930
VIC,12551690000,01/02/2013,,66500,67000,66000,67000,188520
VIC,16373845000,04/02/2013,,67000,67500,67000,67000,244350
VIC,49669265000,05/02/2013,,67000,68000,67000,67000,741040
VIC,11842555000,06/02/2013,,68000,68000,67000,67500,175610
VIC,7007390000,07/02/2013,,68000,68000,67000,67500,104460
VIC,6499335000,08/02/2013,,67000,68000,66000,67500,96950
VIC,7864400000,18/02/2013,,67500,67500,66000,66000,117770
VIC,31057790000,19/02/2013,,68000,68000,66500,67000,463190
VIC,9767760000,20/02/2013,,67500,67500,66500,67000,145770
VIC,6073855000,21/02/2013,,66500,67000,65000,65000,91840
VIC,7055075000,22/02/2013,,65000,66000,63500,64000,109240
VIC,3935020000,25/02/2013,,65000,65000,64000,65000,60860
VIC,9188050000,26/02/2013,,64500,64500,61500,62500,145630
VIC,7195075000,27/02/2013,,62500,63500,62000,63500,115050
VIC,36437175000,28/02/2013,,63500,67500,63500,67000,551700
VIC,8894470000,01/03/2013,,68000,68000,66000,66000,132410
VIC,25895810000,04/03/2013,,67500,70000,66500,68000,379190
VIC,13376040000,05/03/2013,,67500,67500,66000,66000,201440
VIC,6237905000,06/03/2013,,68000,68000,65500,66000,94290
VIC,18451185000,07/03/2013,,66000,66000,64500,64500,283370
VIC,4774200000,08/03/2013,,65000,65500,64500,65000,73590
VIC,4868605000,11/03/2013,,65000,66000,64500,66000,74730
VIC,10801625000,12/03/2013,,65000,65500,63500,63500,169070
VIC,9210815000,13/03/2013,,64500,65000,63000,63500,144800
VIC,4791375000,14/03/2013,,63500,64000,63000,64000,75210
VIC,27072245000,15/03/2013,,64500,65500,64000,65500,415500
VIC,6714790000,18/03/2013,,65500,66000,64500,64500,102710
VIC,3810340000,19/03/2013,,64000,65500,64000,64500,58810
VIC,3989300000,20/03/2013,,64000,65000,64000,65000,61650
VIC,6158405000,21/03/2013,,65000,66000,65000,65500,94400
VIC,14013935000,22/03/2013,,65500,67500,65000,65000,210740
VIC,19000455000,25/03/2013,,65000,67000,65000,66500,286920
VIC,10271710000,26/03/2013,,67000,67500,66000,66000,154130
VIC,7454075000,27/03/2013,,66000,66000,64500,64500,114830
VIC,8603940000,28/03/2013,,65000,65000,63000,64000,135090
VIC,2287840000,29/03/2013,,63000,64000,63000,63500,36080
VIC,5700395000,01/04/2013,,64000,65500,63500,65500,88590
VIC,5700395000,01/04/2013,,64000,65500,63500,65500,88590
VIC,6258615000,02/04/2013,,64500,66000,64500,66000,95700
VIC,8062625000,03/04/2013,,65000,66000,63500,64500,124760
VIC,7409675000,04/04/2013,,65000,65000,62500,63500,116840
VIC,14184315000,05/04/2013,,64500,65500,64000,65000,218290
VIC,6493985000,08/04/2013,,66000,66000,64500,65000,99740
