Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VJC,1299240000,28/02/2017,,108000,108000,108000,108000,12030
VJC,11446050000,01/03/2017,,115500,115500,115500,115500,99100
VJC,23532930000,02/03/2017,,123500,123500,123500,123500,190550
VJC,359319230000,03/03/2017,,132100,132100,123500,132100,2750050
VJC,157210880000,06/03/2017,,134000,138000,132100,137400,1155300
VJC,119754270000,07/03/2017,,137400,137500,130100,132500,901520
VJC,118512360000,08/03/2017,,130100,132500,126500,130000,916200
VJC,82851180000,09/03/2017,,128700,131000,128700,130600,635920
VJC,56722870000,10/03/2017,,130600,131000,128800,131000,436480
VJC,74223420000,13/03/2017,,131500,131900,130300,131000,566660
VJC,53352900000,14/03/2017,,130400,130800,129500,129500,410150
VJC,82664410000,15/03/2017,,129000,129500,121000,121500,662540
VJC,56489670000,16/03/2017,,121500,122000,116500,116500,477810
VJC,57500350000,17/03/2017,,115600,121000,113000,117500,496260
VJC,37458150000,20/03/2017,,120000,125700,118500,125700,307470
VJC,44379100000,21/03/2017,,125700,129800,125400,125400,348100
VJC,47550040000,22/03/2017,,125000,125900,123400,125000,380360
VJC,50629970000,23/03/2017,,125000,127500,124700,126000,402040
VJC,71393000000,24/03/2017,,127000,128900,127000,128000,557630
VJC,59247820000,27/03/2017,,128500,131000,128500,129900,454930
VJC,62967900000,28/03/2017,,131000,133700,130000,130900,475680
VJC,56022890000,29/03/2017,,131900,131900,130000,131700,426200
VJC,47500090000,30/03/2017,,132000,132000,128000,128000,363980
VJC,41034030000,31/03/2017,,129900,129900,128000,128100,318710
VJC,36211550000,03/04/2017,,128000,129500,125800,125800,282490
VJC,59207370000,04/04/2017,,129000,129900,126100,128000,459220
VJC,76831890000,05/04/2017,,127300,130100,126500,128700,596140
VJC,45178210000,07/04/2017,,129100,129200,128700,129100,350370
VJC,100095760000,10/04/2017,,129100,131500,128900,130800,765530
VJC,100095760000,10/04/2017,,129100,131500,128900,130800,765530
VJC,27195980000,11/04/2017,,131000,132000,130900,131800,206460
VJC,61266260000,12/04/2017,,131100,134600,131100,134100,458390
VJC,37317620000,13/04/2017,,134000,134400,133800,134200,278260
VJC,44587220000,14/04/2017,,134300,134400,131000,133200,335130
VJC,30151620000,17/04/2017,,131500,133800,130000,131700,227200
VJC,34066030000,18/04/2017,,130100,131800,128000,129000,263970
VJC,33067450000,19/04/2017,,129000,131500,127900,131400,255600
VJC,41134340000,20/04/2017,,131400,131800,129500,131600,313760
VJC,28741680000,21/04/2017,,131900,131900,130700,131400,218910
VJC,29810580000,24/04/2017,,131400,131800,129400,129400,229020
VJC,27302380000,25/04/2017,,129400,129400,127500,128000,212370
VJC,26339700000,26/04/2017,,128000,129300,128000,129200,204330
VJC,29620610000,27/04/2017,,131000,131000,128100,128100,229050
VJC,28926310000,28/04/2017,,129400,129400,127500,127700,225640
VJC,31210310000,03/05/2017,,128700,128700,127600,127900,244220
VJC,32368290000,04/05/2017,,127900,130000,127900,130000,251660
VJC,30315300000,05/05/2017,,130200,130200,128500,129800,234430
VJC,31695180000,08/05/2017,,129900,129900,129000,129600,244970
VJC,37696270000,09/05/2017,,129000,129500,128000,128800,292990
VJC,54320110000,10/05/2017,,128800,130500,128400,130500,421080
VJC,54320110000,10/05/2017,,128800,130500,128400,130500,421080
VJC,55507780000,11/05/2017,,130200,130800,129700,130400,425720
VJC,42904000000,12/05/2017,,130000,130800,129500,130000,329590
VJC,44089680000,15/05/2017,,129000,129900,128000,128500,342370
VJC,48745150000,16/05/2017,,128500,128500,127000,128000,381790
VJC,45980790000,17/05/2017,,128200,128700,126400,128000,361550
VJC,29689910000,18/05/2017,,128000,128000,126400,127000,233910
VJC,44126130000,19/05/2017,,127000,127800,126400,127800,347600
VJC,30671370000,22/05/2017,,126500,129000,126500,128400,239240
VJC,34597000000,23/05/2017,,127000,128300,127000,127800,270840
VJC,34942000000,24/05/2017,,127800,127800,126900,127000,274860
VJC,36882410000,25/05/2017,,127000,127100,125600,126000,291450
VJC,38431950000,26/05/2017,,126100,127000,126100,126800,303420
VJC,29678300000,29/05/2017,,126500,127800,126500,127800,233250
VJC,29585470000,30/05/2017,,127800,127800,127000,127500,232230
VJC,37150840000,31/05/2017,,127400,127800,127200,127800,291420
VJC,40114140000,01/06/2017,,127800,130000,127600,130000,312300
VJC,67324340000,02/06/2017,,131000,132900,130600,131000,510930
VJC,40733550000,05/06/2017,,131000,131000,129500,130000,312740
VJC,44929410000,06/06/2017,,130000,131000,129800,130100,344530
VJC,54783660000,07/06/2017,,130100,130500,127000,127500,426910
VJC,45965300000,08/06/2017,,129500,129700,127900,127900,357620
VJC,43276160000,09/06/2017,,128700,128700,126500,127000,339470
VJC,43276160000,09/06/2017,,128700,128700,126500,127000,339470
VJC,31266540000,12/06/2017,,127700,128300,126300,127000,245880
VJC,35803930000,13/06/2017,,127900,127900,126600,127600,281730
VJC,55488580000,14/06/2017,,127800,127900,127000,127000,435260
VJC,36112850000,15/06/2017,,128300,128300,126500,126500,283740
VJC,39896890000,16/06/2017,,129800,129800,126600,127000,313250
VJC,34591710000,19/06/2017,,128000,128000,126500,126900,272510
VJC,47909610000,20/06/2017,,126500,126700,126000,126500,379170
VJC,59747170000,21/06/2017,,126700,126700,125000,125100,475110
VJC,44373590000,22/06/2017,,125100,125500,123800,124000,356330
VJC,46587940000,23/06/2017,,124300,126000,124200,126000,372950
VJC,40838750000,26/06/2017,,126400,127000,125600,126000,323890
VJC,48839460000,27/06/2017,,126000,126000,125000,125000,389390
VJC,39934500000,28/06/2017,,125900,126000,124600,124800,319150
VJC,54762820000,29/06/2017,,124800,126300,124000,126300,438090
VJC,43981650000,30/06/2017,,126900,126900,124800,126300,350710
VJC,56826980000,03/07/2017,,125700,125700,124700,125700,454070
VJC,41551470000,04/07/2017,,125900,125900,124400,124900,332550
VJC,53449700000,05/07/2017,,125800,126000,124700,125200,426320
VJC,42313270000,06/07/2017,,126300,126300,125200,125600,336670
VJC,42790140000,07/07/2017,,125700,125700,125000,125600,341050
VJC,45479970000,10/07/2017,,125600,125800,124900,125500,362320
VJC,44693750000,11/07/2017,,125800,125800,124500,125400,357210
VJC,41403710000,12/07/2017,,126000,126000,125400,125900,329150
VJC,52861800000,13/07/2017,,128000,128000,126000,127000,416390
VJC,44096630000,14/07/2017,,126900,126900,126500,126900,347800
VJC,42014440000,17/07/2017,,127000,127400,126300,127000,330980
VJC,44999010000,18/07/2017,,127000,127900,126900,127700,353040
VJC,53776770000,19/07/2017,,128000,129000,127700,128400,419060
VJC,39636150000,20/07/2017,,128600,128900,126700,127000,309660
VJC,40160720000,21/07/2017,,126000,127800,124700,125300,318860
VJC,35791620000,24/07/2017,,125800,126300,124100,125700,286290
VJC,44789420000,25/07/2017,,126700,126900,124500,126000,355920
VJC,40463000000,26/07/2017,,126000,126000,125500,126000,321700
VJC,42005820000,27/07/2017,,126500,127000,125300,126200,332120
VJC,34641000000,28/07/2017,,124000,124900,124000,124300,278820
VJC,47258210000,31/07/2017,,124300,124800,123100,124400,380240
VJC,53562490000,01/08/2017,,124400,124800,123800,124700,431080
VJC,35757710000,02/08/2017,,124700,125200,124000,125000,286260
VJC,42284810000,03/08/2017,,125000,125500,124000,125000,339110
VJC,49331230000,04/08/2017,,125000,125400,124200,124900,395560
VJC,38478000000,07/08/2017,,124800,125400,124100,124900,307930
VJC,39597210000,08/08/2017,,124200,125100,124200,124700,317700
VJC,39597210000,08/08/2017,,124200,125100,124200,124700,317700
VJC,36368350000,09/08/2017,,124800,124800,123500,123500,292800
VJC,37831120000,10/08/2017,,123500,124500,123500,124000,305130
VJC,30489080000,11/08/2017,,124000,124800,123900,124100,245250
VJC,31097090000,14/08/2017,,124400,124800,123900,124100,250460
VJC,35292340000,15/08/2017,,124300,124400,123700,124000,284780
VJC,37355060000,16/08/2017,,123000,123900,123000,123700,302220
VJC,37975390000,17/08/2017,,123700,123700,122600,122600,308670
VJC,37116480000,18/08/2017,,122700,123000,121500,123000,303490
VJC,34873800000,21/08/2017,,123800,123800,123300,123500,282290
VJC,40368980000,22/08/2017,,123500,123900,123400,123500,326570
VJC,51943480000,23/08/2017,,123800,124000,123500,123900,419780
VJC,43399910000,24/08/2017,,124000,125000,123800,124400,349560
VJC,33007980000,25/08/2017,,125000,125100,124500,124900,264360
VJC,30429650000,28/08/2017,,124900,125000,124500,124900,243790
VJC,39100560000,29/08/2017,,120000,124700,120000,124500,315850
VJC,33908940000,30/08/2017,,124500,125000,123800,124700,272460
VJC,47205620000,31/08/2017,,124900,125100,124300,124800,378560
VJC,64765420000,01/09/2017,,125500,127500,125500,127300,511500
VJC,84904700000,05/09/2017,,131900,131900,130000,130600,648500
VJC,47559370000,06/09/2017,,130900,131100,130300,130800,363650
VJC,58044740000,07/09/2017,,130900,131300,129900,130300,444640
VJC,58044740000,07/09/2017,,130900,131300,129900,130300,444640
VJC,46736590000,08/09/2017,,130500,130800,129000,130300,359290
VJC,101037740000,11/09/2017,,131000,134900,130400,133500,758160
VJC,71215230000,12/09/2017,,134000,134400,133400,133500,532340
VJC,94179080000,13/09/2017,,134400,134400,133500,134300,703600
VJC,126056000000,14/09/2017,,135000,138000,134800,137700,927040
VJC,69177860000,15/09/2017,,139000,139800,137700,137700,499750
VJC,94884670000,18/09/2017,,138800,138800,136700,137100,690620
VJC,80918890000,19/09/2017,,136600,137100,136300,136500,591800
VJC,76040550000,20/09/2017,,137000,137600,136600,137100,555060
VJC,67878900000,21/09/2017,,138000,138500,136900,137100,494270
VJC,154655920000,22/09/2017,,98600,104700,98500,104700,1501950
VJC,111181790000,25/09/2017,,105000,110600,105000,109400,1020440
VJC,67476700000,26/09/2017,,109500,109500,106700,107500,626990
VJC,77655100000,27/09/2017,,106500,107200,105000,107000,730420
VJC,63076160000,28/09/2017,,107300,109400,107000,107900,582800
VJC,71706390000,29/09/2017,,108500,109300,107500,108200,661960
VJC,74660550000,02/10/2017,,108500,109000,106700,107600,689450
VJC,51186060000,03/10/2017,,106000,107700,104000,104400,483790
VJC,79729860000,04/10/2017,,105000,105800,104000,105000,760210
VJC,75332870000,05/10/2017,,105500,106200,104500,105400,715080
VJC,44184400000,06/10/2017,,105000,105600,104500,105300,420930
VJC,92010650000,09/10/2017,,105700,106800,104200,105800,872200
VJC,102051800000,10/10/2017,,106700,106700,104700,105000,968770
VJC,85625790000,11/10/2017,,105000,105500,104100,105100,817170
VJC,189107850000,12/10/2017,,105100,108800,104400,107900,1771470
