Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VN30,0,02/01/2013,,4.8641,4.9229,4.8537,4.9082,22641550
VN30,0,03/01/2013,,4.9058,4.9234,4.8384,4.9134,32691802
VN30,0,04/01/2013,,4.8971,4.9985,4.8795,4.9831,20146300
VN30,0,07/01/2013,,5.0058,5.0961,4.9854,5.0918,26031020
VN30,0,08/01/2013,,5.1241,5.2536,5.1164,5.2536,32892880
VN30,0,09/01/2013,,5.3418,5.3975,5.2164,5.3152,61607928
VN30,0,10/01/2013,,5.301,5.458,5.2632,5.458,33051072
VN30,0,11/01/2013,,5.5664,5.5664,5.4524,5.4572,29857520
VN30,0,14/01/2013,,5.3843,5.4223,5.3341,5.3742,26016240
VN30,0,15/01/2013,,5.3837,5.4273,5.3559,5.4273,29523420
VN30,0,16/01/2013,,5.4432,5.5211,5.4373,5.4634,30711880
VN30,0,17/01/2013,,5.4587,5.4746,5.3775,5.3775,31723670
VN30,0,18/01/2013,,5.3835,5.3966,5.2951,5.3497,29142270
VN30,0,21/01/2013,,5.3472,5.3681,5.2789,5.2789,12761250
VN30,0,22/01/2013,,5.3091,5.3091,5.1893,5.2119,17301730
VN30,0,23/01/2013,,5.2171,5.2633,5.1932,5.2192,12905400
VN30,0,24/01/2013,,5.234,5.3218,5.2256,5.3211,11320000
VN30,0,25/01/2013,,5.3559,5.4731,5.3559,5.4731,23302400
VN30,0,28/01/2013,,5.5184,5.6844,5.5184,5.626,37768408
VN30,0,29/01/2013,,5.6128,5.696,5.5857,5.696,34904248
VN30,0,30/01/2013,,5.7225,5.77,5.6815,5.7276,29159290
VN30,0,31/01/2013,,5.6901,5.696,5.6381,5.6401,20070490
VN30,0,31/01/2013,,5.6901,5.696,5.6381,5.6401,20070490
VN30,0,01/02/2013,,5.6291,5.6609,5.5531,5.6609,18839890
VN30,0,04/02/2013,,5.6636,5.6968,5.6207,5.6207,16871520
VN30,0,05/02/2013,,5.61,5.6292,5.5683,5.5683,21055240
VN30,0,06/02/2013,,5.6064,5.7052,5.6064,5.7003,20009590
VN30,0,07/02/2013,,5.7321,5.7614,5.6946,5.7159,17594510
VN30,0,08/02/2013,,5.7339,5.7647,5.6957,5.7418,12007720
VN30,0,18/02/2013,,5.7769,5.7857,5.7376,5.7443,17174080
VN30,0,19/02/2013,,5.7374,5.7488,5.6932,5.7022,26807910
VN30,0,20/02/2013,,5.6583,5.7373,5.6538,5.7238,19244500
VN30,0,21/02/2013,,5.716,5.7447,5.5042,5.5042,27072530
VN30,0,22/02/2013,,5.571,5.627,5.4252,5.5133,29462370
VN30,0,25/02/2013,,5.5595,5.589,5.5222,5.5817,13373010
VN30,0,26/02/2013,,5.5773,5.5773,5.3569,5.3694,24142770
VN30,0,27/02/2013,,5.3715,5.3957,5.2976,5.3586,18025740
VN30,0,28/02/2013,,5.3935,5.4775,5.3935,5.4568,17404590
VN30,0,01/03/2013,,5.4892,5.5149,5.4685,5.477,12333780
VN30,0,04/03/2013,,5.4618,5.4947,5.3453,5.3453,19607530
VN30,0,05/03/2013,,5.3374,5.3388,5.258,5.2829,14685030
VN30,0,06/03/2013,,5.3281,5.3908,5.3137,5.3908,9619410
VN30,0,07/03/2013,,5.3897,5.4211,5.3369,5.3369,14167490
VN30,0,08/03/2013,,5.3582,5.4165,5.3582,5.4001,8670280
VN30,0,11/03/2013,,5.4244,5.5022,5.4144,5.5022,15131880
VN30,0,12/03/2013,,5.4733,5.5198,5.4189,5.4763,17545750
VN30,0,13/03/2013,,5.4952,5.51,5.4271,5.4294,16299510
VN30,0,14/03/2013,,5.4114,5.4615,5.4041,5.4615,16328330
VN30,0,15/03/2013,,5.4698,5.5333,5.4586,5.5333,40230248
VN30,0,18/03/2013,,5.5319,5.5319,5.4872,5.4872,12676510
VN30,0,19/03/2013,,5.4704,5.498,5.4523,5.4722,10403080
VN30,0,20/03/2013,,5.4715,5.5339,5.471,5.5115,15467200
VN30,0,21/03/2013,,5.5291,5.6117,5.5246,5.5939,16237050
VN30,0,22/03/2013,,5.6004,5.6608,5.518,5.5484,16939290
VN30,0,25/03/2013,,5.552,5.6181,5.5412,5.6181,11961010
VN30,0,26/03/2013,,5.6331,5.6392,5.5717,5.5717,10965070
VN30,0,27/03/2013,,5.5686,5.5829,5.5282,5.5483,10932720
VN30,0,28/03/2013,,5.5614,5.5616,5.5047,5.5192,10802590
VN30,0,29/03/2013,,5.4952,5.5388,5.4326,5.5228,10336750
VN30,0,01/04/2013,,5.5338,5.6698,5.518,5.6698,16180320
VN30,0,01/04/2013,,5.5338,5.6698,5.518,5.6698,16180320
VN30,0,02/04/2013,,5.6804,5.7733,5.6804,5.735,28288150
VN30,0,03/04/2013,,5.7238,5.7562,5.6725,5.6933,19646830
VN30,0,04/04/2013,,5.6945,5.7145,5.6409,5.6439,18312940
VN30,0,05/04/2013,,5.6766,5.7083,5.6405,5.702,14687579
VN30,0,08/04/2013,,5.7222,5.7606,5.697,5.7502,17717230
VN30,0,09/04/2013,,5.7321,5.7904,5.7258,5.7593,18698050
VN30,0,10/04/2013,,5.7624,5.8101,5.5837,5.5837,23132400
VN30,0,11/04/2013,,5.6204,5.6576,5.5756,5.6576,20175540
VN30,0,12/04/2013,,5.6668,5.6694,5.5224,5.5777,17713560
VN30,0,15/04/2013,,5.5544,5.5544,5.3956,5.4083,18673890
VN30,0,16/04/2013,,5.3444,5.3964,5.2582,5.3817,16660011
VN30,0,17/04/2013,,5.4275,5.449,5.3682,5.4399,8760310
VN30,0,18/04/2013,,5.3797,5.3955,5.2926,5.3244,13627580
VN30,0,22/04/2013,,5.3023,5.3112,5.2543,5.2763,12079560
VN30,0,23/04/2013,,5.2817,5.3424,5.2816,5.3224,9463180
VN30,0,24/04/2013,,5.3297,5.3543,5.3169,5.3169,10240790
VN30,0,25/04/2013,,5.345,5.3779,5.345,5.3723,9147670
VN30,0,26/04/2013,,5.374,5.406,5.3579,5.3737,8239310
VN30,0,02/05/2013,,5.3615,5.396,5.3451,5.3625,6709280
VN30,0,03/05/2013,,5.3387,5.3933,5.3369,5.3933,7278390
VN30,0,06/05/2013,,5.4229,5.5199,5.4229,5.5199,13222940
VN30,0,07/05/2013,,5.5345,5.5564,5.4785,5.4957,15855600
VN30,0,08/05/2013,,5.5128,5.5226,5.4858,5.4974,11718560
VN30,0,09/05/2013,,5.4928,5.5387,5.4928,5.5253,12649240
VN30,0,10/05/2013,,5.5222,5.5489,5.4993,5.5181,11780648
VN30,0,13/05/2013,,5.5255,5.5523,5.5255,5.5438,9991930
VN30,0,14/05/2013,,5.5264,5.5264,5.4565,5.4827,14586000
VN30,0,15/05/2013,,5.4787,5.5303,5.4767,5.5181,13452350
VN30,0,16/05/2013,,5.5226,5.5776,5.5193,5.5601,18171560
VN30,0,17/05/2013,,5.5557,5.5834,5.5351,5.5351,13693990
VN30,0,20/05/2013,,5.5278,5.5912,5.5174,5.5879,15831291
VN30,0,21/05/2013,,5.6315,5.7006,5.6228,5.6646,28326100
VN30,0,22/05/2013,,5.7039,5.7056,5.6752,5.6779,19183670
VN30,0,23/05/2013,,5.6671,5.7081,5.626,5.6179,24700108
VN30,0,24/05/2013,,5.6236,5.6787,5.6015,5.6381,21904650
VN30,0,27/05/2013,,5.679,5.7938,5.679,5.7482,23596760
VN30,0,28/05/2013,,5.7868,5.793,5.7394,5.774,25468070
VN30,0,29/05/2013,,5.7957,5.8334,5.7289,5.7933,28018420
VN30,0,30/05/2013,,5.8174,5.847,5.7947,5.847,21445740
VN30,0,31/05/2013,,5.8578,5.9105,5.8195,5.8195,33404364
