Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VNM,17486745000,02/01/2013,,87500,88000,87000,87000,199930
VNM,12682260000,03/01/2013,,87000,87500,86000,86500,146370
VNM,12824760000,04/01/2013,,86000,88000,86000,88000,147250
VNM,11955755000,07/01/2013,,88000,89000,88000,88000,135530
VNM,57329230000,08/01/2013,,88000,92000,88000,92000,629670
VNM,43760190000,09/01/2013,,96500,96500,93500,95500,455050
VNM,58123980000,10/01/2013,,95500,100000,95000,100000,593410
VNM,37215480000,11/01/2013,,102000,104000,101000,103000,362160
VNM,37032460000,14/01/2013,,101000,102000,98500,99500,371220
VNM,19174680000,15/01/2013,,99000,101000,99000,100000,192400
VNM,21558045000,16/01/2013,,100000,101000,99000,99500,215810
VNM,28677365000,17/01/2013,,99500,99500,98000,98000,291160
VNM,20130585000,18/01/2013,,98000,98500,96500,97500,206860
VNM,7370465000,21/01/2013,,98000,98500,96500,96500,75950
VNM,23756525000,22/01/2013,,96000,97500,95500,96500,246990
VNM,24736055000,23/01/2013,,98000,101000,98000,98000,250560
VNM,15833455000,24/01/2013,,98000,99500,98000,99000,160380
VNM,42702330000,25/01/2013,,99000,100000,98500,99500,430810
VNM,67999240000,28/01/2013,,100000,106000,100000,105000,657030
VNM,28344330000,29/01/2013,,104000,105000,102000,104000,273610
VNM,25243560000,30/01/2013,,103000,104000,102000,103000,245500
VNM,17278510000,31/01/2013,,102000,103000,101000,101000,169570
VNM,17278510000,31/01/2013,,102000,103000,101000,101000,169570
VNM,27887610000,01/02/2013,,100000,102000,99500,102000,277990
VNM,11861590000,04/02/2013,,102000,102000,101000,101000,117260
VNM,43316585000,05/02/2013,,102000,102000,99500,99500,432970
VNM,19015230000,06/02/2013,,99500,103000,99500,103000,187250
VNM,10816710000,07/02/2013,,102000,103000,102000,102000,105610
VNM,8019690000,08/02/2013,,102000,103000,101000,102000,78380
VNM,12830390000,18/02/2013,,103000,103000,101000,102000,125690
VNM,18866860000,19/02/2013,,101000,103000,101000,101000,185290
VNM,48367730000,20/02/2013,,101000,107000,100000,104000,466760
VNM,24275630000,21/02/2013,,105000,105000,101000,101000,236050
VNM,35494940000,22/02/2013,,102000,104000,100000,102000,348530
VNM,17276450000,25/02/2013,,103000,104000,102000,103000,167680
VNM,19815700000,26/02/2013,,103000,104000,101000,101000,193660
VNM,13138950000,27/02/2013,,102000,103000,101000,102000,129120
VNM,16593640000,28/02/2013,,103000,104000,102000,103000,161170
VNM,9403430000,01/03/2013,,103000,104000,103000,103000,91290
VNM,14180180000,04/03/2013,,103000,104000,102000,102000,138270
VNM,21245270000,05/03/2013,,102000,103000,101000,103000,207890
VNM,27881100000,06/03/2013,,105000,106000,104000,105000,266470
VNM,14076140000,07/03/2013,,105000,105000,103000,105000,135160
VNM,10130000000,08/03/2013,,104000,105000,104000,104000,96980
VNM,12506420000,11/03/2013,,104000,105000,103000,105000,120190
VNM,11797720000,12/03/2013,,104000,105000,103000,104000,113410
VNM,14102820000,13/03/2013,,104000,105000,103000,104000,136290
VNM,5518760000,14/03/2013,,104000,104000,103000,104000,53170
VNM,7792430000,15/03/2013,,103000,104000,103000,104000,75460
VNM,40322750000,18/03/2013,,104000,108000,103000,105000,383160
VNM,8353980000,19/03/2013,,106000,106000,105000,105000,79440
VNM,17348870000,20/03/2013,,106000,107000,105000,107000,163400
VNM,76829830000,21/03/2013,,107000,112000,107000,111000,697470
VNM,57596590000,22/03/2013,,112000,115000,111000,113000,509210
VNM,31327010000,25/03/2013,,114000,115000,112000,115000,275760
VNM,30212070000,26/03/2013,,115000,115000,112000,113000,265980
VNM,24410580000,27/03/2013,,113000,114000,112000,113000,216610
VNM,16287930000,28/03/2013,,114000,115000,113000,115000,142890
VNM,45538160000,29/03/2013,,114000,116000,113000,116000,395970
VNM,59999400000,01/04/2013,,117000,122000,117000,122000,499290
VNM,59999400000,01/04/2013,,117000,122000,117000,122000,499290
VNM,49792490000,02/04/2013,,122000,125000,122000,122000,403390
VNM,42564520000,03/04/2013,,121000,123000,121000,123000,350420
VNM,53752440000,04/04/2013,,122000,123000,120000,120000,443960
VNM,21352530000,05/04/2013,,121000,123000,120000,123000,175850
VNM,21550660000,08/04/2013,,123000,125000,123000,125000,173740
VNM,38038280000,09/04/2013,,125000,130000,125000,129000,299320
VNM,58738350000,10/04/2013,,130000,133000,126000,126000,454070
VNM,66751470000,11/04/2013,,128000,129000,125000,128000,526180
VNM,45642360000,12/04/2013,,128000,129000,124000,125000,362540
VNM,70025400000,15/04/2013,,124000,124000,120000,120000,575370
VNM,68669950000,16/04/2013,,119000,122000,115000,121000,579830
VNM,22510210000,17/04/2013,,123000,124000,121000,124000,183330
VNM,24221650000,18/04/2013,,122000,123000,121000,123000,198330
VNM,20646660000,22/04/2013,,122000,123000,121000,122000,169190
VNM,30824180000,23/04/2013,,124000,126000,123000,125000,248200
VNM,8049090000,24/04/2013,,125000,125000,124000,125000,64650
VNM,13012710000,25/04/2013,,125000,126000,124000,126000,103840
VNM,37389540000,26/04/2013,,126000,127000,124000,124000,298840
VNM,21728580000,02/05/2013,,123000,123000,121000,122000,177790
VNM,11133680000,03/05/2013,,121000,123000,121000,123000,91300
VNM,21777580000,06/05/2013,,124000,125000,123000,125000,175190
VNM,19490900000,07/05/2013,,125000,126000,124000,124000,156630
VNM,5826450000,08/05/2013,,124000,124000,123000,124000,47030
VNM,8215410000,09/05/2013,,123000,124000,123000,124000,66390
VNM,23540000000,10/05/2013,,124000,125000,123000,124000,189470
VNM,6323050000,13/05/2013,,124000,124000,123000,124000,51040
VNM,21445420000,14/05/2013,,123000,124000,122000,124000,174290
VNM,15592680000,15/05/2013,,123000,125000,123000,124000,125890
VNM,19127770000,16/05/2013,,124000,125000,123000,125000,154240
VNM,21265720000,17/05/2013,,125000,126000,124000,125000,170120
VNM,26620120000,20/05/2013,,126000,126000,124000,126000,212390
VNM,76869880000,21/05/2013,,127000,131000,127000,128000,599420
VNM,23906460000,22/05/2013,,129000,130000,128000,130000,185010
VNM,35295230000,23/05/2013,,130000,132000,129000,130000,271020
VNM,49970030000,24/05/2013,,129000,133000,129000,131000,381910
VNM,59910390000,27/05/2013,,132000,136000,132000,134000,446120
VNM,24594870000,28/05/2013,,135000,135000,134000,135000,183380
