Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VPB,2255108860000,17/08/2017,,39000,39000,33000,39000,58299310
VPB,41502550000,18/08/2017,,38000,38500,37200,37200,1092840
VPB,28647150000,21/08/2017,,35800,36800,35500,35850,798670
VPB,81739640000,22/08/2017,,34800,36000,34800,36000,2295930
VPB,18834610000,23/08/2017,,36000,36800,35750,36200,520790
VPB,24497370000,24/08/2017,,36350,36350,35800,36250,678690
VPB,22194290000,25/08/2017,,35900,36300,35800,36300,615370
VPB,27557060000,28/08/2017,,36000,36300,35900,36300,761670
VPB,35774920000,29/08/2017,,36100,36300,35950,36300,990000
VPB,30071860000,30/08/2017,,36300,36300,36000,36300,830100
VPB,43333920000,31/08/2017,,36100,36300,36100,36300,1196380
VPB,35464130000,01/09/2017,,36100,36300,36100,36300,978060
VPB,46234260000,05/09/2017,,36050,36400,36050,36400,1274130
VPB,47779650000,06/09/2017,,36400,38200,36300,38150,1269010
VPB,34975880000,07/09/2017,,38200,39300,38200,38550,900290
VPB,34975880000,07/09/2017,,38200,39300,38200,38550,900290
VPB,13031280000,08/09/2017,,38500,38500,38150,38200,339640
VPB,24474550000,11/09/2017,,38000,38100,36900,37000,655570
VPB,12230250000,12/09/2017,,37000,37500,36400,37350,330150
VPB,11657440000,13/09/2017,,37350,37600,37100,37500,312470
VPB,10057000000,14/09/2017,,37500,37600,37300,37450,268880
VPB,13216070000,15/09/2017,,37450,37600,37350,37400,352480
VPB,12084560000,18/09/2017,,37400,37500,37250,37300,323580
VPB,30420230000,19/09/2017,,37300,37300,36900,36950,820020
VPB,29165020000,20/09/2017,,36950,37300,36850,36900,789670
VPB,19743500000,21/09/2017,,36900,36950,36750,36900,535570
VPB,47365410000,22/09/2017,,36900,36900,36500,36700,1288830
VPB,18515570000,25/09/2017,,36700,36850,36650,36650,504360
VPB,26338390000,26/09/2017,,36900,36900,36600,36600,718370
VPB,54690980000,27/09/2017,,36600,37450,36600,37250,1473820
VPB,46423200000,28/09/2017,,37300,37800,37200,37250,1238590
