Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VRE,32440000,06/11/2017,,40550,40550,40550,40550,800
VRE,32440000,06/11/2017,,40550,40550,40550,40550,800
VRE,0,07/11/2017,,40550,40550,40550,40550,0
VRE,0,08/11/2017,,40550,40550,40550,40550,0
VRE,0,09/11/2017,,40550,40550,40550,40550,0
VRE,1345150000,10/11/2017,,43350,43350,43350,43350,310300
VRE,6135810000,13/11/2017,,46350,46350,46350,46350,132380
VRE,756941540000,14/11/2017,,49550,49550,46350,47000,15464870
VRE,294451920000,15/11/2017,,46350,47000,43800,44500,6550260
VRE,241719960000,16/11/2017,,44500,44500,42750,44000,5521990
VRE,478063830000,17/11/2017,,44000,45500,43300,44600,10742380
VRE,149945420000,20/11/2017,,45600,47700,45000,47700,3176670
VRE,409219540000,21/11/2017,,49900,51000,49000,51000,8062730
VRE,389095000000,22/11/2017,,51500,54000,50400,51600,7455670
VRE,120077000000,23/11/2017,,51600,52800,50500,52000,2316540
VRE,122445000000,24/11/2017,,51500,52100,50500,50600,2384820
VRE,173151270000,27/11/2017,,50600,52000,49000,51100,3451040
VRE,141464000000,28/11/2017,,51900,51900,49500,49800,2811900
VRE,78725330000,29/11/2017,,49500,50200,48850,49400,1595900
VRE,156942640000,30/11/2017,,49000,49000,47850,49000,3235960
VRE,64713000000,01/12/2017,,49200,49900,48500,49500,1312140
VRE,78206950000,04/12/2017,,49900,50000,48850,49500,1584010
VRE,97065120000,05/12/2017,,50000,50000,47900,48000,1980030
VRE,86768000000,06/12/2017,,48000,48500,46700,47100,1834150
VRE,86768000000,06/12/2017,,48000,48500,46700,47100,1834150
VRE,49867540000,07/12/2017,,47700,47900,46000,46000,1067350
VRE,71620510000,08/12/2017,,46000,47650,44400,47000,1558790
VRE,42957160000,11/12/2017,,45000,46500,45000,45000,943290
VRE,72181350000,12/12/2017,,45200,46100,43100,46000,1598220
VRE,40364600000,13/12/2017,,46000,46100,45400,45850,883220
VRE,64404600000,14/12/2017,,45700,45800,44900,45200,1424710
VRE,80715870000,15/12/2017,,45100,46400,45100,45900,1761240
VRE,111717540000,18/12/2017,,46600,46900,45900,46300,2414320
VRE,60256220000,19/12/2017,,46650,46950,45400,46300,1297970
VRE,65594480000,20/12/2017,,45700,46200,45600,45800,1430200
VRE,137439510000,21/12/2017,,46000,48300,45800,48200,2896650
VRE,46744420000,22/12/2017,,48200,48850,47800,47800,962890
VRE,41718190000,25/12/2017,,47800,48000,47000,47000,881540
VRE,73975000000,26/12/2017,,47200,48450,46800,48000,1555640
VRE,52471090000,27/12/2017,,47800,48200,47350,47450,1103520
VRE,44250400000,28/12/2017,,47700,47700,46900,46900,940350
VRE,132922240000,29/12/2017,,46800,47750,46200,47150,2825760
VRE,28271750000,02/01/2018,,47100,47700,47100,47350,596280
VRE,79803280000,03/01/2018,,47500,48450,47400,47400,1663590
VRE,44310760000,04/01/2018,,47850,48000,46900,47200,935370
VRE,78455410000,05/01/2018,,47200,47500,46950,47000,1664520
VRE,78455410000,05/01/2018,,47200,47500,46950,47000,1664520
VRE,79439870000,08/01/2018,,47000,47150,46200,46400,1708070
VRE,91262430000,09/01/2018,,46500,47300,46400,47000,1945080
VRE,147978500000,10/01/2018,,47000,50200,47000,49800,3018830
VRE,137762410000,11/01/2018,,49700,52200,49000,51900,2676140
VRE,250186320000,12/01/2018,,52200,55500,52100,55000,4587910
VRE,157969840000,15/01/2018,,55000,55600,53700,54600,2874160
VRE,132566400000,16/01/2018,,54900,54900,53800,53900,2440360
VRE,192476560000,17/01/2018,,54300,57300,54000,55000,3459330
VRE,169148600000,18/01/2018,,54600,58800,54500,57500,2999350
VRE,207619630000,19/01/2018,,58700,61500,58500,61000,3426360
VRE,218483000000,22/01/2018,,60100,61000,58500,59500,3749050
VRE,218483000000,23/01/2018,,60100,61000,58500,59500,0
VRE,0,24/01/2018,,0,0,0,59500,0
VRE,422372770000,25/01/2018,,59000,61400,56000,56000,7105690
VRE,260127240000,26/01/2018,,57000,58500,55000,55000,4619400
VRE,245172950000,29/01/2018,,56900,57900,54900,55000,4390910
VRE,162872000000,30/01/2018,,55000,56300,54500,55200,2951010
VRE,352641530000,31/01/2018,,55900,58700,55400,55400,6251570
VRE,211519000000,01/02/2018,,55500,55500,53000,55000,3912850
VRE,75419000000,02/02/2018,,54900,55100,54400,55100,1375890
VRE,164176930000,05/02/2018,,54000,54500,51300,51300,3142830
VRE,433574680000,06/02/2018,,47750,51000,47750,47750,9071240
VRE,162756150000,07/02/2018,,50400,51000,49100,51000,3212830
VRE,53042890000,08/02/2018,,50000,51500,49000,49000,1062120
VRE,150342020000,09/02/2018,,45800,47750,45600,47750,3215790
VRE,180749090000,12/02/2018,,47900,48450,45500,47750,3845820
VRE,158521420000,13/02/2018,,47900,48200,47700,48050,3305870
VRE,144818310000,21/02/2018,,50000,50000,48700,49500,2928020
VRE,177157350000,22/02/2018,,49000,49900,49000,49900,3575630
VRE,174269580000,23/02/2018,,50000,51600,49800,51600,3430070
VRE,293521850000,26/02/2018,,54000,55200,52700,55000,5377610
VRE,170812440000,27/02/2018,,55200,56800,53800,54900,3097420
VRE,176783000000,28/02/2018,,54000,55900,53800,53800,5531320
VRE,175026130000,01/03/2018,,54500,55500,54000,55400,3196120
